Regulon_ID,PCA_1VarFrench,PCA_1VarNonRegulonGeneSet,PCA_1RandomVarAvg,NumGoodCalls,PCA_1RandomPValFrench,Diff_PCA_1VarRegulonVsNonRegulon,Diff_PCA_1VarRegulonVsAvgRand,PCA_1VarNonMemberGeneSet,PCA_1RandomVarAvgNonMember,NumGoodCallsNonMember,PCA_1RandomPValNonMemberFrench,Diff_PCA_1VarRegulonVsNonMember,Diff_PCA_1VarRegulonVsAvgRandNonMember
0,0.599396286,0.193771096,0.196514429,0,0.001996008,0.40562519,0.402881857,0.250299399,0.534456096,0,0.001996008,0.349096887,0.06494019
1,0.810159763,0.175252984,0.289068282,0,0.001996008,0.634906779,0.52109148,0.384882072,0.496010696,0,0.001996008,0.42527769,0.314149066
2,0.704456353,0.312068115,0.396827086,0,0.001996008,0.392388237,0.307629267,0.281538061,0.447697149,0,0.001996008,0.422918292,0.256759203
3,0.637233581,0.168443774,0.303578123,0,0.001996008,0.468789807,0.333655457,0.509651286,0.443080438,0,0.001996008,0.127582295,0.194153143
4,0.608763037,0.205577085,0.209096524,0,0.001996008,0.403185953,0.399666514,0.224244119,0.528044416,0,0.001996008,0.384518919,0.080718621
5,0.458956116,0.189154744,0.270998932,0,0.001996008,0.269801372,0.187957184,0.371205328,0.388962967,25,0.051896208,0.087750789,0.06999315
6,0.830479049,0.259791349,0.321059452,0,0.001996008,0.5706877,0.509419597,0.389339934,0.693604066,0,0.001996008,0.441139115,0.136874983
7,0.69019519,0.255372779,0.344830562,0,0.001996008,0.434822411,0.345364628,0.296765981,0.399097335,0,0.001996008,0.393429209,0.291097855
8,0.503734114,0.180936573,0.290649359,0,0.001996008,0.32279754,0.213084755,0.258849482,0.309098981,0,0.001996008,0.244884632,0.194635133
9,0.794124184,0.237255277,0.345342004,0,0.001996008,0.556868907,0.448782181,0.343397589,0.61189442,0,0.001996008,0.450726595,0.182229765
10,0.740760033,0.273048305,0.359629084,0,0.001996008,0.467711728,0.381130949,0.343631342,0.486632022,0,0.001996008,0.397128691,0.254128011
11,0.582508466,0.207847779,0.42325415,10,0.021956088,0.374660688,0.159254316,0.296702109,0.442291805,10,0.021956088,0.285806358,0.140216662
12,0.840646893,0.338576595,0.446531972,0,0.001996008,0.502070298,0.394114922,0.262726073,0.506957218,0,0.001996008,0.577920821,0.333689676
13,0.86041969,0.227437374,0.35728229,0,0.001996008,0.632982315,0.503137399,0.4622654,0.742403152,0,0.001996008,0.398154289,0.118016538
14,0.728353961,0.198138141,0.357092298,0,0.001996008,0.53021582,0.371261664,0.296301591,0.576583291,0,0.001996008,0.432052371,0.15177067
15,0.615348515,0.195793287,0.358976767,0,0.001996008,0.419555228,0.256371748,0.367668498,0.476675112,0,0.001996008,0.247680018,0.138673403
16,0.685500315,0.196997343,0.367492437,0,0.001996008,0.488502972,0.318007878,0.307802837,0.415603377,0,0.001996008,0.377697478,0.269896938
17,0.581934783,0.180138046,0.175559111,0,0.001996008,0.401796737,0.406375672,0.269102664,0.549943112,0,0.001996008,0.312832119,0.031991671
18,0.786233012,0.381666165,0.458169108,0,0.001996008,0.404566847,0.328063904,0.258508699,0.4003619,0,0.001996008,0.527724313,0.385871112
20,0.71644982,0.255223188,0.341600283,0,0.001996008,0.461226633,0.374849537,0.334099458,0.485502392,0,0.001996008,0.382350363,0.230947428
21,0.67560216,0.274398855,0.410887566,1,0.003992016,0.401203305,0.264714594,0.28277081,0.425768932,0,0.001996008,0.39283135,0.249833228
22,0.70656963,0.201757761,0.356268484,0,0.001996008,0.504811869,0.350301147,0.475218377,0.614173402,0,0.001996008,0.231351253,0.092396229
23,0.643421074,0.207940954,0.214808503,0,0.001996008,0.435480121,0.428612572,0.265486637,0.544604156,0,0.001996008,0.377934437,0.098816918
24,0.614278297,0.187652786,0.187309831,0,0.001996008,0.426625511,0.426968466,0.24520872,0.560702607,0,0.001996008,0.369069577,0.05357569
25,0.667796149,0.227657486,0.334294968,0,0.001996008,0.440138663,0.333501181,0.320450862,0.480038172,0,0.001996008,0.347345287,0.187757977
26,0.73931079,0.26335839,0.350118649,0,0.001996008,0.4759524,0.389192141,0.369698764,0.483265741,0,0.001996008,0.369612026,0.256045049
27,0.624055642,0.196674179,0.338057469,0,0.001996008,0.427381463,0.285998173,0.319119524,0.459845103,0,0.001996008,0.304936118,0.164210539
28,0.850035657,0.200995985,0.327409534,0,0.001996008,0.649039672,0.522626124,0.351274055,0.780537683,0,0.001996008,0.498761602,0.069497974
29,0.754974553,0.204828507,0.373790814,0,0.001996008,0.550146045,0.381183738,0.33001215,0.527967792,0,0.001996008,0.424962402,0.227006761
30,0.604744121,0.222880849,0.385548353,3,0.007984032,0.381863273,0.219195769,0.444483512,0.43006837,0,0.001996008,0.160260609,0.174675751
31,0.63290528,0.210975481,0.219268345,0,0.001996008,0.421929799,0.413636935,0.20204532,0.539551236,0,0.001996008,0.43085996,0.093354043
32,0.631632982,0.202650202,0.312938771,0,0.001996008,0.428982779,0.31869421,0.301602592,0.455927702,0,0.001996008,0.33003039,0.17570528
33,0.578257383,0.1500042,0.372690605,2,0.005988024,0.428253183,0.205566778,0.341367148,0.402376116,0,0.001996008,0.236890234,0.175881267
34,0.565740393,0.171000257,0.163522835,0,0.001996008,0.394740136,0.402217558,0.500561272,0.551916681,1,0.003992016,0.065179121,0.013823712
35,0.73425729,0.219059794,0.218171786,0,0.001996008,0.515197497,0.516085505,0.285899302,0.609530665,0,0.001996008,0.448357988,0.124726625
36,0.358406881,0.231604288,0.23415955,0,0.001996008,0.126802593,0.124247331,0.170654746,0.217448764,0,0.001996008,0.187752135,0.140958116
37,0.530709766,0.253216564,0.258969147,0,0.001996008,0.277493202,0.271740619,0.162429627,0.35099608,0,0.001996008,0.368280139,0.179713686
38,0.640498895,0.209691144,0.220568398,0,0.001996008,0.430807752,0.419930497,0.163836211,0.569155391,0,0.001996008,0.476662684,0.071343504
39,0.57236864,0.230517263,0.2414781,0,0.001996008,0.341851377,0.330890541,0.186992696,0.450357849,0,0.001996008,0.385375944,0.122010791
40,0.698479469,0.221978676,0.234396321,0,0.001996008,0.476500794,0.464083148,0.229194566,0.608040838,0,0.001996008,0.469284903,0.090438632
41,0.325104448,0.194004719,0.2209542,3,0.007984032,0.131099728,0.104150248,0.159537101,0.185720671,0,0.001996008,0.165567347,0.139383776
42,0.539823605,0.216548586,0.249386288,0,0.001996008,0.323275019,0.290437318,0.177143025,0.364680546,0,0.001996008,0.36268058,0.175143059
43,0.51537915,0.232192545,0.253561099,0,0.001996008,0.283186604,0.261818051,0.219451397,0.342212293,0,0.001996008,0.295927753,0.173166857
44,0.502696258,0.227706585,0.247838246,0,0.001996008,0.274989673,0.254858013,0.212727787,0.370569619,0,0.001996008,0.289968472,0.13212664
45,0.399549204,0.227226452,0.25904453,0,0.001996008,0.172322752,0.140504674,0.263026378,0.270470014,0,0.001996008,0.136522826,0.12907919
46,0.730015741,0.265405711,0.286662424,0,0.001996008,0.46461003,0.443353317,0.358958452,0.566756466,0,0.001996008,0.371057289,0.163259275
47,0.562944324,0.25005113,0.275809699,0,0.001996008,0.312893194,0.287134625,0.235244411,0.381357752,0,0.001996008,0.327699913,0.181586572
48,0.500361621,0.209944037,0.270268632,0,0.001996008,0.290417584,0.230092989,0.276106864,0.33738764,0,0.001996008,0.224254757,0.162973981
49,0.706742772,0.2182547,0.261506321,0,0.001996008,0.488488072,0.445236451,0.217279365,0.599549597,0,0.001996008,0.489463407,0.107193175
50,0.568545097,0.263837216,0.326308303,0,0.001996008,0.304707881,0.242236794,0.272271793,0.37061714,0,0.001996008,0.296273303,0.197927957
51,0.450126793,0.177497074,0.275925348,0,0.001996008,0.272629719,0.174201445,0.235511393,0.271782547,0,0.001996008,0.2146154,0.178344246
52,0.647916293,0.230594751,0.322806304,0,0.001996008,0.417321542,0.325109989,0.269372851,0.370136174,0,0.001996008,0.378543442,0.277780119
53,0.721665098,0.234484926,0.305534375,0,0.001996008,0.487180172,0.416130723,0.319424323,0.459879576,0,0.001996008,0.402240775,0.261785523
54,0.599823464,0.199185194,0.28447845,0,0.001996008,0.400638269,0.315345014,0.23090336,0.378147137,0,0.001996008,0.368920104,0.221676327
55,0.671054567,0.266012103,0.337082039,0,0.001996008,0.405042464,0.333972527,0.263320052,0.408872341,0,0.001996008,0.407734514,0.262182225
56,0.589388754,0.213692194,0.297082701,0,0.001996008,0.37569656,0.292306053,0.255073645,0.344366364,0,0.001996008,0.334315109,0.24502239
57,0.435881015,0.214356382,0.303135864,9,0.01996008,0.221524633,0.132745151,0.212358601,0.277927047,0,0.001996008,0.223522414,0.157953968
58,0.621422911,0.270059734,0.370926498,1,0.003992016,0.351363177,0.250496413,0.247415246,0.35712198,0,0.001996008,0.374007665,0.264300931
59,0.59994234,0.197261678,0.194557547,0,0.001996008,0.402680662,0.405384793,0.238410237,0.532933595,0,0.001996008,0.361532103,0.067008745
60,0.679090155,0.169553435,0.251664512,0,0.001996008,0.50953672,0.427425643,0.268001469,0.502637965,0,0.001996008,0.411088686,0.17645219
61,0.601308391,0.224313743,0.286174571,0,0.001996008,0.376994648,0.31513382,0.272770208,0.423145407,0,0.001996008,0.328538183,0.178162984
62,0.592989835,0.2169143,0.314995935,0,0.001996008,0.376075535,0.277993901,0.279687818,0.347797527,0,0.001996008,0.313302018,0.245192309
63,0.664339197,0.225563067,0.332371455,0,0.001996008,0.43877613,0.331967742,0.299434398,0.446502597,0,0.001996008,0.364904799,0.217836599
64,0.793970723,0.271086702,0.383550773,0,0.001996008,0.522884021,0.41041995,0.355386927,0.592936676,0,0.001996008,0.438583796,0.201034047
65,0.934450626,0.193539418,0.327574766,0,0.001996008,0.740911208,0.606875861,0.580251545,0.840790206,0,0.001996008,0.354199081,0.093660421
66,0.810772079,0.210544341,0.329707444,0,0.001996008,0.600227738,0.481064635,0.367759031,0.701597296,0,0.001996008,0.443013048,0.109174782
68,0.626725646,0.137395475,0.35183321,0,0.001996008,0.489330171,0.274892436,0.337351945,0.371102566,0,0.001996008,0.289373701,0.25562308
69,0.692054423,0.220427238,0.383611469,0,0.001996008,0.471627185,0.308442954,0.311576616,0.438467699,0,0.001996008,0.380477807,0.253586724
70,0.816277078,0.263627351,0.392188135,0,0.001996008,0.552649728,0.424088943,0.412742246,0.673452541,0,0.001996008,0.403534833,0.142824537
71,0.659683764,0.291109471,0.430824458,9,0.01996008,0.368574293,0.228859306,0.397344549,0.419540325,0,0.001996008,0.262339215,0.240143439
72,0.823864215,0.226629337,0.38069814,0,0.001996008,0.597234878,0.443166075,0.344790155,0.625934534,0,0.001996008,0.47907406,0.197929681
73,0.594763388,0.173547598,0.167631738,0,0.001996008,0.421215789,0.427131649,0.407942842,0.574545247,0,0.001996008,0.186820546,0.02021814
74,0.356895076,0.180624767,0.205510248,0,0.001996008,0.176270309,0.151384828,0.141174645,0.20981962,0,0.001996008,0.215720431,0.147075456
75,0.721618623,0.228847229,0.243282359,0,0.001996008,0.492771395,0.478336264,0.248565806,0.621897432,0,0.001996008,0.473052818,0.099721192
76,0.562797317,0.260589944,0.300425222,0,0.001996008,0.302207372,0.262372094,0.206231522,0.343546639,0,0.001996008,0.356565795,0.219250678
77,0.543340131,0.231975341,0.318081683,0,0.001996008,0.311364791,0.225258448,0.342813549,0.395657072,2,0.005988024,0.200526582,0.147683059
78,0.589388754,0.213692194,0.29492588,0,0.001996008,0.37569656,0.294462874,0.255073645,0.34524685,0,0.001996008,0.334315109,0.244141904
79,0.721959043,0.259529236,0.312733749,0,0.001996008,0.462429807,0.409225294,0.269700998,0.55009658,0,0.001996008,0.452258045,0.171862463
80,0.536967617,0.230884395,0.309362229,0,0.001996008,0.306083222,0.227605387,0.256687877,0.324387767,0,0.001996008,0.280279739,0.21257985
81,0.770073004,0.255573526,0.30533483,0,0.001996008,0.514499478,0.464738174,0.322351681,0.614040758,0,0.001996008,0.447721323,0.156032246
82,0.639457085,0.278081664,0.377551524,1,0.003992016,0.361375421,0.26190556,0.240685129,0.324169843,0,0.001996008,0.398771956,0.315287241
83,0.614232334,0.164962935,0.300210745,0,0.001996008,0.449269399,0.314021588,0.281339475,0.390091345,0,0.001996008,0.332892859,0.224140989
84,0.553838949,0.242507209,0.348650826,0,0.001996008,0.31133174,0.205188123,0.24721384,0.324287131,0,0.001996008,0.306625109,0.229551818
85,0.66091448,0.214149376,0.330551124,0,0.001996008,0.446765105,0.330363356,0.260374992,0.332356157,0,0.001996008,0.400539488,0.328558324
86,0.773221156,0.17420942,0.293557456,0,0.001996008,0.599011736,0.4796637,0.477466855,0.47695656,0,0.001996008,0.295754301,0.296264595
87,0.79689684,0.288973885,0.387924624,0,0.001996008,0.507922956,0.408972216,0.389943278,0.534492389,0,0.001996008,0.406953563,0.262404451
88,0.594657793,0.284300093,0.393537563,5,0.011976048,0.310357701,0.201120231,0.298699148,0.383980508,0,0.001996008,0.295958645,0.210677285
89,0.7751789,0.157006573,0.316507044,0,0.001996008,0.618172327,0.458671856,0.320101577,0.456984763,0,0.001996008,0.455077323,0.318194137
90,0.873463558,0.26163369,0.343390562,0,0.001996008,0.611829868,0.530072997,0.435324561,0.733919639,0,0.001996008,0.438138998,0.139543919
91,0.640691499,0.212819047,0.217904862,0,0.001996008,0.427872452,0.422786637,0.202777672,0.532277337,0,0.001996008,0.437913827,0.108414162
92,0.663641799,0.261697608,0.315551888,0,0.001996008,0.401944191,0.348089911,0.26882547,0.354192073,0,0.001996008,0.394816329,0.309449726
93,0.592759884,0.181566421,0.290783404,0,0.001996008,0.411193463,0.30197648,0.231106107,0.382490681,0,0.001996008,0.361653778,0.210269203
94,0.588567434,0.154153454,0.290443086,0,0.001996008,0.43441398,0.298124348,0.327738455,0.362437791,0,0.001996008,0.260828979,0.226129643
95,0.582597701,0.179936429,0.303746091,0,0.001996008,0.402661272,0.27885161,0.256289736,0.358689017,0,0.001996008,0.326307965,0.223908684
96,0.657046248,0.341551876,0.433622849,1,0.003992016,0.315494372,0.223423399,0.309963719,0.406194203,0,0.001996008,0.347082529,0.250852046
97,0.658019116,0.194633978,0.323778893,0,0.001996008,0.463385138,0.334240223,0.333735567,0.484464163,0,0.001996008,0.32428355,0.173554954
98,0.569519034,0.179666042,0.173739128,0,0.001996008,0.389852993,0.395779906,0.290672065,0.535335907,0,0.001996008,0.27884697,0.034183127
99,0.703805215,0.231880488,0.254651932,0,0.001996008,0.471924727,0.449153282,0.217314583,0.591993429,0,0.001996008,0.486490631,0.111811786
100,0.610029621,0.224440158,0.254000134,0,0.001996008,0.385589463,0.356029487,0.188398326,0.492286226,0,0.001996008,0.421631295,0.117743395
101,0.625789633,0.253387725,0.285437315,0,0.001996008,0.372401908,0.340352318,0.2214749,0.466808324,0,0.001996008,0.404314733,0.158981309
102,0.706326277,0.22290099,0.25054937,0,0.001996008,0.483425287,0.455776907,0.318004006,0.608566947,0,0.001996008,0.388322271,0.09775933
103,0.773730605,0.180302874,0.241291254,0,0.001996008,0.593427731,0.532439351,0.33369242,0.707356825,0,0.001996008,0.440038185,0.066373779
104,0.671987697,0.306673159,0.339878771,0,0.001996008,0.365314538,0.332108926,0.257401834,0.398924834,0,0.001996008,0.414585864,0.273062863
105,0.508296849,0.252263955,0.309785631,0,0.001996008,0.256032894,0.198511218,0.324651965,0.368647987,0,0.001996008,0.183644884,0.139648862
106,0.434839768,0.167710053,0.263510439,1,0.003992016,0.267129714,0.171329329,0.204242235,0.263167814,0,0.001996008,0.230597532,0.171671954
107,0.618026455,0.249537428,0.308188636,0,0.001996008,0.368489027,0.309837818,0.26484793,0.404713724,0,0.001996008,0.353178525,0.213312731
108,0.851123024,0.240543582,0.315377715,0,0.001996008,0.610579442,0.535745309,0.36748826,0.723429669,0,0.001996008,0.483634763,0.127693355
109,0.677070586,0.22304883,0.292977787,0,0.001996008,0.454021756,0.384092799,0.438285611,0.48443998,0,0.001996008,0.238784975,0.192630606
110,0.756699733,0.267522369,0.330222495,0,0.001996008,0.489177364,0.426477239,0.314324567,0.565827424,0,0.001996008,0.442375166,0.190872309
111,0.643548426,0.187431577,0.282391777,0,0.001996008,0.456116848,0.361156648,0.313111535,0.536631845,0,0.001996008,0.330436891,0.106916581
112,0.791686087,0.240481606,0.332537835,0,0.001996008,0.551204482,0.459148253,0.329461029,0.662329408,0,0.001996008,0.462225059,0.129356679
113,0.919730783,0.233926603,0.324617581,0,0.001996008,0.68580418,0.595113202,0.629135194,0.836923937,0,0.001996008,0.290595589,0.082806846
114,0.859548827,0.201820607,0.336424923,0,0.001996008,0.65772822,0.523123903,0.674726894,0.563239856,0,0.001996008,0.184821933,0.296308971
115,0.588785884,0.182052336,0.178172579,0,0.001996008,0.406733547,0.410613305,0.275802178,0.550582199,0,0.001996008,0.312983706,0.038203685
116,0.591100111,0.223544343,0.252493673,0,0.001996008,0.367555768,0.338606438,0.174758303,0.457734639,0,0.001996008,0.416341808,0.133365472
117,0.600121112,0.237360269,0.262136315,0,0.001996008,0.362760843,0.337984797,0.252899752,0.478937029,0,0.001996008,0.34722136,0.121184083
118,0.508438199,0.19052206,0.235982147,0,0.001996008,0.317916138,0.272456052,0.214776302,0.366714498,0,0.001996008,0.293661896,0.141723701
119,0.818532661,0.198525564,0.262984513,0,0.001996008,0.620007097,0.555548148,0.348610456,0.725381463,0,0.001996008,0.469922205,0.093151198
120,0.664466544,0.223610132,0.280037058,0,0.001996008,0.440856412,0.384429486,0.265437596,0.45081538,0,0.001996008,0.399028947,0.213651164
121,0.643326067,0.222382723,0.313971975,0,0.001996008,0.420943343,0.329354092,0.362554775,0.410397257,0,0.001996008,0.280771292,0.232928809
122,0.670923394,0.156044088,0.274596687,0,0.001996008,0.514879306,0.396326707,0.288525321,0.493196652,0,0.001996008,0.382398073,0.177726742
123,0.607437576,0.196876308,0.30600622,0,0.001996008,0.410561268,0.301431356,0.411788162,0.407253145,0,0.001996008,0.195649414,0.200184431
124,0.772359551,0.39868189,0.50458961,1,0.003992016,0.373677661,0.26776994,0.284834077,0.369311225,0,0.001996008,0.487525474,0.403048325
125,0.803396699,0.268905519,0.375450613,0,0.001996008,0.534491181,0.427946086,0.420469562,0.621945571,0,0.001996008,0.382927137,0.181451129
