,Regulon_ID,Regulator,RegulonGene,SpearmanCorrelationExp,SpearmanCorrelationPValExp,SpearmanCorrelationEigenGene,SpearmanCorrelationPValEigenGene
0,1162,ENSG00000162702,ENSG00000141582,0.498206576,5.04E-10,0.594880237,1.43E-14
1,1162,ENSG00000162702,ENSG00000168268,0.502845962,3.28E-10,0.594880237,1.43E-14
2,1162,ENSG00000162702,ENSG00000103187,0.24526415,0.003738595,0.594880237,1.43E-14
3,1162,ENSG00000162702,ENSG00000135905,0.482904822,1.99E-09,0.594880237,1.43E-14
4,1162,ENSG00000162702,ENSG00000136490,0.404021562,8.92E-07,0.594880237,1.43E-14
5,1162,ENSG00000162702,ENSG00000167244,0.317261392,0.000149735,0.594880237,1.43E-14
6,1162,ENSG00000162702,ENSG00000072786,0.430474281,1.36E-07,0.594880237,1.43E-14
7,1162,ENSG00000162702,ENSG00000134853,0.472616892,4.83E-09,0.594880237,1.43E-14
8,1162,ENSG00000162702,ENSG00000258947,0.338531333,4.88E-05,0.594880237,1.43E-14
9,1162,ENSG00000162702,ENSG00000110092,0.520430878,6.05E-11,0.594880237,1.43E-14
10,1162,ENSG00000162702,ENSG00000176973,0.374363283,6.09E-06,0.594880237,1.43E-14
11,1162,ENSG00000162702,ENSG00000071054,0.565747085,4.82E-13,0.594880237,1.43E-14
12,1162,ENSG00000162702,ENSG00000135596,0.415158828,4.13E-07,0.594880237,1.43E-14
13,1162,ENSG00000162702,ENSG00000171310,0.460698785,1.30E-08,0.594880237,1.43E-14
14,668,ENSG00000130675,ENSG00000124831,-0.283135245,1.25E-09,-0.309748467,2.50E-11
15,668,ENSG00000130675,ENSG00000071073,-0.265717789,1.30E-08,-0.309748467,2.50E-11
16,668,ENSG00000130675,ENSG00000139278,-0.299274598,1.22E-10,-0.309748467,2.50E-11
17,668,ENSG00000130675,ENSG00000148908,-0.252906307,6.59E-08,-0.309748467,2.50E-11
18,668,ENSG00000130675,ENSG00000158270,-0.161344497,0.000643605,-0.309748467,2.50E-11
19,668,ENSG00000130675,ENSG00000003402,-0.377511763,1.74E-16,-0.309748467,2.50E-11
20,668,ENSG00000130675,ENSG00000135604,-0.099750314,0.035624516,-0.309748467,2.50E-11
21,668,ENSG00000130675,ENSG00000073756,-0.122198453,0.009957893,-0.309748467,2.50E-11
22,668,ENSG00000130675,ENSG00000013364,-0.326727157,1.67E-12,-0.309748467,2.50E-11
23,668,ENSG00000130675,ENSG00000153071,-0.178202851,0.000160241,-0.309748467,2.50E-11
24,668,ENSG00000130675,ENSG00000196511,-0.325181365,2.15E-12,-0.309748467,2.50E-11
25,668,ENSG00000130675,ENSG00000116473,-0.226801378,1.38E-06,-0.309748467,2.50E-11
26,668,ENSG00000130675,ENSG00000159216,-0.239870676,3.14E-07,-0.309748467,2.50E-11
27,668,ENSG00000130675,ENSG00000140497,-0.29734654,1.63E-10,-0.309748467,2.50E-11
28,668,ENSG00000130675,ENSG00000143226,-0.275136811,3.74E-09,-0.309748467,2.50E-11
29,668,ENSG00000130675,ENSG00000113273,-0.139226992,0.003284718,-0.309748467,2.50E-11
30,668,ENSG00000130675,ENSG00000132170,-0.158627292,0.000795592,-0.309748467,2.50E-11
