GeneID,TL1961DB85
ENSG00000163633,-1.745754245
ENSG00000205269,-1.745051236
ENSG00000171428,-1.74421181
ENSG00000078053,-1.744066279
ENSG00000112474,-1.743946448
ENSG00000225312,-1.743946448
ENSG00000228357,-1.743946448
ENSG00000228712,-1.743946448
ENSG00000232357,-1.743946448
ENSG00000139725,-1.743899376
ENSG00000175536,-1.743424524
ENSG00000107864,-1.743142304
ENSG00000177483,-1.742595232
ENSG00000196371,-1.742432888
ENSG00000197165,-1.742398714
ENSG00000160097,-1.742180887
ENSG00000116661,-1.741715521
ENSG00000174004,-1.741446663
ENSG00000176681,-1.740879351
ENSG00000260456,-1.740866559
ENSG00000147168,-1.740615018
ENSG00000183914,-1.740418952
ENSG00000095539,-1.740184585
ENSG00000112214,-1.740184585
ENSG00000243710,-1.74014624
ENSG00000064547,-1.740052515
ENSG00000137463,-1.7399588
ENSG00000167261,-1.739903428
ENSG00000228299,-1.73989491
ENSG00000131730,-1.739843801
ENSG00000078900,-1.739430782
ENSG00000256269,-1.739307341
ENSG00000142910,-1.739298828
ENSG00000053524,-1.738864801
ENSG00000176723,-1.738503279
ENSG00000102057,-1.738499027
ENSG00000122543,-1.738277937
ENSG00000145920,-1.737912413
ENSG00000136297,-1.737848675
ENSG00000183574,-1.737598017
ENSG00000223767,-1.737598017
ENSG00000225452,-1.737598017
ENSG00000227277,-1.737598017
ENSG00000228907,-1.737598017
ENSG00000100206,-1.737500323
ENSG00000239605,-1.737347433
ENSG00000108622,-1.736774337
ENSG00000158220,-1.7367319
ENSG00000147144,-1.735646244
ENSG00000182118,-1.735099696
ENSG00000128218,-1.734993816
ENSG00000146678,-1.734815966
ENSG00000163116,-1.734549262
ENSG00000262473,-1.733584739
ENSG00000167131,-1.73342409
ENSG00000180269,-1.733238114
ENSG00000119630,-1.733026826
ENSG00000221947,-1.732693097
ENSG00000120341,-1.732317279
ENSG00000143318,-1.731283574
ENSG00000138379,-1.731127572
ENSG00000140527,-1.73106012
ENSG00000132170,-1.730824081
ENSG00000117480,-1.730596533
ENSG00000119943,-1.730453294
ENSG00000226936,-1.73029323
ENSG00000235155,-1.73029323
ENSG00000235863,-1.73029323
ENSG00000236802,-1.73029323
ENSG00000224120,-1.730255325
ENSG00000233164,-1.730255325
ENSG00000233641,-1.730255325
ENSG00000237012,-1.730255325
ENSG00000237100,-1.730255325
ENSG00000126005,-1.729628024
ENSG00000067715,-1.728635385
ENSG00000148604,-1.728475661
ENSG00000161929,-1.728286552
ENSG00000269743,-1.728055476
ENSG00000170293,-1.728005067
ENSG00000104953,-1.727946261
ENSG00000103569,-1.727119203
ENSG00000000005,-1.726766791
ENSG00000163701,-1.726330672
ENSG00000142606,-1.725903155
ENSG00000086717,-1.724990157
ENSG00000131042,-1.724944114
ENSG00000140961,-1.724914815
ENSG00000162757,-1.724881332
ENSG00000160767,-1.72325479
ENSG00000262666,-1.72325479
ENSG00000152766,-1.723192131
ENSG00000176125,-1.722628412
ENSG00000186897,-1.722582495
ENSG00000125898,-1.722553277
ENSG00000181409,-1.72252406
ENSG00000175544,-1.722177702
ENSG00000140691,-1.721944094
ENSG00000126010,-1.721852337
ENSG00000170122,-1.721239484
ENSG00000171169,-1.721143635
ENSG00000196126,-1.720926973
ENSG00000177374,-1.720202385
ENSG00000204962,-1.719703025
ENSG00000185436,-1.719199798
ENSG00000153446,-1.719025193
ENSG00000111087,-1.718509901
ENSG00000125430,-1.718131939
ENSG00000186204,-1.717463646
ENSG00000204314,-1.717210578
ENSG00000141404,-1.716733684
ENSG00000174165,-1.716646628
ENSG00000163060,-1.716041624
ENSG00000169059,-1.71541635
ENSG00000206383,-1.715408071
ENSG00000236251,-1.715408071
ENSG00000198865,-1.715023198
ENSG00000116990,-1.714626092
ENSG00000131831,-1.7144028
ENSG00000177989,-1.714204367
ENSG00000167705,-1.713820034
ENSG00000274145,-1.713820034
ENSG00000227231,-1.713708486
ENSG00000230128,-1.713708486
ENSG00000235030,-1.713708486
ENSG00000237155,-1.713708486
ENSG00000141497,-1.713435873
ENSG00000176022,-1.712610303
ENSG00000153012,-1.712544292
ENSG00000198680,-1.712490662
ENSG00000169896,-1.712247304
ENSG00000180089,-1.711950419
ENSG00000139292,-1.711867969
ENSG00000116819,-1.711785527
ENSG00000175785,-1.711719579
ENSG00000274089,-1.711719579
ENSG00000160117,-1.711394036
ENSG00000141433,-1.711282803
ENSG00000178078,-1.71123337
ENSG00000079435,-1.710623938
ENSG00000204577,-1.709385819
ENSG00000274587,-1.709385819
ENSG00000282147,-1.709003639
ENSG00000187815,-1.708346522
ENSG00000101470,-1.707624274
ENSG00000157766,-1.70728798
ENSG00000167208,-1.706095609
ENSG00000166268,-1.705870432
ENSG00000205810,-1.705841778
ENSG00000108381,-1.705080736
ENSG00000158683,-1.704892626
ENSG00000105409,-1.704659589
ENSG00000128203,-1.704630975
ENSG00000204179,-1.704173279
ENSG00000183662,-1.703997621
ENSG00000121381,-1.703736244
ENSG00000129167,-1.703654579
ENSG00000276045,-1.703352489
ENSG00000189030,-1.703311675
ENSG00000221890,-1.703221889
ENSG00000125787,-1.703209646
ENSG00000213213,-1.702891395
ENSG00000283934,-1.702858761
ENSG00000134463,-1.702010701
ENSG00000146410,-1.700207285
ENSG00000142549,-1.699045014
ENSG00000162779,-1.698850102
ENSG00000067606,-1.698833862
