,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3755,AADACL4_code_potential_somatic,ENSG00000185122,3755,-1.0,1.858516940401251,0.17912565243410727,2.466868936481544e-05,-3.7884340408995607,1.6305166654145107,1.0
3041,AADACL4_code_potential_somatic,ENSG00000183734,3041,1.0,1.4905558042405103,-0.3537216462467799,1.3526334008306997e-17,-5.453244983743931,3.220941117379353,1.0
478,AADACL4_code_potential_somatic,ENSG00000172216,478,-1.0,2.3786523151558683,0.5755761863000123,1.1527766325315883e-49,-3.5642105764999554,1.5182020605148172,0.6666666666666666
458,AADACL4_code_potential_somatic,ENSG00000172216,458,-1.0,2.3786523151558683,0.6437152490583052,1.92593106774297e-65,-2.6430029548869833,1.3530087774276303,0.6666666666666666
1491,AADACL4_code_potential_somatic,ENSG00000129194,1491,-1.0,1.7581189835975548,-0.2818553261206182,1.8208992676878206e-11,8.14091874915562,4.695980112258935,1.0
1548,AADACL4_code_potential_somatic,ENSG00000123364,1548,1.0,1.5235936606042313,0.45285051907844587,4.607026336387008e-29,8.543248472040169,4.732510046137832,1.0
2823,AADACL4_code_potential_somatic,ENSG00000126456,2823,-1.0,1.8369013137629393,0.4195568315417488,8.929547673661836e-25,-3.158142156608545,1.3594236496364986,1.0
2830,AADACL4_code_potential_somatic,ENSG00000126456,2830,-1.0,1.8369013137629393,0.5963904193990348,4.371680359735945e-54,-3.15293038159579,1.3741054094529532,1.0
2844,AADACL4_code_potential_somatic,ENSG00000126456,2844,-1.0,1.8369013137629393,0.2641987067514366,3.3300015386595746e-10,-3.7486404451066617,1.627979263902608,1.0
2837,AADACL4_code_potential_somatic,ENSG00000126456,2837,-1.0,1.8369013137629393,0.4755943212683657,2.8211001466529374e-32,-4.916741121581543,1.9974077320351296,1.0
2841,AADACL4_code_potential_somatic,ENSG00000126456,2841,-1.0,1.8369013137629393,0.21273411664437897,5.001597625033613e-07,-4.003746854507644,2.3786523151558683,1.0
1427,AADACL4_code_potential_somatic,ENSG00000116035,1427,1.0,1.6760521282904282,-0.1487223451758979,0.00047763546936537357,-3.3752140401811004,1.5301609642626015,1.0
3398,AADACL4_code_potential_somatic,ENSG00000120149,3398,-1.0,1.6517216215251949,0.19005162450158916,7.473825507774001e-06,-3.390523117145565,2.3431376220745395,0.5
1235,AADACL4_code_potential_somatic,ENSG00000110777,1235,-1.0,2.8593038884973287,0.36754829584680226,5.697930515715456e-19,-3.6873931043197166,1.7645594618088882,1.0
