,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3061,AASS_code_potential_somatic,ENSG00000124782,3061,1.0,1.9154171390059667,-0.24425410627237296,6.9242473473585095e-09,-4.15091784557141,1.6000831125725452,1.0
2320,AASS_code_potential_somatic,ENSG00000135457,2320,-1.0,2.7805518672061766,0.6147789272980276,2.8631235837696392e-58,-10.952133943314985,21.863304382727375,1.0
366,AASS_code_potential_somatic,ENSG00000163497,366,-1.0,2.817340192849441,0.2894018731355593,4.928790824080555e-12,-5.057777661780495,2.0384776078115614,1.0
2961,AASS_code_potential_somatic,ENSG00000099326,2961,-1.0,4.246123822720407,0.1976172678733166,3.1378098153486256e-06,-4.090761278534076,1.602909132906279,1.0
2959,AASS_code_potential_somatic,ENSG00000099326,2959,-1.0,4.246123822720407,-0.17563880918228794,3.5589447386942476e-05,4.972905092933868,1.5876399957027993,1.0
1889,AASS_code_potential_somatic,ENSG00000185697,1889,-1.0,4.506302860420325,0.5169485389100075,8.969962979303061e-39,-4.176077351362907,1.696028747044355,1.0
3352,AASS_code_potential_somatic,ENSG00000102974,3352,-1.0,2.447142276204456,0.2689659356458736,1.5510562000697877e-10,-4.173410001120952,1.5538153337615954,1.0
3637,AASS_code_potential_somatic,ENSG00000076604,3637,-1.0,1.4907143841088861,0.35197939132571,1.9942041758595182e-17,-4.812154835661548,1.988101096079587,1.0
3636,AASS_code_potential_somatic,ENSG00000076604,3636,-1.0,1.4907143841088861,0.34017554678533807,2.5982388973886593e-16,-5.890311082457464,2.444626100128247,1.0
3638,AASS_code_potential_somatic,ENSG00000076604,3638,-1.0,1.4907143841088861,-0.32362707825680004,7.932812879565234e-15,3.7002460917841997,1.3684548019346259,1.0
2214,AASS_code_potential_somatic,ENSG00000187140,2214,-1.0,1.3400264478953938,-0.23871089775635182,1.537676928478932e-08,8.263320627741477,4.590287278981806,1.0
2229,AASS_code_potential_somatic,ENSG00000187140,2229,-1.0,1.3400264478953938,-0.2994988341326952,8.062813036915475e-13,3.865362972671237,1.7203728073960933,1.0
