,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1064,ABCA5_code_potential_somatic,ENSG00000146592,1064,1.0,1.3962692832301338,0.5242932375526996,5.044836364243517e-40,3.742567408174397,2.364715036955387,1.0
2369,ABCA5_code_potential_somatic,ENSG00000148516,2369,1.0,1.9830376483899994,0.37533828059936836,8.930458685031683e-20,8.27498636659928,3.0036371546900975,1.0
2358,ABCA5_code_potential_somatic,ENSG00000148516,2358,1.0,1.9830376483899994,-0.47289697259782226,6.985546911952625e-32,-4.2257603253301,1.4533654944407213,1.0
2364,ABCA5_code_potential_somatic,ENSG00000148516,2364,1.0,1.9830376483899994,-0.5002130330118405,4.894209518590839e-36,-3.579556044672775,1.4002356284589408,1.0
214,ABCA5_code_potential_somatic,ENSG00000136826,214,-1.0,1.7213415568116432,0.2645969906161201,3.1258888782178924e-10,-4.485236316152385,1.6032075400093133,1.0
3244,ABCA5_code_potential_somatic,ENSG00000025434,3244,-1.0,2.991054464616136,0.23516102750820214,2.536933644560716e-08,-2.701227267898757,2.0026477567794023,1.0
2521,ABCA5_code_potential_somatic,ENSG00000112333,2521,1.0,1.4001764943175825,-0.22798156343844547,6.816424123189805e-08,-5.929375276835592,2.582366902652318,1.0
2524,ABCA5_code_potential_somatic,ENSG00000112333,2524,1.0,1.4001764943175825,0.18161685894327023,1.89040325177178e-05,7.009028842159242,3.831212624691176,1.0
288,ABCA5_code_potential_somatic,ENSG00000072310,288,1.0,1.4015388042619359,0.5114015136682754,7.53010353623837e-38,7.113917420012976,3.198454633461841,1.0
284,ABCA5_code_potential_somatic,ENSG00000072310,284,1.0,1.4015388042619359,0.23808938373702415,1.6795208407915718e-08,7.7531582997024415,2.5166137413022174,1.0
3526,ABCA5_code_potential_somatic,ENSG00000153234,3526,-1.0,4.005155755339787,0.28253318163253655,1.6218199881278203e-11,-3.988752969897884,2.4657893246104936,1.0
3527,ABCA5_code_potential_somatic,ENSG00000153234,3527,-1.0,4.005155755339787,-0.22124238460760476,1.674119717862335e-07,5.562680020683677,1.918762619562692,1.0
2633,ABCA5_code_potential_somatic,ENSG00000143995,2633,1.0,1.703654126766644,0.3102047953464811,1.0928255191385607e-13,5.078544395395084,1.69392652294123,1.0
1396,ABCA5_code_potential_somatic,ENSG00000125398,1396,1.0,1.5779869980473773,0.3393591450736945,3.0906595458958634e-16,5.4165320676013,1.7841162659397127,1.0
