,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1100,ABCD2_code_potential_somatic,ENSG00000176887,1100,-1.0,3.897973377493058,0.5747518364116476,1.6996917970202137e-49,-4.003116273246097,1.6841498508256214,1.0
1104,ABCD2_code_potential_somatic,ENSG00000176887,1104,-1.0,3.897973377493058,0.6051891968673684,4.707148290550106e-56,-3.4202499948684437,1.414464299293353,1.0
196,ABCD2_code_potential_somatic,ENSG00000125820,196,-1.0,4.080098594469009,0.6110351173052444,2.1427077529094173e-57,-3.341967305792753,1.540630149885953,1.0
192,ABCD2_code_potential_somatic,ENSG00000125820,192,-1.0,4.080098594469009,0.3581231131739425,5.0187136753240924e-18,-4.6115027509902005,1.7976437231593079,1.0
2168,ABCD2_code_potential_somatic,ENSG00000124766,2168,-1.0,2.1044590300665966,0.6597120120357272,9.45871801488194e-70,-3.3409662927140626,1.3871277830966668,1.0
2158,ABCD2_code_potential_somatic,ENSG00000124766,2158,-1.0,2.1044590300665966,0.7488274069467211,1.3197331325854062e-99,-8.425898548497624,3.7158481605171074,1.0
2513,ABCD2_code_potential_somatic,ENSG00000128652,2513,-1.0,4.174340628910585,0.2976693980399551,1.1252597729420222e-12,-3.5042658133810645,1.4430833154447897,1.0
1570,ABCD2_code_potential_somatic,ENSG00000182568,1570,-1.0,2.7101267064049583,0.5369513287929557,2.989233645983186e-42,-3.479480971441369,1.4297156453374116,1.0
1565,ABCD2_code_potential_somatic,ENSG00000182568,1565,-1.0,2.7101267064049583,0.6586203409009456,1.8979495177804281e-69,-6.014544256736092,2.2418281693586897,1.0
1559,ABCD2_code_potential_somatic,ENSG00000182568,1559,-1.0,2.7101267064049583,0.4311016676076871,3.2935593248948073e-26,-3.4077894617453315,1.4159305443093442,1.0
1158,ABCD2_code_potential_somatic,ENSG00000162702,1158,-1.0,1.4260210321084397,0.3524230308410404,1.806924640884381e-17,-3.0891991333390316,1.3388491905636712,1.0
