,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2604,ABP1_code_potential_somatic,ENSG00000087903,2604,1.0,2.1536864413579027,0.4409405624406941,1.786267814487868e-27,4.125052574930069,1.779781333568521,1.0
2601,ABP1_code_potential_somatic,ENSG00000087903,2601,1.0,2.1536864413579027,0.4393491041201672,2.880696229003802e-27,3.3528360332175136,1.388395057965314,1.0
2598,ABP1_code_potential_somatic,ENSG00000087903,2598,1.0,2.1536864413579027,0.36823574612998544,4.848065539250322e-19,3.9714549033647866,1.7232841886271457,1.0
3599,ABP1_code_potential_somatic,ENSG00000168779,3599,1.0,1.4392316084665906,0.4704775999320541,1.5647032113427093e-31,3.3773827435892136,1.5463254112894778,1.0
2520,ABP1_code_potential_somatic,ENSG00000112333,2520,1.0,2.4643126632081067,0.5670993464484083,5.931604568650053e-48,2.1554050229394073,1.415364460010615,1.0
2528,ABP1_code_potential_somatic,ENSG00000112333,2528,1.0,2.4643126632081067,0.5900396803607918,1.0560480916954014e-52,3.9420053092946095,2.017512493849796,1.0
2530,ABP1_code_potential_somatic,ENSG00000112333,2530,1.0,2.4643126632081067,0.62790340879799,1.984555698064428e-61,4.512389575778746,3.499490524760626,1.0
2529,ABP1_code_potential_somatic,ENSG00000112333,2529,1.0,2.4643126632081067,-0.2800459856712603,2.476477360786239e-11,-2.5839362134087316,1.432676513288486,1.0
2521,ABP1_code_potential_somatic,ENSG00000112333,2521,1.0,2.4643126632081067,-0.22798156343844547,6.816424123189805e-08,-6.604212663210991,3.5859644574608396,1.0
2527,ABP1_code_potential_somatic,ENSG00000112333,2527,1.0,2.4643126632081067,-0.18415378569834248,1.436266628702184e-05,-3.786601974991409,1.5714630243892929,1.0
1452,ABP1_code_potential_somatic,ENSG00000007372,1452,1.0,1.8265105227661853,0.3036201319878602,3.7721184305924064e-13,3.2125719513938997,1.439936655235905,1.0
2295,ABP1_code_potential_somatic,ENSG00000118689,2295,-1.0,1.833718383017614,0.5623378781591177,5.16358797112004e-47,-4.630686546983174,1.9043697454969606,1.0
2288,ABP1_code_potential_somatic,ENSG00000118689,2288,-1.0,1.833718383017614,0.5098697031326828,1.3458184188233866e-37,-4.862723996310331,2.0451587687022914,1.0
2281,ABP1_code_potential_somatic,ENSG00000118689,2281,-1.0,1.833718383017614,0.6482331677122894,1.2416596535060004e-66,-6.111537214253757,3.3737463654205464,1.0
2284,ABP1_code_potential_somatic,ENSG00000118689,2284,-1.0,1.833718383017614,0.4971650166178875,1.4860743483863024e-35,-5.523031714631962,2.468341848140217,1.0
2289,ABP1_code_potential_somatic,ENSG00000118689,2289,-1.0,1.833718383017614,0.6409212826432166,1.0255208479425349e-64,-3.296254127662822,1.4059176309694559,1.0
3270,ABP1_code_potential_somatic,ENSG00000118922,3270,-1.0,2.3075442446130325,0.2546139348163464,1.4785751400687988e-09,-4.033852946457376,1.7980863351805603,1.0
3268,ABP1_code_potential_somatic,ENSG00000118922,3268,-1.0,2.3075442446130325,-0.2842981143789299,1.1979483602978354e-11,4.508140069662214,3.012816982251507,1.0
1101,ABP1_code_potential_somatic,ENSG00000176887,1101,-1.0,2.0492380455104264,0.3937759359397374,9.061784803718672e-22,-4.087163306067721,1.7080733266246564,0.75
1100,ABP1_code_potential_somatic,ENSG00000176887,1100,-1.0,2.0492380455104264,0.5747518364116476,1.6996917970202137e-49,-9.435596498997736,5.680211428250311,0.75
1104,ABP1_code_potential_somatic,ENSG00000176887,1104,-1.0,2.0492380455104264,0.6051891968673684,4.707148290550106e-56,-4.210896450570901,1.7475627021063218,0.75
3256,ABP1_code_potential_somatic,ENSG00000184481,3256,-1.0,1.6551929422710487,0.2812222429069268,2.028264772595174e-11,-7.45590829953074,4.4026903420777845,0.8
3264,ABP1_code_potential_somatic,ENSG00000184481,3264,-1.0,1.6551929422710487,0.25129859717597636,2.44176272655712e-09,-6.683362154088752,2.6586933484664548,0.8
3266,ABP1_code_potential_somatic,ENSG00000184481,3266,-1.0,1.6551929422710487,0.4451406269448879,4.99915639417556e-28,-6.9029646611671005,3.021000099558351,0.8
3258,ABP1_code_potential_somatic,ENSG00000184481,3258,-1.0,1.6551929422710487,0.3408873825757153,2.2324339101400756e-16,-5.062377216272485,2.0703283865920175,0.8
1494,ABP1_code_potential_somatic,ENSG00000129194,1494,1.0,2.1536864413579027,-0.21446623581715313,4.016987531438759e-07,-2.5658310486451743,1.3264845108923007,1.0
1490,ABP1_code_potential_somatic,ENSG00000129194,1490,1.0,2.1536864413579027,-0.17995838801350786,2.2577758337536196e-05,-3.1118522806068913,1.3779212506849965,1.0
1481,ABP1_code_potential_somatic,ENSG00000129194,1481,1.0,2.1536864413579027,-0.38637348540747574,5.927386457306242e-21,-3.1595237103582625,1.442181985077491,1.0
195,ABP1_code_potential_somatic,ENSG00000125820,195,-1.0,2.2011716534060617,0.38131078851236166,2.0839315407084115e-20,-3.136244853985981,1.3478382729469034,1.0
196,ABP1_code_potential_somatic,ENSG00000125820,196,-1.0,2.2011716534060617,0.6110351173052444,2.1427077529094173e-57,-12.106973529891913,5.9454426927073465,1.0
192,ABP1_code_potential_somatic,ENSG00000125820,192,-1.0,2.2011716534060617,0.3581231131739425,5.0187136753240924e-18,-4.803138903598286,2.1461511124424173,1.0
197,ABP1_code_potential_somatic,ENSG00000125820,197,-1.0,2.2011716534060617,0.28945443933743714,4.883454663200465e-12,-3.941704771422402,2.2269760264286633,1.0
194,ABP1_code_potential_somatic,ENSG00000125820,194,-1.0,2.2011716534060617,0.4138550720706393,4.349577352480442e-24,-2.817537988332892,1.3356136766270552,1.0
2164,ABP1_code_potential_somatic,ENSG00000124766,2164,-1.0,1.5685702620755793,-0.24810685732957163,3.931152328428524e-09,3.4855298884506642,1.5068843253069248,0.5
2168,ABP1_code_potential_somatic,ENSG00000124766,2168,-1.0,1.5685702620755793,0.6597120120357272,9.45871801488194e-70,-3.8081351395654783,1.607074173027645,0.5
2158,ABP1_code_potential_somatic,ENSG00000124766,2158,-1.0,1.5685702620755793,0.7488274069467211,1.3197331325854062e-99,-4.2187211023826565,1.897304437614791,0.5
2918,ABP1_code_potential_somatic,ENSG00000162419,2918,-1.0,1.9572032396542014,0.5140835493377967,2.7049308769963784e-38,-3.450717106673756,1.5197469539894923,1.0
2512,ABP1_code_potential_somatic,ENSG00000128652,2512,-1.0,3.6461478690653397,0.1865944325210957,1.0987742459927316e-05,-4.622239301759998,1.8930281995560008,1.0
2513,ABP1_code_potential_somatic,ENSG00000128652,2513,-1.0,3.6461478690653397,0.2976693980399551,1.1252597729420222e-12,-3.1607370390634704,1.342060881005344,1.0
2508,ABP1_code_potential_somatic,ENSG00000128652,2508,-1.0,3.6461478690653397,-0.24540405047005642,5.853629747184635e-09,7.002309208687334,3.2583336328177177,1.0
2839,ABP1_code_potential_somatic,ENSG00000126456,2839,1.0,1.365858352175942,0.550806313360732,8.451690625511572e-45,4.5684552574767885,2.4548946501842805,1.0
2565,ABP1_code_potential_somatic,ENSG00000175745,2565,1.0,1.8227896645388486,0.4047934943371429,5.0633719300263606e-23,8.447646702871987,4.22722715818825,1.0
2558,ABP1_code_potential_somatic,ENSG00000175745,2558,1.0,1.8227896645388486,0.2940616109116653,2.1564585201837476e-12,3.541889483338992,1.554972435002565,1.0
2561,ABP1_code_potential_somatic,ENSG00000175745,2561,1.0,1.8227896645388486,-0.24991678113134932,3.0032564263120494e-09,-3.7083393861228693,1.5748550894317677,1.0
3485,ABP1_code_potential_somatic,ENSG00000129654,3485,1.0,1.531205809776176,-0.22560527735600183,9.387510341550672e-08,-5.154007144581006,2.113310360530451,1.0
1473,ABP1_code_potential_somatic,ENSG00000087510,1473,-1.0,1.3893791212377622,-0.25023472651555223,2.8638954699249105e-09,3.6557719777317894,1.6304246825864956,0.5
1364,ABP1_code_potential_somatic,ENSG00000173153,1364,-1.0,1.473626852122003,0.1923991804773529,5.7300573894444355e-06,-2.598325819221897,1.9796341530554342,1.0
780,ABP1_code_potential_somatic,ENSG00000115415,780,-1.0,1.409787898071904,0.2570534417172962,1.0175399069673693e-09,-4.071726097135111,1.7032127398459669,0.75
783,ABP1_code_potential_somatic,ENSG00000115415,783,-1.0,1.409787898071904,0.72549804988932,1.1812802619047889e-90,-5.7670984569138355,4.624532648817172,0.75
771,ABP1_code_potential_somatic,ENSG00000115415,771,-1.0,1.409787898071904,0.2512643252213075,2.454366343406566e-09,-2.7720773248288326,1.3688423771772096,0.75
503,ABP1_code_potential_somatic,ENSG00000068305,503,-1.0,1.68081917092844,0.24830322833791887,3.818369841885456e-09,-4.210896450570901,1.7475627021063218,1.0
500,ABP1_code_potential_somatic,ENSG00000068305,500,-1.0,1.68081917092844,0.40121105420751324,1.3090178053946188e-22,-3.9404128124020454,1.6107627919010397,1.0
489,ABP1_code_potential_somatic,ENSG00000068305,489,-1.0,1.68081917092844,0.3602522036684555,3.0894830510338585e-18,-3.074004543674218,1.346232326108497,1.0
490,ABP1_code_potential_somatic,ENSG00000068305,490,-1.0,1.68081917092844,0.21440337959390943,4.0492010423748867e-07,-5.407685137120208,2.3470502619845175,1.0
790,ABP1_code_potential_somatic,ENSG00000126561,790,-1.0,3.249914226271828,0.2670655922190121,2.10710409735857e-10,-4.731860457716675,3.2797419880986296,1.0
794,ABP1_code_potential_somatic,ENSG00000126561,794,-1.0,3.249914226271828,0.358109404392075,5.03435669532338e-18,-3.511836928083882,1.6422644582724744,1.0
1570,ABP1_code_potential_somatic,ENSG00000182568,1570,-1.0,3.083907073980609,0.5369513287929557,2.989233645983186e-42,-3.642093374736091,1.523394707123629,1.0
1559,ABP1_code_potential_somatic,ENSG00000182568,1559,-1.0,3.083907073980609,0.4311016676076871,3.2935593248948073e-26,-3.976978772239785,1.6857818239414153,1.0
1562,ABP1_code_potential_somatic,ENSG00000182568,1562,-1.0,3.083907073980609,0.25975662391203863,6.694878071989685e-10,-3.979143787675958,1.6705594413532043,1.0
1794,ABP1_code_potential_somatic,ENSG00000147421,1794,-1.0,2.394024715306208,0.41206512808924306,7.105661105142054e-24,-9.973974876336879,8.65888973605181,0.6666666666666666
1798,ABP1_code_potential_somatic,ENSG00000147421,1798,-1.0,2.394024715306208,0.5141627394287974,2.6240212468825756e-38,-4.250543089772428,1.8027745631499759,0.6666666666666666
1159,ABP1_code_potential_somatic,ENSG00000162702,1159,-1.0,1.6282820462316492,0.4228751588632708,3.503876087571372e-25,-3.8264664928933234,1.6414462590270822,1.0
1173,ABP1_code_potential_somatic,ENSG00000162702,1173,-1.0,1.6282820462316492,0.5996722142752609,8.199544904969831e-55,-4.174790013236176,1.9764101221906356,1.0
1153,ABP1_code_potential_somatic,ENSG00000162702,1153,-1.0,1.6282820462316492,0.5253982528740864,3.2518881955657156e-40,-2.9719657333922864,1.3177006674012042,1.0
1168,ABP1_code_potential_somatic,ENSG00000162702,1168,-1.0,1.6282820462316492,0.5055624476213332,6.780820177135276e-37,-3.8478603606127124,1.6951781845404905,1.0
1162,ABP1_code_potential_somatic,ENSG00000162702,1162,-1.0,1.6282820462316492,0.5310239577734518,3.3903727070524536e-41,-3.5874328090163226,1.527597738202059,1.0
1425,ABP1_code_potential_somatic,ENSG00000141448,1425,-1.0,1.6514949180032343,0.26666125119340894,2.2483415820679631e-10,-4.049504017487068,2.5792842164564065,1.0
1420,ABP1_code_potential_somatic,ENSG00000141448,1420,-1.0,1.6514949180032343,0.10488064504379657,0.014035071029509717,-3.5299999445323764,1.5179785536058354,1.0
1416,ABP1_code_potential_somatic,ENSG00000141448,1416,-1.0,1.6514949180032343,0.4673902354113108,4.338315352878638e-31,-4.199447407671457,1.9465245024695181,1.0
