,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2418,ACRC_code_potential_somatic,ENSG00000198815,2418,1.0,1.5566588755885924,0.5605588720355945,1.1486430183478801e-46,4.525617539584005,1.4325181834782788,1.0
2414,ACRC_code_potential_somatic,ENSG00000198815,2414,1.0,1.5566588755885924,0.5548471955733468,1.4485774081206976e-45,2.938585686461,1.3871270851991384,1.0
2405,ACRC_code_potential_somatic,ENSG00000198815,2405,1.0,1.5566588755885924,0.6295807657623466,7.637413688814105e-62,6.292205431522572,3.844402638217559,1.0
2419,ACRC_code_potential_somatic,ENSG00000198815,2419,1.0,1.5566588755885924,0.40728419041293845,2.5982494167875692e-23,4.675388712196868,2.5239735022108496,1.0
1934,ACRC_code_potential_somatic,ENSG00000006468,1934,1.0,3.9571777439019953,0.4887761171435828,2.984075155559033e-34,4.058518343981407,3.0285438208966697,0.75
1927,ACRC_code_potential_somatic,ENSG00000006468,1927,1.0,3.9571777439019953,0.4984914141826245,9.177637982013544e-36,9.166005950292504,16.492456453207513,0.75
1931,ACRC_code_potential_somatic,ENSG00000006468,1931,1.0,3.9571777439019953,0.307037410463607,1.9908923655259898e-13,5.894407854070246,2.257333755459878,0.75
2369,ACRC_code_potential_somatic,ENSG00000148516,2369,1.0,4.29258970471376,0.37533828059936836,8.930458685031683e-20,8.892608638244464,3.2424456161081756,1.0
2358,ACRC_code_potential_somatic,ENSG00000148516,2358,1.0,4.29258970471376,-0.47289697259782226,6.985546911952625e-32,-3.921352128211531,1.5044343592850467,1.0
2364,ACRC_code_potential_somatic,ENSG00000148516,2364,1.0,4.29258970471376,-0.5002130330118405,4.894209518590839e-36,-5.2447997428102155,2.6940024254607806,1.0
2363,ACRC_code_potential_somatic,ENSG00000148516,2363,1.0,4.29258970471376,0.5007088096496991,4.080975243308675e-36,6.72392572496439,2.0524189953988623,1.0
2520,ACRC_code_potential_somatic,ENSG00000112333,2520,1.0,2.4125230567399996,0.5670993464484083,5.931604568650053e-48,3.8233876916101,1.3131295734601374,1.0
2530,ACRC_code_potential_somatic,ENSG00000112333,2530,1.0,2.4125230567399996,0.62790340879799,1.984555698064428e-61,4.136695076996939,1.535405038960432,1.0
2524,ACRC_code_potential_somatic,ENSG00000112333,2524,1.0,2.4125230567399996,0.18161685894327023,1.89040325177178e-05,4.9054026015596115,5.765169382003554,1.0
2519,ACRC_code_potential_somatic,ENSG00000112333,2519,1.0,2.4125230567399996,0.5367556869751333,3.2412023142188855e-42,4.573533784571003,1.5247554405332768,1.0
1824,ACRC_code_potential_somatic,ENSG00000096401,1824,1.0,3.2048413794569464,0.4715760439620218,1.0858410840866914e-31,10.313250653903255,20.213502756183015,1.0
2605,ACRC_code_potential_somatic,ENSG00000147601,2605,1.0,1.6626801896778791,0.34344283077011933,1.2906175885613344e-16,3.5484613405301624,1.3772118790786996,1.0
1108,ACRC_code_potential_somatic,ENSG00000100105,1108,1.0,1.8896681520901975,0.5687831932084362,2.7362525640183454e-48,7.404077638295895,6.71337731823439,1.0
1110,ACRC_code_potential_somatic,ENSG00000100105,1110,1.0,1.8896681520901975,0.5463250729901485,5.811560049819726e-44,5.725528596110744,3.4635199841840683,1.0
2720,ACRC_code_potential_somatic,ENSG00000130726,2720,1.0,2.9528929949568847,0.3850182848170064,8.316832791246072e-21,4.236083397145452,1.3799731964741864,1.0
2343,ACRC_code_potential_somatic,ENSG00000198914,2343,1.0,1.4237476207413176,-0.3318981405422859,1.4743340886202337e-15,-3.250938508635718,1.320503157958569,0.5
1084,ACRC_code_potential_somatic,ENSG00000163848,1084,1.0,1.4298699165919806,-0.16844446962582393,7.416022337125721e-05,-3.1396181171205257,1.326904314330583,1.0
1079,ACRC_code_potential_somatic,ENSG00000163848,1079,1.0,1.4298699165919806,0.3841071612561824,1.043439722072115e-20,3.492933037553893,1.4451684663745017,1.0
1077,ACRC_code_potential_somatic,ENSG00000163848,1077,1.0,1.4298699165919806,0.5905431864182139,8.225260381726367e-53,4.330699800897537,1.8292231397842469,1.0
1068,ACRC_code_potential_somatic,ENSG00000163848,1068,1.0,1.4298699165919806,0.3802385138455415,2.7121388501047386e-20,4.068945907677732,1.4743758817083876,1.0
1066,ACRC_code_potential_somatic,ENSG00000163848,1066,1.0,1.4298699165919806,0.5698172582917531,1.6976368826165313e-48,4.913450000829933,1.9443896400440819,1.0
2894,ACRC_code_potential_somatic,ENSG00000183918,2894,-1.0,4.277592494521625,-0.4147288664466925,3.419186821723198e-24,6.3400636200643135,3.8053493933571527,1.0
3316,ACRC_code_potential_somatic,ENSG00000091831,3316,-1.0,8.772879671277812,-0.28535194052547075,9.987085165658603e-12,4.177819590702505,1.470902047151182,1.0
3320,ACRC_code_potential_somatic,ENSG00000091831,3320,-1.0,8.772879671277812,-0.3682767995565355,4.801467290177401e-19,3.3760293364246587,1.517449446446252,1.0
2632,ACRC_code_potential_somatic,ENSG00000143995,2632,1.0,1.6389818886660916,0.16687014728263141,8.674307949184707e-05,4.272719747744866,1.3546617005260753,1.0
1394,ACRC_code_potential_somatic,ENSG00000125398,1394,1.0,1.673443225504587,0.31749684643327764,2.6718458665404103e-14,4.915165078281057,2.766671624325489,1.0
2887,ACRC_code_potential_somatic,ENSG00000125482,2887,1.0,2.8209205832003836,0.6821702780921197,2.88366451140532e-76,4.107464540506191,2.020145367550797,1.0
560,ACRC_code_potential_somatic,ENSG00000181449,560,1.0,3.918798122368712,0.7759856705311577,2.31757765165303e-111,7.446402130625321,6.8993039020933065,0.5
3207,ACRC_code_potential_somatic,ENSG00000171634,3207,1.0,2.2981635507961546,0.36323597837716753,1.5556726954501605e-18,5.3170458526782935,2.043878608528002,1.0
3211,ACRC_code_potential_somatic,ENSG00000171634,3211,1.0,2.2981635507961546,0.6699666913060146,1.179309769641744e-72,9.519653659419724,7.2023016984707064,1.0
3338,ACRC_code_potential_somatic,ENSG00000102974,3338,1.0,3.453339452853277,0.389319560966052,2.823069605953081e-21,8.047716169023076,8.444278661703978,1.0
1091,ACRC_code_potential_somatic,ENSG00000070444,1091,1.0,2.864008647547437,0.536417196733489,3.727865465651485e-42,3.8538470553403603,1.8835350024929336,1.0
737,ACRC_code_potential_somatic,ENSG00000196628,737,1.0,3.32314429909614,0.31517379125914946,4.202658102846163e-14,4.212539025558134,1.3578646440104256,1.0
736,ACRC_code_potential_somatic,ENSG00000196628,736,1.0,3.32314429909614,0.45935276903174516,5.879758417411796e-30,3.95055946481152,1.4117582827236028,1.0
1664,ACRC_code_potential_somatic,ENSG00000143190,1664,1.0,2.4244078174858927,0.5191114638448744,3.871341650279736e-39,5.643957742586286,1.781453002940874,0.8333333333333334
1676,ACRC_code_potential_somatic,ENSG00000143190,1676,1.0,2.4244078174858927,-0.29469739213029883,1.9241898424707e-12,-3.529113989488521,1.3034939602815339,0.8333333333333334
1668,ACRC_code_potential_somatic,ENSG00000143190,1668,1.0,2.4244078174858927,0.3743828222546324,1.1240056061181998e-19,5.072404818729656,1.7681449607616497,0.8333333333333334
1666,ACRC_code_potential_somatic,ENSG00000143190,1666,1.0,2.4244078174858927,0.3127456597303877,6.718985285250589e-14,3.2127567407387305,1.4698369600028627,0.8333333333333334
1669,ACRC_code_potential_somatic,ENSG00000143190,1669,1.0,2.4244078174858927,0.41618111692591947,2.2883478984196298e-24,7.0328273709190965,7.5162814815469705,0.8333333333333334
2973,ACRC_code_potential_somatic,ENSG00000187079,2973,1.0,1.586889429465645,0.34902507591420256,3.8305414520904706e-17,7.0916991304604355,4.909999088970508,1.0
2970,ACRC_code_potential_somatic,ENSG00000187079,2970,1.0,1.586889429465645,0.45223907794733165,5.578391551470065e-29,4.133356667567175,1.3676982829093638,1.0
2969,ACRC_code_potential_somatic,ENSG00000187079,2969,1.0,1.586889429465645,0.3898660892644415,2.458114604640468e-21,5.423797435305919,1.8115668819540904,1.0
2989,ACRC_code_potential_somatic,ENSG00000168066,2989,1.0,2.3744748758702223,0.1093962251410747,0.010384741680533648,7.232121079817797,3.9187036197508753,1.0
