,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,ADAMTS19_code_potential_somatic,ENSG00000125952,1313,-1.0,1.3597893841176811,0.6383058949876683,4.830752998599309e-64,-4.019181269969725,1.6404597619773873,1.0
1308,ADAMTS19_code_potential_somatic,ENSG00000125952,1308,-1.0,1.3597893841176811,0.293091131242117,2.5647925652965465e-12,-3.943626257783552,1.6076461519686052,1.0
1317,ADAMTS19_code_potential_somatic,ENSG00000125952,1317,-1.0,1.3597893841176811,0.2754762215709579,5.331152556561886e-11,-7.486234359430619,3.1379543899608198,1.0
2525,ADAMTS19_code_potential_somatic,ENSG00000112333,2525,1.0,3.217211251195256,0.4068991778158076,2.8815856743790265e-23,9.503168226514765,4.345542522791496,1.0
1443,ADAMTS19_code_potential_somatic,ENSG00000007372,1443,1.0,1.6063901099317026,-0.27238496417888014,8.883658235944623e-11,-4.4582870427692365,2.3155926489365433,1.0
3522,ADAMTS19_code_potential_somatic,ENSG00000153234,3522,-1.0,1.3885901705581767,0.17118411134680978,5.626856667007211e-05,-3.343315088051172,1.3962414189226653,1.0
460,ADAMTS19_code_potential_somatic,ENSG00000172216,460,-1.0,1.9714024715708742,0.7538666239069344,1.1372637327826006e-101,-6.15866770141855,2.7367694606314132,0.75
470,ADAMTS19_code_potential_somatic,ENSG00000172216,470,-1.0,1.9714024715708742,0.7912697226895726,9.865638401480642e-119,-3.3954902701075693,1.4182770409141912,0.75
467,ADAMTS19_code_potential_somatic,ENSG00000172216,467,-1.0,1.9714024715708742,0.6371701807451847,9.424611068960706e-64,-3.562502650403142,1.5310246368147389,0.75
3277,ADAMTS19_code_potential_somatic,ENSG00000137309,3277,-1.0,2.784501904659234,0.27867693046081854,3.120616831555176e-11,-4.0890180002332315,1.7031120768861367,1.0
3273,ADAMTS19_code_potential_somatic,ENSG00000137309,3273,-1.0,2.784501904659234,0.18477367056353378,1.342248350476008e-05,-4.384909301046541,1.8595495124057935,1.0
129,ADAMTS19_code_potential_somatic,ENSG00000196843,129,-1.0,1.6025148926518191,0.35362189298297775,1.3831236173598629e-17,-4.133832537624843,1.7523897014612004,1.0
65,ADAMTS19_code_potential_somatic,ENSG00000166888,65,-1.0,1.4490450318677315,0.5148827421530532,1.99018946659297e-38,-3.439029186650838,1.4536428996821351,1.0
61,ADAMTS19_code_potential_somatic,ENSG00000166888,61,-1.0,1.4490450318677315,0.4969623016519739,1.599369703284443e-35,-3.264492505961161,1.3716662778375819,1.0
2558,ADAMTS19_code_potential_somatic,ENSG00000175745,2558,1.0,1.6060504186882303,0.2940616109116653,2.1564585201837476e-12,3.2945303380476396,1.3872397503569882,1.0
2569,ADAMTS19_code_potential_somatic,ENSG00000175745,2569,1.0,1.6060504186882303,-0.22713847335359172,7.639153588939715e-08,-5.260069150088557,2.0406542736199316,1.0
3592,ADAMTS19_code_potential_somatic,ENSG00000100219,3592,-1.0,2.1410237929190976,0.5456609991791503,7.714493003452229e-44,-6.612420642489282,2.501727205859333,1.0
2945,ADAMTS19_code_potential_somatic,ENSG00000152977,2945,1.0,1.3668991997482467,0.16847021005135182,7.396956980775913e-05,3.0586081229927014,2.540410830670339,0.5
1619,ADAMTS19_code_potential_somatic,ENSG00000181690,1619,-1.0,11.553440307761303,0.21888053649755354,2.2785839168686105e-07,-3.7693171559799135,1.5832059777258523,1.0
1617,ADAMTS19_code_potential_somatic,ENSG00000181690,1617,-1.0,11.553440307761303,0.2690086662106309,1.540364797078522e-10,-3.985215411828093,1.7410163475391567,1.0
1514,ADAMTS19_code_potential_somatic,ENSG00000177426,1514,-1.0,1.5108216748152554,0.277623906423855,3.7247063661707246e-11,-3.363809595903606,1.4204080775079977,1.0
