,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3056,AFF2_code_potential_somatic,ENSG00000124782,3056,-1.0,1.4460453892564633,0.21086425338145703,6.324104308567523e-07,-3.1500511183760356,1.7880189070701873,0.6666666666666666
3064,AFF2_code_potential_somatic,ENSG00000124782,3064,-1.0,1.4460453892564633,0.18818766768191866,9.20781015275913e-06,-3.734090483673751,2.1093217754976665,0.6666666666666666
220,AFF2_code_potential_somatic,ENSG00000136826,220,-1.0,1.6388922279740614,0.3135864164055618,5.714192364183687e-14,-3.7022130624792253,2.0743876553879317,1.0
3599,AFF2_code_potential_somatic,ENSG00000168779,3599,1.0,2.526959029659907,0.4704775999320541,1.5647032113427093e-31,5.583157836710677,2.8042732866276463,1.0
1813,AFF2_code_potential_somatic,ENSG00000281306,1813,1.0,2.3870363204485057,0.5686354592080978,2.928966155671868e-48,4.078494837912953,2.118925321663487,1.0
1810,AFF2_code_potential_somatic,ENSG00000281306,1810,1.0,2.3870363204485057,0.5363910187936461,3.768390707530011e-42,2.7635985832738648,1.4529342209500598,1.0
3007,AFF2_code_potential_somatic,ENSG00000077463,3007,1.0,1.7403032125629678,0.5322309139302153,2.075765770590589e-41,4.940146519182774,2.8519987983458184,0.5
830,AFF2_code_potential_somatic,ENSG00000152284,830,-1.0,1.8464685272688874,0.24158242510830485,1.0196103818699193e-08,-2.608673604935545,1.4222181543299608,1.0
832,AFF2_code_potential_somatic,ENSG00000152284,832,-1.0,1.8464685272688874,0.2787978302498419,3.057707982116084e-11,-2.720717325485469,1.4110410505630984,1.0
3526,AFF2_code_potential_somatic,ENSG00000153234,3526,-1.0,4.042510921742261,0.28253318163253655,1.6218199881278203e-11,-5.771418535954404,3.361034746870787,1.0
3523,AFF2_code_potential_somatic,ENSG00000153234,3523,-1.0,4.042510921742261,0.12843859818371767,0.0025928454275054203,-3.2976428019499324,2.177027585680864,1.0
3525,AFF2_code_potential_somatic,ENSG00000153234,3525,-1.0,4.042510921742261,0.18073526759870343,2.0779665810347115e-05,-3.121484482913242,1.8446789449577745,1.0
3602,AFF2_code_potential_somatic,ENSG00000166478,3602,1.0,2.911193157875162,0.547348273134645,3.751574126272493e-44,2.681988558295244,1.4087128052803237,1.0
