,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1585,ANKRD36_code_potential_somatic,ENSG00000185811,1585,1.0,9.31778238968405,0.40857361801806463,1.835320516994237e-23,12.855671821719964,7.938185839333812,0.3333333333333333
435,ANKRD36_code_potential_somatic,ENSG00000129535,435,-1.0,3.3487914826519085,-0.2484535874241469,3.734143025126011e-09,4.682026734413197,2.154288047699146,1.0
221,ANKRD36_code_potential_somatic,ENSG00000020633,221,1.0,8.570238384419776,0.6379715611320159,5.8828214436437776e-64,7.288834156204305,4.551897705381747,1.0
3683,ANKRD36_code_potential_somatic,ENSG00000106689,3683,-1.0,1.6075520995372778,0.3051781933823481,2.8216062632409315e-13,-3.673330543996271,1.548123716750821,1.0
344,ANKRD36_code_potential_somatic,ENSG00000159216,344,1.0,7.908399343650633,0.46056329822208036,3.988216844167444e-30,8.432103561518081,7.6575886132570155,1.0
346,ANKRD36_code_potential_somatic,ENSG00000159216,346,1.0,7.908399343650633,0.6165858614186533,1.0733277171175652e-58,7.729781530676183,3.8024715459102714,1.0
2187,ANKRD36_code_potential_somatic,ENSG00000132170,2187,1.0,5.399167693924583,-0.41044792934318824,1.1043024615220297e-23,-3.6831503144330635,1.5384201901827272,0.75
2197,ANKRD36_code_potential_somatic,ENSG00000132170,2197,1.0,5.399167693924583,0.4633611293469509,1.616432207712841e-30,3.3371749588042685,1.4252055378720923,0.75
2186,ANKRD36_code_potential_somatic,ENSG00000132170,2186,1.0,5.399167693924583,0.45265675827997665,4.895182796667773e-29,5.360076501980914,2.468975232100073,0.75
1095,ANKRD36_code_potential_somatic,ENSG00000176887,1095,-1.0,1.6526766299780673,-0.19735774896551567,3.2344417563205297e-06,5.927794240345452,2.710668428811962,1.0
1094,ANKRD36_code_potential_somatic,ENSG00000176887,1094,-1.0,1.6526766299780673,-0.39989625077212165,1.849640344098444e-22,6.0754432520418735,2.542279633307862,1.0
1093,ANKRD36_code_potential_somatic,ENSG00000176887,1093,-1.0,1.6526766299780673,-0.3394025319099243,3.0623244682031237e-16,3.4127776832084344,1.4750454631900984,1.0
1100,ANKRD36_code_potential_somatic,ENSG00000176887,1100,-1.0,1.6526766299780673,0.5747518364116476,1.6996917970202137e-49,-5.076905585627755,1.9487277024155059,1.0
167,ANKRD36_code_potential_somatic,ENSG00000178573,167,1.0,3.5905193186700264,0.3452116282262944,8.80613792687681e-17,4.176547162502328,3.957293589254792,1.0
158,ANKRD36_code_potential_somatic,ENSG00000178573,158,1.0,3.5905193186700264,0.4564464343567742,1.4837418012313657e-29,4.242667859864638,1.8052801484933612,1.0
166,ANKRD36_code_potential_somatic,ENSG00000178573,166,1.0,3.5905193186700264,0.5169340280185626,9.020489212937334e-39,3.228127110302688,1.4252553637346972,1.0
154,ANKRD36_code_potential_somatic,ENSG00000178573,154,1.0,3.5905193186700264,0.6056710459662019,3.657733594393192e-56,9.414858933090395,7.530485106874923,1.0
165,ANKRD36_code_potential_somatic,ENSG00000178573,165,1.0,3.5905193186700264,0.5041632039231617,1.1409910202983428e-36,3.522309759895845,1.5409982774230075,1.0
460,ANKRD36_code_potential_somatic,ENSG00000172216,460,1.0,1.4103175391353209,0.7538666239069344,1.1372637327826006e-101,8.337635113658234,4.118212332547371,1.0
469,ANKRD36_code_potential_somatic,ENSG00000172216,469,1.0,1.4103175391353209,0.6394314005628039,2.4840885724924715e-64,5.244345997232647,2.2083077343242077,1.0
473,ANKRD36_code_potential_somatic,ENSG00000172216,473,1.0,1.4103175391353209,0.5345396040510034,8.07633152170066e-42,6.058874632220726,2.2863110779806446,1.0
470,ANKRD36_code_potential_somatic,ENSG00000172216,470,1.0,1.4103175391353209,0.7912697226895726,9.865638401480642e-119,3.645215612013614,1.4910458548015018,1.0
467,ANKRD36_code_potential_somatic,ENSG00000172216,467,1.0,1.4103175391353209,0.6371701807451847,9.424611068960706e-64,3.601509192522829,1.5037658217712366,1.0
472,ANKRD36_code_potential_somatic,ENSG00000172216,472,1.0,1.4103175391353209,0.7355169089438647,2.210997179429216e-94,3.3043700354626937,1.4148678658801241,1.0
457,ANKRD36_code_potential_somatic,ENSG00000172216,457,1.0,1.4103175391353209,0.7148546391502247,7.166896573166083e-87,7.150024669017812,4.152382682617374,1.0
3264,ANKRD36_code_potential_somatic,ENSG00000184481,3264,-1.0,2.886115731649393,0.25129859717597636,2.44176272655712e-09,-3.3489930246116404,1.4102456501179792,1.0
3266,ANKRD36_code_potential_somatic,ENSG00000184481,3266,-1.0,2.886115731649393,0.4451406269448879,4.99915639417556e-28,-3.1873307894101743,1.7187948783517866,1.0
3252,ANKRD36_code_potential_somatic,ENSG00000184481,3252,-1.0,2.886115731649393,-0.30368539453983595,3.726652938907681e-13,4.941751049994587,2.1157125658215565,1.0
3265,ANKRD36_code_potential_somatic,ENSG00000184481,3265,-1.0,2.886115731649393,0.3577604138068726,5.449156345779989e-18,-3.2971375127398,1.4865013985389492,1.0
3254,ANKRD36_code_potential_somatic,ENSG00000184481,3254,-1.0,2.886115731649393,-0.2884794386866346,5.794676498562081e-12,3.4937478167079226,1.4418762935364504,1.0
201,ANKRD36_code_potential_somatic,ENSG00000125820,201,-1.0,1.8090884973215542,0.3954492094371546,5.887931734240413e-22,-3.085526404617239,1.3098284823921342,1.0
190,ANKRD36_code_potential_somatic,ENSG00000125820,190,-1.0,1.8090884973215542,-0.2083049404772713,8.688924697327652e-07,8.474030553882384,5.796631180933833,1.0
194,ANKRD36_code_potential_somatic,ENSG00000125820,194,-1.0,1.8090884973215542,0.4138550720706393,4.349577352480442e-24,-3.8939640385066525,1.5978025621137106,1.0
3326,ANKRD36_code_potential_somatic,ENSG00000128604,3326,1.0,10.099895336839822,0.3469964678740166,5.973014440631016e-17,3.075936402328363,1.3020896163806308,1.0
3329,ANKRD36_code_potential_somatic,ENSG00000128604,3329,1.0,10.099895336839822,0.3914265569876615,1.6532030520778984e-21,4.0418152648166,1.627250766714801,1.0
3333,ANKRD36_code_potential_somatic,ENSG00000128604,3333,1.0,10.099895336839822,0.38265257199717345,1.4965672946494608e-20,2.9866465042437875,1.4215567486004812,1.0
427,ANKRD36_code_potential_somatic,ENSG00000162367,427,1.0,9.946862511737006,0.21193229874323286,5.532397045538258e-07,8.381001344059936,6.631053091204818,0.5
626,ANKRD36_code_potential_somatic,ENSG00000140968,626,1.0,6.935903964471628,0.36230917722005884,1.926666849228829e-18,13.63420921313066,25.72570308998,1.0
