,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2495,ANO2_code_potential_somatic,ENSG00000184058,2495,1.0,1.3659976464579067,-0.24090750392523355,1.123510648617138e-08,-2.6906416901553407,1.424863493286593,1.0
2500,ANO2_code_potential_somatic,ENSG00000184058,2500,1.0,1.3659976464579067,-0.4294196751368483,5.36936576208349e-26,-2.747461926654104,1.4702573368478775,1.0
2501,ANO2_code_potential_somatic,ENSG00000184058,2501,1.0,1.3659976464579067,-0.332835976746405,1.2142721685346405e-15,-2.7231312884172203,1.45359188352621,1.0
80,ANO2_code_potential_somatic,ENSG00000213928,80,-1.0,1.306443074719009,0.3026300370931928,4.532306656935337e-13,-2.8312589649218376,1.4598188916307844,1.0
90,ANO2_code_potential_somatic,ENSG00000213928,90,-1.0,1.306443074719009,0.5442608075332965,1.3988896138491242e-43,-2.589663578852523,1.3530694498068454,1.0
85,ANO2_code_potential_somatic,ENSG00000213928,85,-1.0,1.306443074719009,0.24083354643926425,1.1355010397506477e-08,-2.745399110535624,1.4416912276497276,1.0
76,ANO2_code_potential_somatic,ENSG00000213928,76,-1.0,1.306443074719009,0.19374657872920614,4.9124323702480266e-06,-2.8495302282364294,1.5060609916382486,1.0
3238,ANO2_code_potential_somatic,ENSG00000117505,3238,-1.0,1.5762459147189265,0.2802726180863897,2.383195599247095e-11,-2.7392819638315205,1.4250082595497295,1.0
2952,ANO2_code_potential_somatic,ENSG00000099326,2952,1.0,1.8112577940220842,0.6748517573892705,4.433728282902681e-74,3.266892628899803,2.095227708538222,1.0
2098,ANO2_code_potential_somatic,ENSG00000105856,2098,-1.0,1.4176066067263096,0.38110100039835687,2.1943428122448814e-20,-3.1174842946589427,1.6064146525403733,1.0
2096,ANO2_code_potential_somatic,ENSG00000105856,2096,-1.0,1.4176066067263096,0.3961684829708856,4.888121905985231e-22,-2.56157152932903,1.3261913077619765,1.0
1722,ANO2_code_potential_somatic,ENSG00000170365,1722,-1.0,1.6675086360384883,0.45593395925589614,1.7451918718574865e-29,-3.472871850625027,1.8157424645565945,1.0
1716,ANO2_code_potential_somatic,ENSG00000170365,1716,-1.0,1.6675086360384883,0.2646815037979524,3.08417150033123e-10,-3.9107861886272657,2.0702368749078186,1.0
1710,ANO2_code_potential_somatic,ENSG00000170365,1710,-1.0,1.6675086360384883,0.5793861338734011,1.88865570112978e-50,-3.8387734215954987,2.1926168684384937,1.0
1711,ANO2_code_potential_somatic,ENSG00000170365,1711,-1.0,1.6675086360384883,0.20499397798005037,1.3028818985119082e-06,-4.017737561970959,2.096515966993822,1.0
3612,ANO2_code_potential_somatic,ENSG00000166478,3612,-1.0,1.3332539228292153,0.24806799147459604,3.953854481633457e-09,-3.9536076232061905,2.3977879574890806,1.0
356,ANO2_code_potential_somatic,ENSG00000173039,356,-1.0,1.5472216434515793,0.3999613674859924,1.8183068309375444e-22,-2.6745551223877917,1.4124835992163411,1.0
2966,ANO2_code_potential_somatic,ENSG00000143799,2966,-1.0,1.735449585464441,0.23901027845088144,1.473562004007722e-08,-3.2550571474838113,1.6891355608220608,1.0
2967,ANO2_code_potential_somatic,ENSG00000143799,2967,-1.0,1.735449585464441,0.09611854071183726,0.024439329276340804,-3.1783489134933287,1.703440931001689,1.0
2965,ANO2_code_potential_somatic,ENSG00000143799,2965,-1.0,1.735449585464441,0.1519239290943884,0.0003582575815629536,-2.450636618955257,1.3440183993339598,1.0
3092,ANO2_code_potential_somatic,ENSG00000119725,3092,-1.0,1.3254605129077397,0.43490432327582723,1.0798985900997392e-26,-2.9335426812809873,1.5146665823559768,1.0
48,ANO2_code_potential_somatic,ENSG00000125347,48,-1.0,1.3649138495116508,0.28441310772470174,1.1744481038422287e-11,-3.2898317957458683,1.725081537477623,1.0
55,ANO2_code_potential_somatic,ENSG00000125347,55,-1.0,1.3649138495116508,0.36897718705567234,4.0711881418957313e-19,-5.37315632756448,2.7071906420149343,1.0
530,ANO2_code_potential_somatic,ENSG00000196092,530,1.0,1.6692269396472872,-0.20883778755202057,8.135480889585371e-07,-2.718680742989856,1.426544812729502,1.0
1333,ANO2_code_potential_somatic,ENSG00000116044,1333,-1.0,1.3249100132709275,0.3009090016163966,6.225806099418255e-13,-2.8127417332821114,1.4966468269566762,1.0
1324,ANO2_code_potential_somatic,ENSG00000116044,1324,-1.0,1.3249100132709275,0.5899994290438191,1.0773378209287607e-52,-2.9887503148257633,1.567714960216413,1.0
1331,ANO2_code_potential_somatic,ENSG00000116044,1331,-1.0,1.3249100132709275,0.4251115862030444,1.8542695957651335e-25,-5.722423356673562,2.908586276913035,1.0
1327,ANO2_code_potential_somatic,ENSG00000116044,1327,-1.0,1.3249100132709275,0.5498990545096897,1.2516814062210034e-44,-6.078234488225077,4.780938032690711,1.0
2393,ANO2_code_potential_somatic,ENSG00000092067,2393,1.0,1.8634483848858783,-0.10969667284974915,0.010174872037970795,-3.063519670085576,1.603690034969802,1.0
3124,ANO2_code_potential_somatic,ENSG00000156273,3124,-1.0,1.3257145126350007,0.3061779865109962,2.3398544779915107e-13,-5.71510284677006,3.123384893853229,1.0
2351,ANO2_code_potential_somatic,ENSG00000155959,2351,-1.0,1.677367680733151,0.6798362850601185,1.4597848425820899e-75,-4.707524615199294,2.9222256506813196,1.0
