,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1596,AQP10_code_potential_somatic,ENSG00000185811,1596,-1.0,1.6086270088377967,0.29259323995173636,2.8027125371516682e-12,-7.254164951866717,4.003195894256164,1.0
1594,AQP10_code_potential_somatic,ENSG00000185811,1594,-1.0,1.6086270088377967,0.4067356203810794,3.010990387751692e-23,-4.392633519994016,1.4259557827381364,1.0
1589,AQP10_code_potential_somatic,ENSG00000185811,1589,-1.0,1.6086270088377967,0.48857770440176596,3.2002803666066633e-34,-3.9958679749318047,1.3626554761208929,1.0
1585,AQP10_code_potential_somatic,ENSG00000185811,1585,-1.0,1.6086270088377967,0.40857361801806463,1.835320516994237e-23,-13.619507075714383,21.163433288709864,1.0
3709,AQP10_code_potential_somatic,ENSG00000077150,3709,-1.0,1.8115558018257534,0.2757325320404494,5.1086633499228984e-11,-4.425732538433427,1.6071547242348165,1.0
3703,AQP10_code_potential_somatic,ENSG00000162772,3703,-1.0,1.7707766100311026,0.22458535856886738,1.0758219154562867e-07,-4.766656815339402,1.642061984294201,1.0
2601,AQP10_code_potential_somatic,ENSG00000087903,2601,-1.0,1.7248508756324712,0.4393491041201672,2.880696229003802e-27,-3.1133021259103293,1.3232405927141189,1.0
2603,AQP10_code_potential_somatic,ENSG00000087903,2603,-1.0,1.7248508756324712,-0.24252030996139157,8.905579745819154e-09,4.572805727169138,1.4370695124950765,1.0
882,AQP10_code_potential_somatic,ENSG00000139083,882,-1.0,2.0068432161680616,-0.20097066925908483,2.1127523216789135e-06,5.900639783863638,2.1755227573585167,1.0
1583,AQP10_code_potential_somatic,ENSG00000105866,1583,1.0,2.7812363062792023,-0.18440426264363505,1.397546363172393e-05,-5.643919943166709,1.7225030635571594,1.0
1579,AQP10_code_potential_somatic,ENSG00000105866,1579,1.0,2.7812363062792023,-0.20907277809995847,7.902313733629644e-07,-4.966124636318315,2.3439699600930264,1.0
1578,AQP10_code_potential_somatic,ENSG00000105866,1578,1.0,2.7812363062792023,-0.32483695117566297,6.221744664343175e-15,-5.331225860754133,1.8820295502377173,1.0
1577,AQP10_code_potential_somatic,ENSG00000105866,1577,1.0,2.7812363062792023,0.37185151026660157,2.0597864056495832e-19,5.126223644980822,2.4067416754324245,1.0
1574,AQP10_code_potential_somatic,ENSG00000105866,1574,1.0,2.7812363062792023,-0.21339921132211218,4.598802402890166e-07,-9.440059807590055,3.06880647547023,1.0
1581,AQP10_code_potential_somatic,ENSG00000105866,1581,1.0,2.7812363062792023,0.3174751165556365,2.683239351199029e-14,4.758382690967097,1.745555149296774,1.0
1575,AQP10_code_potential_somatic,ENSG00000105866,1575,1.0,2.7812363062792023,-0.3630196275484389,1.6354190401390349e-18,-5.201665542782411,1.9823598994164897,1.0
221,AQP10_code_potential_somatic,ENSG00000020633,221,-1.0,1.4442758188590377,0.6379715611320159,5.8828214436437776e-64,-4.149535753675855,1.7049545426951136,1.0
228,AQP10_code_potential_somatic,ENSG00000020633,228,-1.0,1.4442758188590377,0.3442018451874556,1.0956935832425158e-16,-5.30908216310593,2.267345111568956,1.0
223,AQP10_code_potential_somatic,ENSG00000020633,223,-1.0,1.4442758188590377,0.41155265298836496,8.17328897573916e-24,-6.210383908169319,2.2166347986418438,1.0
229,AQP10_code_potential_somatic,ENSG00000020633,229,-1.0,1.4442758188590377,0.42433798797521083,2.312105141085476e-25,-4.404035754051254,1.611616120748947,1.0
224,AQP10_code_potential_somatic,ENSG00000020633,224,-1.0,1.4442758188590377,-0.1923992533964054,5.730009813542999e-06,3.7679433505395106,1.324215994097369,1.0
1550,AQP10_code_potential_somatic,ENSG00000134323,1550,1.0,2.7812363062792023,-0.5060944650282776,5.560042287405335e-37,-5.131657132849624,2.0571541224295333,1.0
2457,AQP10_code_potential_somatic,ENSG00000071794,2457,1.0,3.2101740823826383,0.39612341899644865,4.945513996166504e-22,4.489967405902728,1.5047641743232845,1.0
1811,AQP10_code_potential_somatic,ENSG00000281306,1811,1.0,4.870540134005486,0.3486595327040857,4.150775912575143e-17,5.024951910344689,1.6901967322342601,1.0
1816,AQP10_code_potential_somatic,ENSG00000281306,1816,1.0,4.870540134005486,0.2775112464877627,3.795725456340904e-11,6.705874259072345,5.655148828245614,1.0
2185,AQP10_code_potential_somatic,ENSG00000136997,2185,-1.0,1.7707766100311026,0.2573077833723706,9.784390088048002e-10,-2.592231462935582,1.4774844211591294,1.0
3531,AQP10_code_potential_somatic,ENSG00000196812,3531,1.0,2.172422666625974,0.2763133322935077,4.6374949861199033e-11,5.324356611105987,2.0136336397516232,1.0
892,AQP10_code_potential_somatic,ENSG00000154727,892,1.0,2.2537752559975037,0.33724084659894965,4.837035515018521e-16,6.57495257108527,2.173323096620707,0.5
3421,AQP10_code_potential_somatic,ENSG00000185022,3421,-1.0,2.0833193399228906,0.42446457545032806,2.2301941256005507e-25,-6.186336349164575,2.3880404423224273,1.0
514,AQP10_code_potential_somatic,ENSG00000120690,514,-1.0,1.3256792904019212,0.720242482100378,9.169289141148163e-89,-3.754392450112531,2.097469537261128,0.875
520,AQP10_code_potential_somatic,ENSG00000120690,520,-1.0,1.3256792904019212,0.37499060255711075,9.710966326774683e-20,-4.940463506841957,5.834684298987433,0.875
519,AQP10_code_potential_somatic,ENSG00000120690,519,-1.0,1.3256792904019212,0.43115883614483685,3.239143679177495e-26,-9.863384611086376,2.7606453729254667,0.875
513,AQP10_code_potential_somatic,ENSG00000120690,513,-1.0,1.3256792904019212,0.5715665134418617,7.541806748598516e-49,-5.852722294954708,2.1797502767473436,0.875
522,AQP10_code_potential_somatic,ENSG00000120690,522,-1.0,1.3256792904019212,0.5149455254572445,1.9427218299118388e-38,-8.844217380483613,4.904532167614558,0.875
505,AQP10_code_potential_somatic,ENSG00000120690,505,-1.0,1.3256792904019212,0.593719832020754,1.682613800120794e-53,-3.6054646598567968,1.4655281917617826,0.875
515,AQP10_code_potential_somatic,ENSG00000120690,515,-1.0,1.3256792904019212,0.5845918979494944,1.5342715639809988e-51,-3.8315122724142276,1.3284752048599207,0.875
349,AQP10_code_potential_somatic,ENSG00000159216,349,-1.0,1.5406600194853126,0.5700792564473387,1.503842326774578e-48,-3.95742442024247,1.4850500649300407,1.0
352,AQP10_code_potential_somatic,ENSG00000159216,352,-1.0,1.5406600194853126,0.46592890086122507,7.004613737833904e-31,-6.0436304384744215,2.6532297615943494,1.0
346,AQP10_code_potential_somatic,ENSG00000159216,346,-1.0,1.5406600194853126,0.6165858614186533,1.0733277171175652e-58,-10.528495250428925,17.019531068251826,1.0
2186,AQP10_code_potential_somatic,ENSG00000132170,2186,-1.0,1.556465956779648,0.45265675827997665,4.895182796667773e-29,-7.079581597412406,3.566663437468049,0.6666666666666666
2191,AQP10_code_potential_somatic,ENSG00000132170,2191,-1.0,1.556465956779648,0.41826857064146233,1.2803951378042436e-24,-4.013234260495809,2.1395286539289713,0.6666666666666666
1546,AQP10_code_potential_somatic,ENSG00000173404,1546,1.0,5.274680951649607,0.418613404840673,1.1628277981738513e-24,6.6064910009052245,3.3214660128490276,1.0
1523,AQP10_code_potential_somatic,ENSG00000113916,1523,-1.0,1.6763435163524423,0.323287421310316,8.491104504296732e-15,-4.47792841268305,1.5579386565592404,1.0
1534,AQP10_code_potential_somatic,ENSG00000113916,1534,-1.0,1.6763435163524423,0.4626668670482229,2.0240576697670936e-30,-5.426861445502962,2.1415251105714925,1.0
2107,AQP10_code_potential_somatic,ENSG00000069667,2107,-1.0,3.938024851444203,0.3600669163560863,3.2231900380412354e-18,-3.7847707794472725,1.3208632133052216,1.0
2113,AQP10_code_potential_somatic,ENSG00000069667,2113,-1.0,3.938024851444203,0.22245043455015545,1.4280152349632248e-07,-3.9915636678014508,1.496188708227194,1.0
3267,AQP10_code_potential_somatic,ENSG00000118922,3267,1.0,1.630439790611383,-0.42594184253466044,1.4623221067978944e-25,-4.465359008087004,1.6901747099997138,1.0
1094,AQP10_code_potential_somatic,ENSG00000176887,1094,1.0,1.4581352952429478,-0.39989625077212165,1.849640344098444e-22,-4.558296083352478,1.7466651313588275,1.0
1099,AQP10_code_potential_somatic,ENSG00000176887,1099,1.0,1.4581352952429478,0.6638642416414896,6.512780905743984e-71,9.737116968307163,13.672125037411766,1.0
1106,AQP10_code_potential_somatic,ENSG00000176887,1106,1.0,1.4581352952429478,-0.3353333571049445,7.218892446396115e-16,-4.4209239256986494,2.243181563266242,1.0
460,AQP10_code_potential_somatic,ENSG00000172216,460,-1.0,3.5898114368409004,0.7538666239069344,1.1372637327826006e-101,-7.12720373116859,3.4938890385901504,1.0
469,AQP10_code_potential_somatic,ENSG00000172216,469,-1.0,3.5898114368409004,0.6394314005628039,2.4840885724924715e-64,-5.8896234160784555,2.0395086296670524,1.0
467,AQP10_code_potential_somatic,ENSG00000172216,467,-1.0,3.5898114368409004,0.6371701807451847,9.424611068960706e-64,-5.987485885144007,1.9596582946700105,1.0
465,AQP10_code_potential_somatic,ENSG00000172216,465,-1.0,3.5898114368409004,0.6702363459621111,9.855673053377899e-73,-5.30412200806543,1.6826823606105468,1.0
478,AQP10_code_potential_somatic,ENSG00000172216,478,-1.0,3.5898114368409004,0.5755761863000123,1.1527766325315883e-49,-9.653649324670148,9.31073484361358,1.0
472,AQP10_code_potential_somatic,ENSG00000172216,472,-1.0,3.5898114368409004,0.7355169089438647,2.210997179429216e-94,-4.372247625335074,1.4275628944669294,1.0
466,AQP10_code_potential_somatic,ENSG00000172216,466,-1.0,3.5898114368409004,0.5771642174250722,5.439436944656447e-50,-14.23877864846917,23.183412071592542,1.0
458,AQP10_code_potential_somatic,ENSG00000172216,458,-1.0,3.5898114368409004,0.6437152490583052,1.92593106774297e-65,-4.156700063329234,1.6107848191666008,1.0
471,AQP10_code_potential_somatic,ENSG00000172216,471,-1.0,3.5898114368409004,0.42785844691022656,8.430966507122299e-26,-8.326139002724394,2.939115351012324,1.0
553,AQP10_code_potential_somatic,ENSG00000181449,553,1.0,3.367798954948171,-0.33505509800065436,7.651321563710491e-16,-6.106836267418518,2.36875105046841,0.8571428571428571
565,AQP10_code_potential_somatic,ENSG00000181449,565,1.0,3.367798954948171,0.3268697156018407,4.1263236090420354e-15,2.303557399114058,1.318204519010586,0.8571428571428571
560,AQP10_code_potential_somatic,ENSG00000181449,560,1.0,3.367798954948171,0.7759856705311577,2.31757765165303e-111,5.626110714312926,2.053426432660433,0.8571428571428571
557,AQP10_code_potential_somatic,ENSG00000181449,557,1.0,3.367798954948171,-0.4037005106594165,6.773678806362243e-23,-4.869778655617398,1.7676218705818536,0.8571428571428571
550,AQP10_code_potential_somatic,ENSG00000181449,550,1.0,3.367798954948171,-0.5315766841913027,2.708812111714531e-41,-4.249280905573257,1.616587066410704,0.8571428571428571
549,AQP10_code_potential_somatic,ENSG00000181449,549,1.0,3.367798954948171,-0.3529794032115155,1.5963616087219258e-17,-4.071633321797022,1.6383832173400068,0.8571428571428571
3264,AQP10_code_potential_somatic,ENSG00000184481,3264,1.0,8.84094016791628,0.25129859717597636,2.44176272655712e-09,5.981321272518844,1.7566975181518911,1.0
3259,AQP10_code_potential_somatic,ENSG00000184481,3259,1.0,8.84094016791628,-0.22017601638403608,1.9249384956311133e-07,-21.630749408968203,58.01866091490615,1.0
3261,AQP10_code_potential_somatic,ENSG00000184481,3261,1.0,8.84094016791628,-0.216595909664086,3.0602078586550607e-07,-5.644724815805446,2.0899861912257287,1.0
3252,AQP10_code_potential_somatic,ENSG00000184481,3252,1.0,8.84094016791628,-0.30368539453983595,3.726652938907681e-13,-5.953621288178631,2.741768497829657,1.0
3254,AQP10_code_potential_somatic,ENSG00000184481,3254,1.0,8.84094016791628,-0.2884794386866346,5.794676498562081e-12,-4.732093717709319,1.5227429614212868,1.0
1493,AQP10_code_potential_somatic,ENSG00000129194,1493,-1.0,1.7248508756324712,-0.2353472627682537,2.4716522554042347e-08,3.8401023190524137,1.3404725202247585,0.5
946,AQP10_code_potential_somatic,ENSG00000001167,946,1.0,1.4200503016227926,0.3569742005829587,6.510849095546955e-18,6.712044697148513,2.248092316389579,1.0
104,AQP10_code_potential_somatic,ENSG00000057657,104,-1.0,1.4129411776618912,0.40473180481873894,5.1473728401887207e-23,-3.5729856891181235,1.459353295040924,1.0
108,AQP10_code_potential_somatic,ENSG00000057657,108,-1.0,1.4129411776618912,0.3942166586929683,8.09091190283462e-22,-4.095965486427644,1.5709532721095167,1.0
106,AQP10_code_potential_somatic,ENSG00000057657,106,-1.0,1.4129411776618912,-0.1550173740580408,0.0002698775110695467,4.560027590734403,1.5732400918629617,1.0
107,AQP10_code_potential_somatic,ENSG00000057657,107,-1.0,1.4129411776618912,0.4791201762132656,8.518674804720277e-33,-5.014705273835644,1.598466016253091,1.0
113,AQP10_code_potential_somatic,ENSG00000057657,113,-1.0,1.4129411776618912,0.48237695985448864,2.783612097846488e-33,-7.711234812532487,3.5898114368409004,1.0
99,AQP10_code_potential_somatic,ENSG00000057657,99,-1.0,1.4129411776618912,0.36249089149885627,1.847643746754883e-18,-4.861035504943159,2.083810798520006,1.0
109,AQP10_code_potential_somatic,ENSG00000057657,109,-1.0,1.4129411776618912,0.38778133355384053,4.162238320481003e-21,-6.737306138414513,2.0310133547876266,1.0
100,AQP10_code_potential_somatic,ENSG00000057657,100,-1.0,1.4129411776618912,0.33354137139007856,1.048899513197551e-15,-4.5932751771718,1.6360550336879043,1.0
110,AQP10_code_potential_somatic,ENSG00000057657,110,-1.0,1.4129411776618912,0.3857823306489643,6.872456776722293e-21,-5.256946872686654,1.673414421557203,1.0
111,AQP10_code_potential_somatic,ENSG00000057657,111,-1.0,1.4129411776618912,0.30562263500725584,2.596515299717595e-13,-5.7185101744720495,1.6869814469428257,1.0
3577,AQP10_code_potential_somatic,ENSG00000134138,3577,1.0,1.4866075184695966,0.6019454657365405,2.5430605829568647e-55,3.872161400858066,1.4109126348962957,1.0
3578,AQP10_code_potential_somatic,ENSG00000134138,3578,1.0,1.4866075184695966,0.19418518682991492,4.671227050506218e-06,4.482300394801444,1.4521640569324374,1.0
255,AQP10_code_potential_somatic,ENSG00000177606,255,-1.0,2.9344123520404546,0.46501566264787897,9.438461489358275e-31,-9.819708174826918,3.3315358358299605,0.9
257,AQP10_code_potential_somatic,ENSG00000177606,257,-1.0,2.9344123520404546,0.47048590412734237,1.5603952636220468e-31,-4.214638645725586,1.5400149666901124,0.9
251,AQP10_code_potential_somatic,ENSG00000177606,251,-1.0,2.9344123520404546,0.7020705437872713,1.4989788859365892e-82,-5.581700890130358,2.175472257510936,0.9
247,AQP10_code_potential_somatic,ENSG00000177606,247,-1.0,2.9344123520404546,0.5122275406948471,5.498927871433927e-38,-5.026916296632049,2.7880743138689628,0.9
236,AQP10_code_potential_somatic,ENSG00000177606,236,-1.0,2.9344123520404546,0.5406569292022357,6.389904688620846e-43,-9.55359178294209,3.181026529939676,0.9
239,AQP10_code_potential_somatic,ENSG00000177606,239,-1.0,2.9344123520404546,0.36573265381526704,8.713214957431152e-19,-8.046746026628027,4.283800165687457,0.9
250,AQP10_code_potential_somatic,ENSG00000177606,250,-1.0,2.9344123520404546,0.5698915628062372,1.6402869014388916e-48,-5.773567286301162,1.8774594710727948,0.9
243,AQP10_code_potential_somatic,ENSG00000177606,243,-1.0,2.9344123520404546,0.5406951387857389,6.28842195941703e-43,-4.204455452356673,1.4071139375112813,0.9
235,AQP10_code_potential_somatic,ENSG00000177606,235,-1.0,2.9344123520404546,0.2755067017348974,5.304207159214475e-11,-3.5333054126969166,1.4210450124278537,0.9
2678,AQP10_code_potential_somatic,ENSG00000102034,2678,-1.0,1.33402010515066,0.51862214999752,4.6843379447009314e-39,-5.915616315051338,2.0150314339889954,0.8571428571428571
2687,AQP10_code_potential_somatic,ENSG00000102034,2687,-1.0,1.33402010515066,0.3292744096578225,2.52840252463494e-15,-5.403562514160516,2.1506642300292516,0.8571428571428571
2689,AQP10_code_potential_somatic,ENSG00000102034,2689,-1.0,1.33402010515066,0.3631826811705339,1.5749549717887208e-18,-7.685897074563094,12.220367694865008,0.8571428571428571
2682,AQP10_code_potential_somatic,ENSG00000102034,2682,-1.0,1.33402010515066,0.6909881364892289,5.475214196736149e-79,-7.968268047689751,5.699055309729103,0.8571428571428571
2688,AQP10_code_potential_somatic,ENSG00000102034,2688,-1.0,1.33402010515066,0.5968003811916459,3.550642509905138e-54,-6.743914900357811,2.2665240581033443,0.8571428571428571
2692,AQP10_code_potential_somatic,ENSG00000102034,2692,-1.0,1.33402010515066,0.5753680493535116,1.2716446576833584e-49,-3.8666953237130395,1.356586598218367,0.8571428571428571
3329,AQP10_code_potential_somatic,ENSG00000128604,3329,-1.0,1.7257165326458168,0.3914265569876615,1.6532030520778984e-21,-5.2248702171985935,1.8690379704253983,1.0
3328,AQP10_code_potential_somatic,ENSG00000128604,3328,-1.0,1.7257165326458168,0.33972556331244136,2.859237132098424e-16,-4.964539927619651,1.6062417920428145,1.0
743,AQP10_code_potential_somatic,ENSG00000196628,743,1.0,3.649969564882653,-0.35899661050368326,4.114699005330921e-18,-3.8728627475098807,1.844800250455843,1.0
734,AQP10_code_potential_somatic,ENSG00000196628,734,1.0,3.649969564882653,-0.28849482460670933,5.779082594271439e-12,-4.044338012001091,1.587988519841975,1.0
427,AQP10_code_potential_somatic,ENSG00000162367,427,-1.0,1.5115227397737483,0.21193229874323286,5.532397045538258e-07,-3.6547047862633946,1.4434386698825885,1.0
231,AQP10_code_potential_somatic,ENSG00000135363,231,-1.0,1.5859264076076556,0.2710912343496572,1.0979342822017536e-10,-4.382875344619461,1.6822597161617419,1.0
626,AQP10_code_potential_somatic,ENSG00000140968,626,-1.0,1.3141338557414788,0.36230917722005884,1.926666849228829e-18,-5.964103865255477,2.5062067124773755,1.0
627,AQP10_code_potential_somatic,ENSG00000140968,627,-1.0,1.3141338557414788,0.3184797952608012,2.203226298999811e-14,-3.630556992162618,1.9089889193579026,1.0
623,AQP10_code_potential_somatic,ENSG00000140968,623,-1.0,1.3141338557414788,0.7002585782520239,5.881945624895939e-82,-3.572881977176494,1.34101773474308,1.0
629,AQP10_code_potential_somatic,ENSG00000140968,629,-1.0,1.3141338557414788,0.34835093927396105,4.4415081887138086e-17,-4.9302642233690595,1.6692964820810605,1.0
624,AQP10_code_potential_somatic,ENSG00000140968,624,-1.0,1.3141338557414788,0.6079559644758794,1.0994840884836115e-56,-5.621202843848488,2.12813247947575,1.0
630,AQP10_code_potential_somatic,ENSG00000140968,630,-1.0,1.3141338557414788,0.36577749903254647,8.622565023872169e-19,-10.335611709442011,3.4661827844272373,1.0
0,AQP10_code_potential_somatic,ENSG00000147862,0,1.0,3.335734680960358,-0.26712268783710935,2.0878702336538072e-10,-3.5874041505888177,1.3415196386061148,1.0
2128,AQP10_code_potential_somatic,ENSG00000078900,2128,1.0,2.438058445086792,-0.31110221012543754,9.208144077783281e-14,-3.9838720593196864,1.30239843504799,1.0
3633,AQP10_code_potential_somatic,ENSG00000076604,3633,1.0,1.4370695124950765,-0.32719858052855666,3.859965717150536e-15,-4.118032977088762,1.4276283005443244,1.0
