,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1035,ARHGEF16_code_potential_somatic,ENSG00000137203,1035,-1.0,1.3922372344259346,0.38751189765490146,4.4541864144617496e-21,-8.065951560894302,2.9335371794717573,1.0
1507,ARHGEF16_code_potential_somatic,ENSG00000165495,1507,-1.0,1.4173455089632272,0.31968660557945966,1.737041989800858e-14,-4.468800688197272,1.432817623588848,1.0
966,ARHGEF16_code_potential_somatic,ENSG00000101412,966,-1.0,1.4186696931289438,0.21131372642098636,5.97848373290242e-07,-11.700585000012317,5.686641587898001,1.0
1414,ARHGEF16_code_potential_somatic,ENSG00000170689,1414,1.0,2.4403777525028887,-0.21068021823239322,6.471089862475631e-07,-6.1308318204308,2.8154346764760403,1.0
1071,ARHGEF16_code_potential_somatic,ENSG00000163848,1071,-1.0,5.665265347916339,0.25391617240309916,1.644194180087542e-09,-10.695424134652422,10.749412443622344,1.0
2887,ARHGEF16_code_potential_somatic,ENSG00000125482,2887,-1.0,1.3238519886434703,0.6821702780921197,2.88366451140532e-76,-3.9598273961661183,1.4692753895220192,1.0
1100,ARHGEF16_code_potential_somatic,ENSG00000176887,1100,-1.0,1.6208348585411039,0.5747518364116476,1.6996917970202137e-49,-5.940991271454315,1.8807229888815566,0.6666666666666666
1104,ARHGEF16_code_potential_somatic,ENSG00000176887,1104,-1.0,1.6208348585411039,0.6051891968673684,4.707148290550106e-56,-12.442228594907796,3.2959563035079142,0.6666666666666666
3577,ARHGEF16_code_potential_somatic,ENSG00000134138,3577,-1.0,2.1288994133157777,0.6019454657365405,2.5430605829568647e-55,-4.673731865814671,1.692558392656061,1.0
192,ARHGEF16_code_potential_somatic,ENSG00000125820,192,-1.0,1.3362693661548408,0.3581231131739425,5.0187136753240924e-18,-4.430864656455528,1.45262684139402,1.0
3002,ARHGEF16_code_potential_somatic,ENSG00000069011,3002,-1.0,1.8633907640222556,0.1214474199633133,0.004412438885765609,-4.215246930455004,1.3648417976232965,1.0
2167,ARHGEF16_code_potential_somatic,ENSG00000124766,2167,-1.0,1.3991859463651053,0.2376913915485506,1.7769218612626782e-08,-3.6772951818790047,1.474983200450437,1.0
2173,ARHGEF16_code_potential_somatic,ENSG00000124766,2173,-1.0,1.3991859463651053,0.22451907515015673,1.0853689322468895e-07,-5.270376874899566,2.192884262966376,1.0
2168,ARHGEF16_code_potential_somatic,ENSG00000124766,2168,-1.0,1.3991859463651053,0.6597120120357272,9.45871801488194e-70,-12.468619251028702,3.393141890166736,1.0
2158,ARHGEF16_code_potential_somatic,ENSG00000124766,2158,-1.0,1.3991859463651053,0.7488274069467211,1.3197331325854062e-99,-5.6024154924101275,1.9054003509273667,1.0
1253,ARHGEF16_code_potential_somatic,ENSG00000089220,1253,-1.0,2.4403458983042077,0.2657955610818475,2.582430391060707e-10,-3.658623254315985,1.3851808157640666,1.0
2830,ARHGEF16_code_potential_somatic,ENSG00000126456,2830,1.0,1.4820204198705174,0.5963904193990348,4.371680359735945e-54,7.299183797689307,2.193313237872843,0.5
2839,ARHGEF16_code_potential_somatic,ENSG00000126456,2839,1.0,1.4820204198705174,0.550806313360732,8.451690625511572e-45,4.395707768152343,1.3792277833346123,0.5
3493,ARHGEF16_code_potential_somatic,ENSG00000120093,3493,1.0,1.3241288561347533,-0.2056570309243139,1.201990544132869e-06,-5.841053548324818,1.7588241236084865,1.0
1570,ARHGEF16_code_potential_somatic,ENSG00000182568,1570,-1.0,1.6449880902004346,0.5369513287929557,2.989233645983186e-42,-6.296391386174298,1.7956726214870622,1.0
1565,ARHGEF16_code_potential_somatic,ENSG00000182568,1565,-1.0,1.6449880902004346,0.6586203409009456,1.8979495177804281e-69,-4.223464698493119,1.5294411767289817,1.0
1559,ARHGEF16_code_potential_somatic,ENSG00000182568,1559,-1.0,1.6449880902004346,0.4311016676076871,3.2935593248948073e-26,-9.860359102496622,2.897040071197783,1.0
1564,ARHGEF16_code_potential_somatic,ENSG00000182568,1564,-1.0,1.6449880902004346,0.28365547876936265,1.3379812363408308e-11,-3.937355362981564,1.4744546301777044,1.0
1798,ARHGEF16_code_potential_somatic,ENSG00000147421,1798,-1.0,1.9943828737917353,0.5141627394287974,2.6240212468825756e-38,-4.657744282136973,1.4274390752491246,1.0
1797,ARHGEF16_code_potential_somatic,ENSG00000147421,1797,-1.0,1.9943828737917353,0.19313471495978846,5.268863647028422e-06,-3.9527272508322255,1.5066167304147178,1.0
