,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3753,ATCAY_code_potential_somatic,ENSG00000177374,3753,-1.0,1.8863116906303803,-0.2563488249131151,1.1339672987923748e-09,13.748982275021547,6.2214469439848665,1.0
3244,ATCAY_code_potential_somatic,ENSG00000025434,3244,1.0,23.840764785697587,0.23516102750820214,2.536933644560716e-08,4.214051630652506,1.318903365882047,1.0
3318,ATCAY_code_potential_somatic,ENSG00000091831,3318,-1.0,5.718674452006723,-0.3783348161422657,4.3194077751375884e-20,17.569116192858303,5.394623001079558,1.0
2087,ATCAY_code_potential_somatic,ENSG00000030419,2087,-1.0,3.4179980446580975,-0.236753069181149,2.0287006221242865e-08,3.905638982068748,1.3188175401042663,0.5
458,ATCAY_code_potential_somatic,ENSG00000172216,458,-1.0,1.3994079234390646,0.6437152490583052,1.92593106774297e-65,-4.340749498525438,1.8124951604976574,0.3333333333333333
3442,ATCAY_code_potential_somatic,ENSG00000140044,3442,-1.0,5.537232099034389,-0.18654873905822275,1.1043333527813612e-05,5.816657026113262,1.6479254284755003,1.0
3443,ATCAY_code_potential_somatic,ENSG00000140044,3443,-1.0,5.537232099034389,-0.19450617649896235,4.501918493804057e-06,2.925754131876297,1.3291915497742943,1.0
3715,ATCAY_code_potential_somatic,ENSG00000163435,3715,-1.0,1.375914625711562,-0.08623727990933537,0.043600243110006716,5.315092252654524,3.6234983469996553,1.0
3714,ATCAY_code_potential_somatic,ENSG00000163435,3714,-1.0,1.375914625711562,-0.12412638417679896,0.0036102202896085302,4.184888410023478,1.3778073543665954,1.0
3564,ATCAY_code_potential_somatic,ENSG00000025156,3564,1.0,3.3504524852377955,0.32746240166045437,3.658557377395147e-15,5.260029248559559,1.6080676749041363,1.0
3499,ATCAY_code_potential_somatic,ENSG00000108813,3499,-1.0,2.9815521895096757,-0.3648753994675776,1.0638107496360162e-18,4.500827611511584,1.4164340806204465,1.0
916,ATCAY_code_potential_somatic,ENSG00000101057,916,1.0,1.3971672006376188,0.8137042900539069,9.46897652452271e-131,7.955105144401762,3.680266083550556,1.0
1905,ATCAY_code_potential_somatic,ENSG00000167034,1905,-1.0,9.967270583075733,-0.23539196214742822,2.4562273348558465e-08,4.9864884439316475,1.5371987243500798,1.0
3731,ATCAY_code_potential_somatic,ENSG00000124813,3731,-1.0,3.856594114558898,-0.2825008784922849,1.630804851531785e-11,5.347845656717534,1.767827438314563,1.0
3725,ATCAY_code_potential_somatic,ENSG00000124813,3725,-1.0,3.856594114558898,-0.27701415730695944,4.125181902769229e-11,4.64086863718203,1.4792632451011671,1.0
3735,ATCAY_code_potential_somatic,ENSG00000124813,3735,-1.0,3.856594114558898,0.5087771569692713,2.0327063980921514e-37,-5.001934072798021,2.0379001707854076,1.0
3726,ATCAY_code_potential_somatic,ENSG00000124813,3726,-1.0,3.856594114558898,-0.38100204924413206,2.248403276524276e-20,8.170951140214468,2.246806196738698,1.0
3736,ATCAY_code_potential_somatic,ENSG00000124813,3736,-1.0,3.856594114558898,-0.30137108965200626,5.718293280174093e-13,6.005113328712331,1.6636879218275646,1.0
1608,ATCAY_code_potential_somatic,ENSG00000112592,1608,1.0,1.3505218248461097,0.41293651076646165,5.5975170845146835e-24,6.759996602101918,2.7416956689766856,1.0
1614,ATCAY_code_potential_somatic,ENSG00000112592,1614,1.0,1.3505218248461097,0.4340156587831692,1.4031616743668187e-26,4.740153010117845,1.4362351018735944,1.0
1606,ATCAY_code_potential_somatic,ENSG00000112592,1606,1.0,1.3505218248461097,0.41310313080139427,5.347482013806556e-24,5.637655356164061,1.6793940199005593,1.0
941,ATCAY_code_potential_somatic,ENSG00000112242,941,1.0,1.5633206593554458,0.5505707119021468,9.360156667283042e-45,7.966168772142922,3.604240815158445,1.0
