,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
214,ATN1_code_potential_somatic,ENSG00000136826,214,-1.0,1.3847252311443414,0.2645969906161201,3.1258888782178924e-10,-4.347763411508961,1.7665320538697122,1.0
3526,ATN1_code_potential_somatic,ENSG00000153234,3526,-1.0,2.996495116652722,0.28253318163253655,1.6218199881278203e-11,-4.863646796598412,2.143468505653007,1.0
3523,ATN1_code_potential_somatic,ENSG00000153234,3523,-1.0,2.996495116652722,0.12843859818371767,0.0025928454275054203,-3.3557549218600164,1.3667298180194987,1.0
3525,ATN1_code_potential_somatic,ENSG00000153234,3525,-1.0,2.996495116652722,0.18073526759870343,2.0779665810347115e-05,-5.083319309939172,2.6922168349751097,1.0
2683,ATN1_code_potential_somatic,ENSG00000102034,2683,-1.0,1.4179313503731887,0.6078213305259013,1.1804992873636761e-56,-2.9993999985506448,1.3890069863607133,1.0
3711,ATN1_code_potential_somatic,ENSG00000163435,3711,-1.0,1.8091075984002782,0.1713368767617699,5.540195542884278e-05,-4.506056988257073,2.843784975721948,1.0
64,ATN1_code_potential_somatic,ENSG00000166888,64,-1.0,2.015688876697653,0.45420359014038164,3.0126871941239254e-29,-3.0983850766113656,1.3671587336641986,1.0
1472,ATN1_code_potential_somatic,ENSG00000087510,1472,-1.0,1.8640794581245173,0.34614519122009924,7.190152436748869e-17,-3.8088664602446625,2.1822201797921363,0.5
1416,ATN1_code_potential_somatic,ENSG00000141448,1416,-1.0,2.076666428321802,0.4673902354113108,4.338315352878638e-31,-6.480364005264743,3.420053355855835,1.0
1338,ATN1_code_potential_somatic,ENSG00000182944,1338,-1.0,2.15728932034964,0.2587945299335263,7.774798517846455e-10,-3.2510637897348533,1.3857261119460427,0.6666666666666666
1357,ATN1_code_potential_somatic,ENSG00000182944,1357,-1.0,2.15728932034964,0.2166220876039288,3.049938928712819e-07,-3.6115347342972504,1.3258649242419995,0.6666666666666666
