,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2818,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000277615,2818,1.0,1.3623818741844296,0.19634840344099175,3.6380346839514152e-06,2.3000504804739634,1.56968094982814,1.0
366,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,366,-1.0,2.4574504310160306,0.2894018731355593,4.928790824080555e-12,-4.112324830168839,3.9146854161045312,1.0
363,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,363,-1.0,2.4574504310160306,-0.26567493056812325,2.632663727496636e-10,2.293286129920018,1.5637060364572113,1.0
889,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000139083,889,1.0,1.7010676671353095,0.37569040670382775,8.203038178775998e-20,2.1552208003818456,1.424323761557224,1.0
2706,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000065970,2706,1.0,1.6170926040232327,-0.3391613156842976,3.2231586294591895e-16,-3.955980539371589,3.654796778214964,1.0
234,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000135363,234,1.0,1.5544048719434977,-0.31197279069307887,7.794265670481288e-14,-2.379834163853042,1.6626582830512082,1.0
494,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,494,1.0,1.566543654677022,0.43361540610406846,1.5784080008314714e-26,2.4971785172132734,1.77000870380978,1.0
501,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,501,1.0,1.566543654677022,-0.4576396817316701,1.0157288404906929e-29,-4.504312845101117,4.642372098157458,1.0
493,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,493,1.0,1.566543654677022,0.5455885905600307,7.95616765330567e-44,2.133059516487828,1.40326541013392,1.0
804,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,804,1.0,1.4912495291135515,-0.17788063253194566,2.8140438561071734e-05,-4.039196179161677,3.786107998774274,1.0
795,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,795,1.0,1.4912495291135515,0.5945296710176737,1.119601462237606e-53,2.4111181560398616,1.680430694454452,1.0
811,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,811,1.0,1.4912495291135515,0.4894512746505592,2.3512004949770813e-34,2.1706490620584655,1.4372240070318556,1.0
3399,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3399,-1.0,3.459964636391438,0.12252588389376366,0.004071887528659675,-3.2827998134962333,2.7762614241859973,1.0
3398,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3398,-1.0,3.459964636391438,0.19005162450158916,7.473825507774001e-06,-3.944639583452024,3.5987216885013,1.0
3393,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3393,-1.0,3.459964636391438,0.1356500737175161,0.0014577784066699124,-2.106333763371506,1.394900293969328,1.0
693,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000188786,693,1.0,1.9868590869025522,-0.3278619251490302,3.373042685106883e-15,-4.504312845101117,4.642372098157458,1.0
850,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,850,1.0,1.3455967053689577,0.38885484784455293,3.175065307044252e-21,2.0886652148969227,1.3630862919233873,1.0
851,ATYPICAL_NF_KAPPAB_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,851,1.0,1.3455967053689577,-0.33467030416068094,8.291506310731383e-16,-3.23108523311667,2.7082436534345176,1.0
