,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2323,BCAM_code_potential_somatic,ENSG00000135457,2323,-1.0,2.9574540704946046,0.0075333402314757,0.8603326054843299,-7.946259094116905,5.606657386332615,1.0
2812,BCAM_code_potential_somatic,ENSG00000277615,2812,-1.0,4.7273825087371275,0.3966994065920428,4.259492822468993e-22,-5.386864821243816,1.8024206922245285,1.0
2818,BCAM_code_potential_somatic,ENSG00000277615,2818,-1.0,4.7273825087371275,0.19634840344099175,3.6380346839514152e-06,-4.869092314825971,4.402985374854245,1.0
2816,BCAM_code_potential_somatic,ENSG00000277615,2816,-1.0,4.7273825087371275,0.4503918195906806,9.920017737330212e-29,-4.500497012154704,1.6724772610136787,1.0
1396,BCAM_code_potential_somatic,ENSG00000125398,1396,-1.0,1.8675690300338412,0.3393591450736945,3.0906595458958634e-16,-4.681474639536683,1.5540258350488145,1.0
1393,BCAM_code_potential_somatic,ENSG00000125398,1393,-1.0,1.8675690300338412,0.565772292612199,1.088004707899191e-47,-3.6292988171203877,1.318382436251012,1.0
3437,BCAM_code_potential_somatic,ENSG00000175832,3437,-1.0,2.656186102623654,0.3072578447592749,1.909941690400658e-13,-4.100374916743809,2.4232821378508316,1.0
3401,BCAM_code_potential_somatic,ENSG00000170345,3401,-1.0,1.553590421565847,0.17891542680578748,2.5224884393378275e-05,-9.961573496466864,3.290613756256764,1.0
3721,BCAM_code_potential_somatic,ENSG00000137265,3721,1.0,1.9609174786427934,-0.3738906915693982,1.2650050285892425e-19,-3.7242234965124017,1.3826830024310386,1.0
870,BCAM_code_potential_somatic,ENSG00000244405,870,-1.0,1.8245035056542696,0.3044180851792245,3.2516492814834757e-13,-5.5882290753523165,2.501961323065902,1.0
866,BCAM_code_potential_somatic,ENSG00000244405,866,-1.0,1.8245035056542696,0.429402653684742,5.395912682071426e-26,-6.651361685527202,5.869208333308298,1.0
869,BCAM_code_potential_somatic,ENSG00000244405,869,-1.0,1.8245035056542696,0.4159063579361487,2.469353172710779e-24,-4.036973969048298,1.3181967810964577,1.0
