,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1442,BRDT_code_potential_somatic,ENSG00000221869,1442,1.0,1.377467506459714,0.34831433390961264,4.477296755863648e-17,4.409474337492838,1.5137783699479515,1.0
3675,BRDT_code_potential_somatic,ENSG00000170370,3675,1.0,4.952842119678167,0.27726361338551714,3.9565054352759463e-11,4.190117653293195,1.508753222969145,1.0
2607,BRDT_code_potential_somatic,ENSG00000196482,2607,1.0,1.5648652706717838,0.4543449801831537,2.881577974829384e-29,4.032890136709777,1.3692945414893805,1.0
2528,BRDT_code_potential_somatic,ENSG00000112333,2528,1.0,2.0224861004309314,0.5900396803607918,1.0560480916954014e-52,9.258066814681673,10.733356493330795,1.0
2529,BRDT_code_potential_somatic,ENSG00000112333,2529,1.0,2.0224861004309314,-0.2800459856712603,2.476477360786239e-11,-4.452401922115801,4.53427780117644,1.0
79,BRDT_code_potential_somatic,ENSG00000213928,79,1.0,1.3502633759655955,0.2440314844051304,7.1524069988457364e-09,7.240724396809902,6.777995763482962,1.0
3238,BRDT_code_potential_somatic,ENSG00000117505,3238,1.0,1.3921071325155077,0.2802726180863897,2.383195599247095e-11,4.182849615031823,1.5085627651131415,1.0
1449,BRDT_code_potential_somatic,ENSG00000007372,1449,1.0,2.056996750459768,0.2154539973021409,3.5420220929641463e-07,4.32323606999135,1.5630218053219005,1.0
1452,BRDT_code_potential_somatic,ENSG00000007372,1452,1.0,2.056996750459768,0.3036201319878602,3.7721184305924064e-13,6.673841739224142,2.6445282330755457,1.0
1454,BRDT_code_potential_somatic,ENSG00000007372,1454,1.0,2.056996750459768,0.22650342132548315,8.321380709547795e-08,4.113792727367558,1.353800992315399,1.0
1444,BRDT_code_potential_somatic,ENSG00000007372,1444,1.0,2.056996750459768,0.08199419316417426,0.055075137986699246,3.876502316200033,1.3074088851113415,1.0
512,BRDT_code_potential_somatic,ENSG00000120690,512,1.0,1.3862922417618806,0.24369744222568787,7.508492884907923e-09,5.624922975360124,4.584043027078347,1.0
527,BRDT_code_potential_somatic,ENSG00000120690,527,1.0,1.3862922417618806,0.22971441180174448,5.3856206155533787e-08,5.188546219668879,1.7503888862385577,1.0
2951,BRDT_code_potential_somatic,ENSG00000099326,2951,1.0,2.337359871775421,0.461927978289373,2.5699245299049342e-30,8.233161415643945,2.5080881131064054,1.0
2953,BRDT_code_potential_somatic,ENSG00000099326,2953,1.0,2.337359871775421,0.25546876486865056,1.2976767642873078e-09,4.321684450658481,1.3760374638618258,1.0
2952,BRDT_code_potential_somatic,ENSG00000099326,2952,1.0,2.337359871775421,0.6748517573892705,4.433728282902681e-74,7.253583873940098,5.113971284570108,1.0
1538,BRDT_code_potential_somatic,ENSG00000113916,1538,1.0,1.504665792064634,0.6841581243819654,7.158883160947051e-77,4.227346057166396,1.500291178640552,1.0
2031,BRDT_code_potential_somatic,ENSG00000054598,2031,1.0,6.517294533732813,0.3312971417116887,1.6689884729016095e-15,9.516836919598015,4.514672687352523,1.0
2054,BRDT_code_potential_somatic,ENSG00000054598,2054,1.0,6.517294533732813,0.31473190180107874,4.578765605275875e-14,4.593942080935608,1.6925735875384067,1.0
3671,BRDT_code_potential_somatic,ENSG00000198517,3671,-1.0,3.5099829922436383,-0.2552081521750623,1.3504160062972682e-09,3.3775791153847883,1.3142302164370374,1.0
956,BRDT_code_potential_somatic,ENSG00000129173,956,1.0,1.3534825110024407,0.7719811749257338,1.5861341031969156e-109,2.550438166738175,1.3969982867353892,1.0
2839,BRDT_code_potential_somatic,ENSG00000126456,2839,1.0,1.4745301066224403,0.550806313360732,8.451690625511572e-45,6.915436952627258,3.3676701534538807,1.0
2829,BRDT_code_potential_somatic,ENSG00000126456,2829,1.0,1.4745301066224403,0.26162670593211806,4.997418051915545e-10,3.72241537028016,1.4926935657487477,1.0
2565,BRDT_code_potential_somatic,ENSG00000175745,2565,1.0,2.253628136975255,0.4047934943371429,5.0633719300263606e-23,6.189404715645736,2.130646566073196,0.6666666666666666
2558,BRDT_code_potential_somatic,ENSG00000175745,2558,1.0,2.253628136975255,0.2940616109116653,2.1564585201837476e-12,8.259820163441482,4.416040122125816,0.6666666666666666
3594,BRDT_code_potential_somatic,ENSG00000100219,3594,1.0,1.302960643687875,0.47314591824301255,6.42693368277548e-32,3.6928620857413788,1.3263502074023006,1.0
3480,BRDT_code_potential_somatic,ENSG00000203883,3480,1.0,2.6464081198596143,0.11423360216400416,0.0074328701632500145,5.235200163134581,1.982184428780822,1.0
3481,BRDT_code_potential_somatic,ENSG00000203883,3481,1.0,2.6464081198596143,0.29219918539209705,3.0061923892346764e-12,3.8883632836896163,1.3649949895483071,1.0
916,BRDT_code_potential_somatic,ENSG00000101057,916,1.0,2.0969121815384884,0.8137042900539069,9.46897652452271e-131,6.187812614066703,8.423488954408128,1.0
3194,BRDT_code_potential_somatic,ENSG00000176165,3194,1.0,3.362783651649025,0.3617291790765779,2.2018247943940607e-18,9.258066814681673,10.733356493330795,1.0
3191,BRDT_code_potential_somatic,ENSG00000176165,3191,1.0,3.362783651649025,0.28828343227354974,5.996967986635382e-12,4.166623892164639,1.4220732994373395,1.0
3377,BRDT_code_potential_somatic,ENSG00000137273,3377,1.0,2.246459487680969,0.4214466017059996,5.248179486061119e-25,4.497802627271609,1.51518147707105,1.0
915,BRDT_code_potential_somatic,ENSG00000189298,915,1.0,1.3790368596599,0.24889008087233355,3.49972188991028e-09,5.376233493858281,6.4901503904005615,1.0
1517,BRDT_code_potential_somatic,ENSG00000177426,1517,1.0,2.1807220453486105,0.2950293925762717,1.8128171331153681e-12,4.531961163581099,1.4058808184770952,1.0
1513,BRDT_code_potential_somatic,ENSG00000177426,1513,1.0,2.1807220453486105,0.3842106333916613,1.0169407469529677e-20,5.538981392540889,1.8865378625871243,1.0
2181,BRDT_code_potential_somatic,ENSG00000133794,2181,1.0,2.5052803595505546,0.3224495084781889,1.0038547403608182e-14,5.1195711735218,1.618067254442844,1.0
2180,BRDT_code_potential_somatic,ENSG00000133794,2180,1.0,2.5052803595505546,0.20124280316296603,2.0454119964390767e-06,4.061212946002244,1.4152043079196222,1.0
