,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,BVES_code_potential_somatic,ENSG00000125952,1313,1.0,1.5027550088538917,0.6383058949876683,4.830752998599309e-64,6.474902759130537,1.7554193480296925,1.0
1309,BVES_code_potential_somatic,ENSG00000125952,1309,1.0,1.5027550088538917,0.45210191720960374,5.82270233160004e-29,11.502894163104278,5.344265734463278,1.0
1315,BVES_code_potential_somatic,ENSG00000125952,1315,1.0,1.5027550088538917,0.5052938138319714,7.494661457773782e-37,5.467366486513438,2.546383618519085,1.0
1316,BVES_code_potential_somatic,ENSG00000125952,1316,1.0,1.5027550088538917,0.41974138966359315,8.47913416258375e-25,11.611680955161539,5.992836690700717,1.0
364,BVES_code_potential_somatic,ENSG00000163497,364,-1.0,4.915905586197689,-0.29843019019556005,9.798844265767807e-13,4.79735267439451,1.607968235457651,1.0
32,BVES_code_potential_somatic,ENSG00000261678,32,-1.0,5.11643222160136,-0.27645840978820174,4.5265870704530514e-11,4.434032774451241,1.4170507503449463,1.0
3241,BVES_code_potential_somatic,ENSG00000117505,3241,1.0,1.6198592794237578,0.31129960200051965,8.867027527887206e-14,7.0779622559710935,3.540396615974796,1.0
3239,BVES_code_potential_somatic,ENSG00000117505,3239,1.0,1.6198592794237578,0.3595205338958018,3.6515292730432e-18,14.538322668904613,12.483444439143105,1.0
3238,BVES_code_potential_somatic,ENSG00000117505,3238,1.0,1.6198592794237578,0.2802726180863897,2.383195599247095e-11,23.387472924774322,42.354327805381864,1.0
1804,BVES_code_potential_somatic,ENSG00000281306,1804,1.0,1.3909597525720925,0.23811680130075924,1.6730047391303635e-08,4.945278117099718,1.5028123955524104,1.0
1809,BVES_code_potential_somatic,ENSG00000281306,1809,1.0,1.3909597525720925,0.22371922606342776,1.2072179843400785e-07,5.684451522549794,1.6605367755448985,1.0
524,BVES_code_potential_somatic,ENSG00000120690,524,1.0,1.7751383452145408,0.6207065899937414,1.1183039932827503e-59,4.6643078706523164,1.4321058398497901,1.0
506,BVES_code_potential_somatic,ENSG00000120690,506,1.0,1.7751383452145408,0.6316443020286737,2.3401461848474217e-62,4.492777275286976,1.3915296987532904,1.0
528,BVES_code_potential_somatic,ENSG00000120690,528,1.0,1.7751383452145408,0.5146372237033298,2.1871123933028906e-38,5.178894231617916,1.5355229596812872,1.0
514,BVES_code_potential_somatic,ENSG00000120690,514,1.0,1.7751383452145408,0.720242482100378,9.169289141148163e-89,4.3228638545821365,1.3830784297762786,1.0
519,BVES_code_potential_somatic,ENSG00000120690,519,1.0,1.7751383452145408,0.43115883614483685,3.239143679177495e-26,10.731252752403268,12.03795172279326,1.0
523,BVES_code_potential_somatic,ENSG00000120690,523,1.0,1.7751383452145408,0.40953542032036705,1.4147287578135794e-23,4.108789653108949,1.3121385969531416,1.0
2094,BVES_code_potential_somatic,ENSG00000105856,2094,1.0,2.447893173567727,0.2907389084469941,3.89407002302842e-12,17.983977280951017,27.234849194827273,1.0
2096,BVES_code_potential_somatic,ENSG00000105856,2096,1.0,2.447893173567727,0.3961684829708856,4.888121905985231e-22,7.018875358487614,2.0612778022784153,1.0
1716,BVES_code_potential_somatic,ENSG00000170365,1716,1.0,1.5136872543079838,0.2646815037979524,3.08417150033123e-10,7.4119890954009575,2.260494054916326,0.8
1719,BVES_code_potential_somatic,ENSG00000170365,1719,1.0,1.5136872543079838,0.2495998020101887,3.148739356221534e-09,5.471126358791514,2.350960633231999,0.8
1711,BVES_code_potential_somatic,ENSG00000170365,1711,1.0,1.5136872543079838,0.20499397798005037,1.3028818985119082e-06,4.190539573028552,1.391656816709107,0.8
1724,BVES_code_potential_somatic,ENSG00000170365,1724,1.0,1.5136872543079838,0.1532552851546945,0.00031734351391135877,3.6136236061776756,1.4724614029147052,0.8
664,BVES_code_potential_somatic,ENSG00000131408,664,1.0,1.7517215713121166,0.35709582956250685,6.334202219148733e-18,15.648110029076394,6.9212786802396975,1.0
3499,BVES_code_potential_somatic,ENSG00000108813,3499,-1.0,3.0292386905417246,-0.3648753994675776,1.0638107496360162e-18,5.700162812113524,1.876573840081839,1.0
1608,BVES_code_potential_somatic,ENSG00000112592,1608,1.0,1.3487556283343758,0.41293651076646165,5.5975170845146835e-24,5.407503775761283,1.7067749597679287,1.0
1333,BVES_code_potential_somatic,ENSG00000116044,1333,1.0,1.451751257070323,0.3009090016163966,6.225806099418255e-13,6.8777088495823895,2.229631147306744,1.0
1324,BVES_code_potential_somatic,ENSG00000116044,1324,1.0,1.451751257070323,0.5899994290438191,1.0773378209287607e-52,6.320231847535301,1.809731933415844,1.0
1331,BVES_code_potential_somatic,ENSG00000116044,1331,1.0,1.451751257070323,0.4251115862030444,1.8542695957651335e-25,5.603313663851238,1.598526377754764,1.0
3119,BVES_code_potential_somatic,ENSG00000156273,3119,1.0,2.6558651736122645,0.4579719738538529,9.137558301042453e-30,4.538555098552951,1.4608268488007814,1.0
3118,BVES_code_potential_somatic,ENSG00000156273,3118,1.0,2.6558651736122645,0.5138656672089656,2.940531147238543e-38,4.797050572441101,2.612585627271244,1.0
3116,BVES_code_potential_somatic,ENSG00000156273,3116,1.0,2.6558651736122645,0.5950714595776515,8.519642508183082e-54,9.782109906982974,3.152508487740648,1.0
2881,BVES_code_potential_somatic,ENSG00000118260,2881,1.0,1.444141729495587,0.4652792650226192,8.660774891209532e-31,3.567395845465469,1.3577135681383814,1.0
2882,BVES_code_potential_somatic,ENSG00000118260,2882,1.0,1.444141729495587,0.41798950942759494,1.3840726698935e-24,5.784703857922512,1.8418599653361245,1.0
