,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2203,C4orf35_code_potential_somatic,ENSG00000169083,2203,1.0,2.1903458030099436,0.4748926212262841,3.574342057785658e-32,6.3265447565821535,3.8641734098831324,1.0
83,C4orf35_code_potential_somatic,ENSG00000213928,83,1.0,2.1490001076504415,0.4298628458249869,4.7218587520052576e-26,5.185875361677615,2.2938962744694926,1.0
81,C4orf35_code_potential_somatic,ENSG00000213928,81,1.0,2.1490001076504415,0.27612746162871854,4.783468584944775e-11,5.523849513823863,2.071986176788274,1.0
1529,C4orf35_code_potential_somatic,ENSG00000113916,1529,1.0,1.5136800649609305,0.2930879228038076,2.566260578578119e-12,4.822334659433893,2.124067186688493,1.0
1538,C4orf35_code_potential_somatic,ENSG00000113916,1538,1.0,1.5136800649609305,0.6841581243819654,7.158883160947051e-77,5.112985776394687,1.5849724883781666,1.0
341,C4orf35_code_potential_somatic,ENSG00000134532,341,1.0,1.495508625482923,0.1604141860516499,0.00016254680321509365,4.775199429665967,1.525854342780444,1.0
1055,C4orf35_code_potential_somatic,ENSG00000005889,1055,1.0,1.405507744761281,0.29459508669965967,1.959838665532528e-12,3.2032017587644117,1.506891598978792,0.3333333333333333
399,C4orf35_code_potential_somatic,ENSG00000168610,399,1.0,1.6045715283891533,0.6022359497607409,2.1882294656626997e-55,4.1671714858654685,1.3813991801140497,0.6666666666666666
393,C4orf35_code_potential_somatic,ENSG00000168610,393,1.0,1.6045715283891533,0.5050356166737949,8.25080988383053e-37,4.323576979659997,1.6899066256408244,0.6666666666666666
852,C4orf35_code_potential_somatic,ENSG00000113580,852,1.0,1.7063521645250777,0.33480957955093094,8.053936466756273e-16,3.5609267494673844,1.4702086577253901,1.0
853,C4orf35_code_potential_somatic,ENSG00000113580,853,1.0,1.7063521645250777,0.31486920837691157,4.4584968996371126e-14,4.286408238869434,1.4213244357423416,1.0
