,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1811,CACNA1E_code_potential_somatic,ENSG00000281306,1811,-1.0,2.10749352586534,0.3486595327040857,4.150775912575143e-17,-2.8397216408838117,1.4806490439842637,0.5
1178,CACNA1E_code_potential_somatic,ENSG00000198911,1178,-1.0,1.8946153574086106,0.34028485244501594,2.538462751185916e-16,-3.1472559491005025,1.6824033819483735,1.0
2281,CACNA1E_code_potential_somatic,ENSG00000118689,2281,1.0,1.4565922703932976,0.6482331677122894,1.2416596535060004e-66,3.3996323879130528,1.6892828280071492,1.0
2285,CACNA1E_code_potential_somatic,ENSG00000118689,2285,1.0,1.4565922703932976,0.36174857554453943,2.192026586228512e-18,3.4324223267578584,1.6942780774573296,1.0
2289,CACNA1E_code_potential_somatic,ENSG00000118689,2289,1.0,1.4565922703932976,0.6409212826432166,1.0255208479425349e-64,3.432308597672375,1.9072312198905728,1.0
2640,CACNA1E_code_potential_somatic,ENSG00000126767,2640,-1.0,2.0395465391268033,0.3679243817758663,5.2162881321656205e-19,-2.8635806111594375,1.3608377672124272,0.75
2639,CACNA1E_code_potential_somatic,ENSG00000126767,2639,-1.0,2.0395465391268033,0.3207372232876911,1.4110574596827732e-14,-4.083152331216785,1.9665496485774303,0.75
2643,CACNA1E_code_potential_somatic,ENSG00000126767,2643,-1.0,2.0395465391268033,0.3027881985180369,4.401519795687066e-13,-4.044051725493265,1.9350687239898423,0.75
2710,CACNA1E_code_potential_somatic,ENSG00000065970,2710,1.0,5.874842930797391,0.5400250126933841,8.324348036105775e-43,2.7360762130851564,1.3990035599813506,1.0
2700,CACNA1E_code_potential_somatic,ENSG00000065970,2700,1.0,5.874842930797391,0.3363238165948742,5.865819756629841e-16,3.259841079192206,1.594890740085922,1.0
2708,CACNA1E_code_potential_somatic,ENSG00000065970,2708,1.0,5.874842930797391,0.347420346326123,5.4449755314832486e-17,3.2928035819968846,1.6110904086125295,1.0
3088,CACNA1E_code_potential_somatic,ENSG00000119725,3088,-1.0,1.571174701496069,0.36014712731382187,3.1646230020277296e-18,-3.0603291394092853,1.5192315449387335,1.0
1281,CACNA1E_code_potential_somatic,ENSG00000118263,1281,1.0,1.798791177472924,0.6239234869132542,1.8688886779902213e-60,3.9313711027595155,2.0054732022947515,0.75
1293,CACNA1E_code_potential_somatic,ENSG00000118263,1293,1.0,1.798791177472924,0.6111127031770904,2.0557312282819358e-57,5.829758594093469,4.331312719897172,0.75
1279,CACNA1E_code_potential_somatic,ENSG00000118263,1279,1.0,1.798791177472924,-0.23297877902442624,3.4376928775864545e-08,-4.429459438520358,2.1203962011833584,0.75
1059,CACNA1E_code_potential_somatic,ENSG00000005889,1059,1.0,1.399703495861723,0.22726097736176973,7.513915354602884e-08,3.3142590761685855,1.9153208774603852,1.0
1046,CACNA1E_code_potential_somatic,ENSG00000005889,1046,1.0,1.399703495861723,0.3437857690739653,1.198652801116821e-16,5.625187005210441,3.1595213044937083,1.0
1050,CACNA1E_code_potential_somatic,ENSG00000005889,1050,1.0,1.399703495861723,0.3807808857579393,2.3740252103854845e-20,2.7712602284187358,1.3425749557606546,1.0
686,CACNA1E_code_potential_somatic,ENSG00000188786,686,1.0,3.2367627006460173,0.38035270508173613,2.637218332487282e-20,2.7518660848439658,1.3419019542826227,1.0
692,CACNA1E_code_potential_somatic,ENSG00000188786,692,1.0,3.2367627006460173,0.5669748007067607,6.27984484898827e-48,2.7360762130851564,1.3990035599813506,1.0
683,CACNA1E_code_potential_somatic,ENSG00000188786,683,1.0,3.2367627006460173,0.5801837953885554,1.2893418962724247e-50,2.816231754748531,1.6312894462018404,1.0
689,CACNA1E_code_potential_somatic,ENSG00000188786,689,1.0,3.2367627006460173,0.3344762665620133,8.634001837825159e-16,3.776586659694953,1.874605831681329,1.0
681,CACNA1E_code_potential_somatic,ENSG00000188786,681,1.0,3.2367627006460173,0.4554919239597204,2.006984358085897e-29,3.339563235981649,1.9735554669240827,1.0
2860,CACNA1E_code_potential_somatic,ENSG00000116132,2860,1.0,1.7351789913139286,-0.23366224930338605,3.1266436270945316e-08,-3.179379551153034,1.791522738559405,1.0
2859,CACNA1E_code_potential_somatic,ENSG00000116132,2859,1.0,1.7351789913139286,0.3618801944342784,2.1266635781518953e-18,2.9990183754378315,1.533534367137069,1.0
860,CACNA1E_code_potential_somatic,ENSG00000084093,860,1.0,1.6706926174421204,-0.12416466667935458,0.003599783690111188,-2.9619729046342482,1.4659534995370345,1.0
859,CACNA1E_code_potential_somatic,ENSG00000084093,859,1.0,1.6706926174421204,-0.2206731784838919,1.8037968454357987e-07,-2.7565037181056327,1.415772334545064,1.0
