,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1935,CALCR_code_potential_somatic,ENSG00000006468,1935,1.0,1.5137254157600573,0.3921744147899673,1.365953438805359e-21,4.469190756304856,2.304889658854574,1.0
1932,CALCR_code_potential_somatic,ENSG00000006468,1932,1.0,1.5137254157600573,0.540120244975932,7.999384660910738e-43,2.512583267476976,1.3047766673362768,1.0
1933,CALCR_code_potential_somatic,ENSG00000006468,1933,1.0,1.5137254157600573,0.4589397555184592,6.709998790355674e-30,3.2961678796774376,1.805237363701284,1.0
2494,CALCR_code_potential_somatic,ENSG00000184058,2494,-1.0,1.5189256690646642,-0.26336599037643516,3.7995491372470845e-10,2.722883316249807,1.4039972713777957,1.0
2501,CALCR_code_potential_somatic,ENSG00000184058,2501,-1.0,1.5189256690646642,-0.332835976746405,1.2142721685346405e-15,2.724261450476447,1.419584891122171,1.0
1297,CALCR_code_potential_somatic,ENSG00000131759,1297,1.0,2.2704201299832896,0.28504961813386004,1.0522915896791589e-11,2.7972786648235233,1.4734734707762234,1.0
85,CALCR_code_potential_somatic,ENSG00000213928,85,1.0,1.4935131197633589,0.24083354643926425,1.1355010397506477e-08,2.9080199174905212,1.5028861249107366,1.0
79,CALCR_code_potential_somatic,ENSG00000213928,79,1.0,1.4935131197633589,0.2440314844051304,7.1524069988457364e-09,2.7802502861135605,1.449138679487302,1.0
2457,CALCR_code_potential_somatic,ENSG00000071794,2457,1.0,1.4280341453125593,0.39612341899644865,4.945513996166504e-22,3.4407980347040916,1.8726538651343227,1.0
2459,CALCR_code_potential_somatic,ENSG00000071794,2459,1.0,1.4280341453125593,0.2560222204770262,1.1922324735613492e-09,7.601957901541015,4.0293911708643275,1.0
