,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1318,CARM1_code_potential_somatic,ENSG00000125952,1318,-1.0,1.7708654014742624,0.20678596369491634,1.04722012673564e-06,-4.6475188384819495,1.438494308004126,1.0
1813,CARM1_code_potential_somatic,ENSG00000281306,1813,-1.0,1.5891992106899537,0.5686354592080978,2.928966155671868e-48,-6.268919497026246,2.282766927803357,1.0
1449,CARM1_code_potential_somatic,ENSG00000007372,1449,-1.0,1.3791414168309486,0.2154539973021409,3.5420220929641463e-07,-7.800347594443025,4.055815863732311,1.0
107,CARM1_code_potential_somatic,ENSG00000057657,107,-1.0,3.134889784757475,0.4791201762132656,8.518674804720277e-33,-3.500850160896096,1.3318920537843753,1.0
706,CARM1_code_potential_somatic,ENSG00000168310,706,-1.0,1.7228602220329914,0.3914883194251179,1.6273788437504805e-21,-5.938173680198241,5.373417097607953,1.0
708,CARM1_code_potential_somatic,ENSG00000168310,708,-1.0,1.7228602220329914,0.569177174849023,2.2816890469102695e-48,-2.763201730007443,1.4553639703036285,1.0
715,CARM1_code_potential_somatic,ENSG00000168310,715,-1.0,1.7228602220329914,0.4714871556370402,1.1184774131906604e-31,-8.827061447979885,2.389843174005072,1.0
2565,CARM1_code_potential_somatic,ENSG00000175745,2565,-1.0,1.6290893351656397,0.4047934943371429,5.0633719300263606e-23,-5.558759654816419,1.8649037624361977,1.0
2572,CARM1_code_potential_somatic,ENSG00000175745,2572,-1.0,1.6290893351656397,0.24496200443391591,6.244680347417678e-09,-3.9347817561748126,1.3903983299303444,1.0
664,CARM1_code_potential_somatic,ENSG00000131408,664,-1.0,1.47222117503969,0.35709582956250685,6.334202219148733e-18,-4.007725548491681,1.6358261053195782,1.0
1434,CARM1_code_potential_somatic,ENSG00000116035,1434,-1.0,1.7004693701975928,0.2209428331399885,1.741200510542418e-07,-5.595976808859212,1.6794374946279438,1.0
