,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3303,CCDC132_code_potential_somatic,ENSG00000006704,3303,1.0,1.3784101898059724,-0.2457423112145784,5.570541688539979e-09,-3.7957451899807992,3.346064796531281,1.0
1760,CCDC132_code_potential_somatic,ENSG00000116017,1760,1.0,2.9198331428141597,-0.20050522694706086,2.232877120377324e-06,-4.168416493568348,2.923322208011235,1.0
1766,CCDC132_code_potential_somatic,ENSG00000116017,1766,1.0,2.9198331428141597,-0.1981438892703771,2.9501414547006264e-06,-5.7023471957706,4.114730655140327,1.0
1768,CCDC132_code_potential_somatic,ENSG00000116017,1768,1.0,2.9198331428141597,0.33234491557687323,1.3442560533141814e-15,3.822504730358845,2.064357136367546,1.0
2979,CCDC132_code_potential_somatic,ENSG00000187079,2979,1.0,1.4080913582484664,0.2199401961682934,1.9851064859228328e-07,8.637218323526504,4.045740520747018,1.0
1833,CCDC132_code_potential_somatic,ENSG00000112658,1833,1.0,2.3215459497113815,-0.26783481530369657,1.861883407766035e-10,-3.0961089979096483,1.6469423562463152,1.0
1839,CCDC132_code_potential_somatic,ENSG00000112658,1839,1.0,2.3215459497113815,0.43930433182194023,2.919581539654522e-27,3.8861571704369733,1.7719718460745586,1.0
1838,CCDC132_code_potential_somatic,ENSG00000112658,1838,1.0,2.3215459497113815,0.20930167100571492,7.681376775996517e-07,3.659096160379094,1.6550142665096363,1.0
2129,CCDC132_code_potential_somatic,ENSG00000175592,2129,1.0,3.4930736467459504,0.5905505512425152,8.195221638736938e-53,2.7947862804926684,1.3455913909979944,1.0
180,CCDC132_code_potential_somatic,ENSG00000007866,180,1.0,6.2678023064831585,0.5138902409296537,2.9129729113115976e-38,3.3055238988109292,1.4611318212129722,1.0
