,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3611,CD163L1_code_potential_somatic,ENSG00000166478,3611,-1.0,1.4167852363406683,0.289237578075341,5.0731571023881376e-12,-2.7526609044487236,1.3362578256981,1.0
3602,CD163L1_code_potential_somatic,ENSG00000166478,3602,-1.0,1.4167852363406683,0.547348273134645,3.751574126272493e-44,-2.6777540850912347,1.3980781091069123,1.0
3604,CD163L1_code_potential_somatic,ENSG00000166478,3604,-1.0,1.4167852363406683,0.38750971008332685,4.456637548235481e-21,-2.873513426905076,1.4703375703220103,1.0
3440,CD163L1_code_potential_somatic,ENSG00000140044,3440,1.0,1.6902466980234143,-0.33388336174624217,9.768970657786869e-16,-3.4897728843960794,1.8232205890993816,1.0
3446,CD163L1_code_potential_somatic,ENSG00000140044,3446,1.0,1.6902466980234143,-0.3685890389392845,4.461204743516978e-19,-3.460126892970288,1.7762058812645969,1.0
979,CD163L1_code_potential_somatic,ENSG00000066136,979,-1.0,1.408064158884412,0.28817142860892986,6.115645101691349e-12,-2.7183388805556064,1.3313201286180247,1.0
872,CD163L1_code_potential_somatic,ENSG00000132005,872,1.0,1.3011073327269398,-0.29276758940623254,2.7170406560790726e-12,-3.933375385347828,2.041750488887837,1.0
875,CD163L1_code_potential_somatic,ENSG00000132005,875,1.0,1.3011073327269398,-0.34280398695128145,1.480802640841583e-16,-2.6452645060607063,1.3486258996851759,1.0
3563,CD163L1_code_potential_somatic,ENSG00000025156,3563,-1.0,1.4001141546947597,0.39424123241365644,8.03990843147202e-22,-3.89180989420118,2.300398988271149,1.0
2217,CD163L1_code_potential_somatic,ENSG00000187140,2217,1.0,1.3011073327269398,-0.22553506779266524,9.476194167613509e-08,-5.326155855564469,3.1751827668758414,1.0
2227,CD163L1_code_potential_somatic,ENSG00000187140,2227,1.0,1.3011073327269398,-0.35768953704612905,5.5374193482385716e-18,-3.0154548936453436,1.48354474868179,1.0
1914,CD163L1_code_potential_somatic,ENSG00000167034,1914,1.0,2.323942466860638,-0.2007714544076906,2.1633893976211965e-06,-2.931128131087283,1.5392497597869903,1.0
1910,CD163L1_code_potential_somatic,ENSG00000167034,1910,1.0,2.323942466860638,-0.18318899371488814,1.5951574866925808e-05,-3.677424030335669,1.9156126321957616,1.0
2353,CD163L1_code_potential_somatic,ENSG00000155959,2353,-1.0,2.559207038963766,0.5774814882224429,4.679188468862829e-50,-2.7424574898178076,1.3748021325604647,1.0
2351,CD163L1_code_potential_somatic,ENSG00000155959,2351,-1.0,2.559207038963766,0.6798362850601185,1.4597848425820899e-75,-2.640416889949733,1.425312373722802,1.0
