,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3646,CD163_code_potential_somatic,ENSG00000198353,3646,1.0,7.071682711555802,0.27271791257253536,8.410853905558882e-11,5.459412946116786,2.0234882445450366,1.0
1549,CD163_code_potential_somatic,ENSG00000134323,1549,1.0,7.071682711555802,0.41189610172557833,7.441609030900848e-24,4.237761524353337,1.449509501407233,1.0
1550,CD163_code_potential_somatic,ENSG00000134323,1550,1.0,7.071682711555802,-0.5060944650282776,5.560042287405335e-37,-6.124491093723885,2.186509326377255,1.0
3421,CD163_code_potential_somatic,ENSG00000185022,3421,-1.0,2.800276137537166,0.42446457545032806,2.2301941256005507e-25,-4.115975848053365,1.361436240043675,1.0
3601,CD163_code_potential_somatic,ENSG00000166478,3601,1.0,1.39829504929096,0.4831486621869576,2.1317641999305934e-33,7.710706108917107,2.8539251160462356,1.0
470,CD163_code_potential_somatic,ENSG00000172216,470,-1.0,1.5894626478768419,0.7912697226895726,9.865638401480642e-119,-4.2510826623297735,1.4583866993199912,1.0
946,CD163_code_potential_somatic,ENSG00000001167,946,1.0,1.3955073845348829,0.3569742005829587,6.510849095546955e-18,4.146505435737539,1.436315116035556,1.0
1893,CD163_code_potential_somatic,ENSG00000109705,1893,1.0,17.047151279544977,0.2104670882108056,6.645416770661001e-07,4.733029259858038,2.077579456449648,1.0
2948,CD163_code_potential_somatic,ENSG00000169016,2948,1.0,1.3759026113196828,0.4359093665762544,8.02340715052771e-27,4.023867838043474,1.3556648138187322,1.0
2513,CD163_code_potential_somatic,ENSG00000128652,2513,1.0,1.4949956266914763,0.2976693980399551,1.1252597729420222e-12,4.77442103689998,1.489089730138323,1.0
3640,CD163_code_potential_somatic,ENSG00000076604,3640,1.0,2.1943566764383684,-0.23632160714758385,2.1557552719535046e-08,-5.885284848069346,2.800222521563089,1.0
3635,CD163_code_potential_somatic,ENSG00000076604,3635,1.0,2.1943566764383684,-0.2935314894000855,2.3709099573033634e-12,-4.783990519333188,1.5974128139356063,1.0
40,CD163_code_potential_somatic,ENSG00000125347,40,-1.0,1.8291692250104201,0.7218787127191317,2.3911038311816783e-89,-10.42535819264942,6.770663970066638,1.0
44,CD163_code_potential_somatic,ENSG00000125347,44,-1.0,1.8291692250104201,0.4144791862408749,3.6628675370127346e-24,-5.075791925812514,1.7816530093023473,1.0
1839,CD163_code_potential_somatic,ENSG00000112658,1839,-1.0,11.166143633922138,0.43930433182194023,2.919581539654522e-27,-10.103307154335182,16.863682961375815,1.0
3071,CD163_code_potential_somatic,ENSG00000100968,3071,-1.0,3.574073808640983,0.29690253719655557,1.2930951840202602e-12,-5.050869214373128,1.8098216869407069,1.0
3081,CD163_code_potential_somatic,ENSG00000100968,3081,-1.0,3.574073808640983,0.2369518465182283,1.9726345974047266e-08,-7.5256675825152515,3.427330922159217,1.0
1909,CD163_code_potential_somatic,ENSG00000167034,1909,-1.0,1.5467827341706482,-0.2190970331643872,2.2154154809942472e-07,4.046272977929226,1.3297110496882556,1.0
1910,CD163_code_potential_somatic,ENSG00000167034,1910,-1.0,1.5467827341706482,-0.18318899371488814,1.5951574866925808e-05,4.065989031862381,2.2451066252812826,1.0
1124,CD163_code_potential_somatic,ENSG00000165804,1124,1.0,1.9333967691732705,0.33866896624190596,3.5776368042370365e-16,5.242663823894671,1.6002833616371093,1.0
943,CD163_code_potential_somatic,ENSG00000112242,943,1.0,3.3749472795908027,0.4906530535545961,1.5362166371506275e-34,6.73033584535612,1.867446861864828,1.0
1875,CD163_code_potential_somatic,ENSG00000118513,1875,1.0,2.1780029654620927,0.37999052307517084,2.8821468727292314e-20,10.478317133936548,6.100495887559284,1.0
1186,CD163_code_potential_somatic,ENSG00000100811,1186,1.0,1.9294708413926913,0.4036442900699491,6.875636328881652e-23,4.746693973566539,1.5483390933120333,0.25
