,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,CD1D_code_potential_somatic,ENSG00000125952,1313,1.0,1.856388820662185,0.6383058949876683,4.830752998599309e-64,4.751119880944409,1.509694440681941,1.0
1309,CD1D_code_potential_somatic,ENSG00000125952,1309,1.0,1.856388820662185,0.45210191720960374,5.82270233160004e-29,11.810907529511189,8.484043528732931,1.0
1311,CD1D_code_potential_somatic,ENSG00000125952,1311,1.0,1.856388820662185,0.4344864971050772,1.2215048897877538e-26,7.735414459938706,2.7672068796273095,1.0
220,CD1D_code_potential_somatic,ENSG00000136826,220,1.0,2.1698322476619896,0.3135864164055618,5.714192364183687e-14,4.822986702523568,1.6224030615137544,1.0
217,CD1D_code_potential_somatic,ENSG00000136826,217,1.0,2.1698322476619896,0.364986254394011,1.036738802997792e-18,4.254130779094525,1.577025048174811,1.0
216,CD1D_code_potential_somatic,ENSG00000136826,216,1.0,2.1698322476619896,0.22636392717807574,8.478931495586626e-08,4.448082662418204,3.147783199828342,1.0
32,CD1D_code_potential_somatic,ENSG00000261678,32,-1.0,1.511143367966251,-0.27645840978820174,4.5265870704530514e-11,7.199432829156553,2.7510780232813015,1.0
889,CD1D_code_potential_somatic,ENSG00000139083,889,1.0,1.60787406998054,0.37569040670382775,8.203038178775998e-20,4.022109560646767,1.3169792957317408,0.5
519,CD1D_code_potential_somatic,ENSG00000120690,519,1.0,1.9390281586023377,0.43115883614483685,3.239143679177495e-26,9.855808789301724,13.025322540808911,1.0
513,CD1D_code_potential_somatic,ENSG00000120690,513,1.0,1.9390281586023377,0.5715665134418617,7.541806748598516e-49,4.317164797265131,1.4319445964806496,1.0
515,CD1D_code_potential_somatic,ENSG00000120690,515,1.0,1.9390281586023377,0.5845918979494944,1.5342715639809988e-51,6.489574653888155,3.426837230386535,1.0
510,CD1D_code_potential_somatic,ENSG00000120690,510,1.0,1.9390281586023377,0.4742601213650126,4.4221588933779136e-32,7.595809313294666,2.010198017757891,1.0
2951,CD1D_code_potential_somatic,ENSG00000099326,2951,1.0,3.158613651777386,0.461927978289373,2.5699245299049342e-30,4.349168555935056,1.3953023655706982,1.0
2952,CD1D_code_potential_somatic,ENSG00000099326,2952,1.0,3.158613651777386,0.6748517573892705,4.433728282902681e-74,10.223805136046265,9.156671529184118,1.0
2093,CD1D_code_potential_somatic,ENSG00000105856,2093,1.0,1.4793807663725869,0.16447235007970418,0.00010983167865860399,6.355690875770225,1.9893037053343061,1.0
2100,CD1D_code_potential_somatic,ENSG00000105856,2100,1.0,1.4793807663725869,0.3997436311952665,1.9251830143592888e-22,3.982193360253545,1.3709686820800966,1.0
2095,CD1D_code_potential_somatic,ENSG00000105856,2095,1.0,1.4793807663725869,0.305855830137109,2.4855471270809603e-13,4.919573655804026,1.555658407282643,1.0
1707,CD1D_code_potential_somatic,ENSG00000170365,1707,1.0,1.4221837227094596,0.38321594459668734,1.3017449986137167e-20,8.840182835223551,4.946871365857233,1.0
1727,CD1D_code_potential_somatic,ENSG00000170365,1727,1.0,1.4221837227094596,0.45551606016609364,1.9917364237164507e-29,5.445313700738536,1.5974289541661906,1.0
238,CD1D_code_potential_somatic,ENSG00000177606,238,1.0,1.3486869155299546,0.5242632678221274,5.105164133303365e-40,6.804345475132913,2.5542725829411483,1.0
251,CD1D_code_potential_somatic,ENSG00000177606,251,1.0,1.3486869155299546,0.7020705437872713,1.4989788859365892e-82,4.959600530350382,1.8111440310278586,1.0
