,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2812,CD3EAP_code_potential_somatic,ENSG00000277615,2812,1.0,2.264664461883097,0.3966994065920428,4.259492822468993e-22,4.782416951756671,5.396770992748342,1.0
2811,CD3EAP_code_potential_somatic,ENSG00000277615,2811,1.0,2.264664461883097,0.24881767225321408,3.537595533144135e-09,4.7569623325388,1.5250980336660578,1.0
834,CD3EAP_code_potential_somatic,ENSG00000152284,834,-1.0,1.3610406892006366,-0.22092015531466508,1.7463831148306196e-07,4.804069568787797,1.4369817411682653,0.5
3720,CD3EAP_code_potential_somatic,ENSG00000137265,3720,1.0,1.6118856443641862,-0.1483829799056238,0.0004922567568174612,-8.136839340495369,3.875534796507186,1.0
2042,CD3EAP_code_potential_somatic,ENSG00000054598,2042,1.0,3.8526597103305895,0.28666987948011924,7.94644148217391e-12,4.740976672067339,4.639869390200919,1.0
2033,CD3EAP_code_potential_somatic,ENSG00000054598,2033,1.0,3.8526597103305895,0.37662573939007743,6.542483829647519e-20,7.818256334705681,2.41593758700011,1.0
2947,CD3EAP_code_potential_somatic,ENSG00000169016,2947,-1.0,8.772800752211683,0.3604231988465373,2.9709430789772162e-18,-4.614324638552992,2.5042755436788973,1.0
3386,CD3EAP_code_potential_somatic,ENSG00000137273,3386,1.0,1.5157296282446546,0.27798616827661,3.505019553240817e-11,4.420174722800166,1.4308928367834786,1.0
678,CD3EAP_code_potential_somatic,ENSG00000188786,678,1.0,1.7006240053668755,0.27860175091770456,3.16037078157384e-11,8.52889038860622,2.853142732755382,0.6
683,CD3EAP_code_potential_somatic,ENSG00000188786,683,1.0,1.7006240053668755,0.5801837953885554,1.2893418962724247e-50,3.7330026241737495,1.4033272264675696,0.6
682,CD3EAP_code_potential_somatic,ENSG00000188786,682,1.0,1.7006240053668755,0.2638246320121787,3.533490936416008e-10,4.325326494511499,1.375334783815707,0.6
1208,CD3EAP_code_potential_somatic,ENSG00000172059,1208,1.0,1.4015311904739318,0.16150272166717458,0.00014645591395207408,4.049048059164392,1.3553480780531058,1.0
2883,CD3EAP_code_potential_somatic,ENSG00000118260,2883,-1.0,1.7660241486217636,0.2010583908792266,2.090816757494161e-06,-4.39771660766931,1.5395408037177023,1.0
