,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1632,CDH19_code_potential_somatic,ENSG00000028277,1632,-1.0,2.0991302372961167,-0.23786617851736172,1.7334905555925857e-08,9.242292239759628,2.633723800492869,1.0
2198,CDH19_code_potential_somatic,ENSG00000169083,2198,1.0,1.703390442324669,0.29772499118955553,1.1139578145517225e-12,7.938516579678791,2.113985223429687,1.0
2201,CDH19_code_potential_somatic,ENSG00000169083,2201,1.0,1.703390442324669,0.3049596549820448,2.9391888289980374e-13,6.691104181401699,2.6624902341212016,1.0
1441,CDH19_code_potential_somatic,ENSG00000221869,1441,1.0,1.513929800809593,0.18593111468365855,1.1821511134466203e-05,8.35922009644537,2.9333847453020727,1.0
1246,CDH19_code_potential_somatic,ENSG00000151702,1246,1.0,2.4510092242018895,0.39119708072948517,1.7527427011751133e-21,6.87153021958778,2.212809772328258,1.0
1238,CDH19_code_potential_somatic,ENSG00000151702,1238,1.0,2.4510092242018895,0.6335156236726455,7.943540603589842e-63,4.229374174984256,1.3661427200043688,1.0
1244,CDH19_code_potential_somatic,ENSG00000151702,1244,1.0,2.4510092242018895,0.38109312514068827,2.1985979843151025e-20,4.060929068134756,1.3062442788902053,1.0
1240,CDH19_code_potential_somatic,ENSG00000151702,1240,1.0,2.4510092242018895,-0.43795715232724447,4.366483533249555e-27,-4.546428255260581,1.6001275121475227,1.0
32,CDH19_code_potential_somatic,ENSG00000261678,32,-1.0,3.3081214751320913,-0.27645840978820174,4.5265870704530514e-11,4.131766629454634,1.4295078853766312,1.0
2520,CDH19_code_potential_somatic,ENSG00000112333,2520,1.0,2.093402506238062,0.5670993464484083,5.931604568650053e-48,8.652107551399213,4.571335490448904,0.8
2522,CDH19_code_potential_somatic,ENSG00000112333,2522,1.0,2.093402506238062,0.4848949276559143,1.1626510343479794e-33,4.1647177774063895,1.5418908504030093,0.8
2530,CDH19_code_potential_somatic,ENSG00000112333,2530,1.0,2.093402506238062,0.62790340879799,1.984555698064428e-61,4.013012504192403,1.374548579699097,0.8
2519,CDH19_code_potential_somatic,ENSG00000112333,2519,1.0,2.093402506238062,0.5367556869751333,3.2412023142188855e-42,5.82438850273948,2.098968224363385,0.8
2605,CDH19_code_potential_somatic,ENSG00000147601,2605,1.0,1.7910912291081922,0.34344283077011933,1.2906175885613344e-16,3.515499962278293,1.5801877816027106,1.0
2458,CDH19_code_potential_somatic,ENSG00000071794,2458,1.0,1.3257724025746869,0.4253344997464969,1.7398503899501928e-25,4.656886325874205,1.4528469896858787,1.0
2183,CDH19_code_potential_somatic,ENSG00000136997,2183,1.0,1.68217409434081,0.3070880892050854,1.9719890040741203e-13,4.472164873831862,1.4163853331118637,1.0
894,CDH19_code_potential_somatic,ENSG00000154727,894,1.0,1.8380811988410373,0.3745957458878942,1.0679125150388243e-19,5.812174293997027,1.78078159096272,1.0
