,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1550,CDKL5_code_potential_somatic,ENSG00000134323,1550,1.0,2.3577356389700004,-0.5060944650282776,5.560042287405335e-37,-3.69537049088682,1.3099148217172383,1.0
2539,CDKL5_code_potential_somatic,ENSG00000177732,2539,1.0,1.480975991803187,0.522654965200476,9.64504291485037e-40,5.599195158478532,1.8543253143805507,1.0
2538,CDKL5_code_potential_somatic,ENSG00000177732,2538,1.0,1.480975991803187,-0.40340927196378373,7.318506353990884e-23,-3.644359332581197,1.3373356864351431,1.0
377,CDKL5_code_potential_somatic,ENSG00000112561,377,1.0,1.338300930999587,0.17995656503719568,2.2582146281443577e-05,3.4704563030185644,1.5281769657237978,1.0
3552,CDKL5_code_potential_somatic,ENSG00000167157,3552,-1.0,1.6919269739666554,-0.3878530493662969,4.0877649762604634e-21,3.5012119177648366,1.489667457445252,1.0
40,CDKL5_code_potential_somatic,ENSG00000125347,40,-1.0,5.004043403033835,0.7218787127191317,2.3911038311816783e-89,-10.152191278920139,8.981550880945662,1.0
35,CDKL5_code_potential_somatic,ENSG00000125347,35,-1.0,5.004043403033835,0.5707869358517241,1.083363300896522e-48,-4.982786701012238,1.8452314704147368,1.0
1840,CDKL5_code_potential_somatic,ENSG00000112658,1840,-1.0,1.833766770280502,-0.2927077957831933,2.7461294699794085e-12,4.038497822309306,1.310056322111863,1.0
1839,CDKL5_code_potential_somatic,ENSG00000112658,1839,-1.0,1.833766770280502,0.43930433182194023,2.919581539654522e-27,-5.9838083473258745,2.1237404231421095,1.0
3081,CDKL5_code_potential_somatic,ENSG00000100968,3081,-1.0,1.8080170543579768,0.2369518465182283,1.9726345974047266e-08,-12.14593694302491,17.177886622346346,1.0
1235,CDKL5_code_potential_somatic,ENSG00000110777,1235,-1.0,2.25474048243819,0.36754829584680226,5.697930515715456e-19,-9.439497977767468,4.642524118862337,1.0
