,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,CELSR3_code_potential_somatic,ENSG00000125952,1313,-1.0,4.8460165288211225,0.6383058949876683,4.830752998599309e-64,-5.67469403154023,2.145742176194307,1.0
1317,CELSR3_code_potential_somatic,ENSG00000125952,1317,-1.0,4.8460165288211225,0.2754762215709579,5.331152556561886e-11,-4.300298130133257,1.9630193717381885,1.0
1310,CELSR3_code_potential_somatic,ENSG00000125952,1310,-1.0,4.8460165288211225,0.1946859219633426,4.409687713544408e-06,-2.933951160437472,1.3633760726309003,1.0
1245,CELSR3_code_potential_somatic,ENSG00000151702,1245,-1.0,1.5321555719129598,0.4636356695795641,1.4786817131922358e-30,-3.7902441351640284,1.635531764136259,1.0
885,CELSR3_code_potential_somatic,ENSG00000139083,885,-1.0,1.344379517189019,0.3774455682971878,5.362641469225887e-20,-2.964159939585341,1.3600763048108444,1.0
2113,CELSR3_code_potential_somatic,ENSG00000069667,2113,-1.0,2.5233533567872026,0.22245043455015545,1.4280152349632248e-07,-6.3834790196962645,3.4483940701445426,1.0
3404,CELSR3_code_potential_somatic,ENSG00000170345,3404,-1.0,4.642470090689899,0.43853700463262035,3.6727014873598426e-27,-3.5077566312450315,1.4655142117247386,1.0
460,CELSR3_code_potential_somatic,ENSG00000172216,460,-1.0,3.804302040510963,0.7538666239069344,1.1372637327826006e-101,-6.801386012567351,5.027650262608091,1.0
470,CELSR3_code_potential_somatic,ENSG00000172216,470,-1.0,3.804302040510963,0.7912697226895726,9.865638401480642e-119,-4.671500091566038,2.366812243245088,1.0
467,CELSR3_code_potential_somatic,ENSG00000172216,467,-1.0,3.804302040510963,0.6371701807451847,9.424611068960706e-64,-4.868126912847693,2.156047117462347,1.0
465,CELSR3_code_potential_somatic,ENSG00000172216,465,-1.0,3.804302040510963,0.6702363459621111,9.855673053377899e-73,-3.928880878762378,1.656961512869816,1.0
478,CELSR3_code_potential_somatic,ENSG00000172216,478,-1.0,3.804302040510963,0.5755761863000123,1.1527766325315883e-49,-8.227940387817782,10.436547338832517,1.0
466,CELSR3_code_potential_somatic,ENSG00000172216,466,-1.0,3.804302040510963,0.5771642174250722,5.439436944656447e-50,-3.340502155607574,1.4559391665848649,1.0
458,CELSR3_code_potential_somatic,ENSG00000172216,458,-1.0,3.804302040510963,0.6437152490583052,1.92593106774297e-65,-2.842531329102022,1.3122945248851468,1.0
471,CELSR3_code_potential_somatic,ENSG00000172216,471,-1.0,3.804302040510963,0.42785844691022656,8.430966507122299e-26,-11.563989702910135,7.25570679436369,1.0
554,CELSR3_code_potential_somatic,ENSG00000181449,554,1.0,1.3285943710872747,-0.180874178393691,2.0472835167626913e-05,-4.279213265909888,1.9061581006409558,1.0
553,CELSR3_code_potential_somatic,ENSG00000181449,553,1.0,1.3285943710872747,-0.33505509800065436,7.651321563710491e-16,-4.265973022361993,2.029810803831454,1.0
560,CELSR3_code_potential_somatic,ENSG00000181449,560,1.0,1.3285943710872747,0.7759856705311577,2.31757765165303e-111,2.8686200524502055,1.3138699987031734,1.0
550,CELSR3_code_potential_somatic,ENSG00000181449,550,1.0,1.3285943710872747,-0.5315766841913027,2.708812111714531e-41,-3.2712079363769453,1.5381219676280593,1.0
2032,CELSR3_code_potential_somatic,ENSG00000054598,2032,-1.0,2.7138636081928578,0.29395303444251236,2.1987764799158302e-12,-8.253813751614432,7.570023960816204,1.0
2036,CELSR3_code_potential_somatic,ENSG00000054598,2036,-1.0,2.7138636081928578,0.29412643594932625,2.131573708078404e-12,-4.073310402923345,1.8058270048265612,1.0
2035,CELSR3_code_potential_somatic,ENSG00000054598,2035,-1.0,2.7138636081928578,0.46502937142974654,9.396365267908402e-31,-4.119493463109108,1.8687969750995934,1.0
2050,CELSR3_code_potential_somatic,ENSG00000054598,2050,-1.0,2.7138636081928578,0.34757872650812466,5.25969528337334e-17,-4.619983740592658,2.490310247633399,1.0
2045,CELSR3_code_potential_somatic,ENSG00000054598,2045,-1.0,2.7138636081928578,0.23762984786825161,1.7924637033273982e-08,-3.004080620487593,1.763930369237795,1.0
2043,CELSR3_code_potential_somatic,ENSG00000054598,2043,-1.0,2.7138636081928578,0.44557682871686455,4.375383691115867e-28,-10.963003140838001,6.74894589809835,1.0
2053,CELSR3_code_potential_somatic,ENSG00000054598,2053,-1.0,2.7138636081928578,0.40809315438122823,2.089500644179491e-23,-6.705423818196134,3.02917217615619,1.0
2037,CELSR3_code_potential_somatic,ENSG00000054598,2037,-1.0,2.7138636081928578,0.3451955860347472,8.836817650693244e-17,-2.9874847331377237,1.3836705565771652,1.0
2039,CELSR3_code_potential_somatic,ENSG00000054598,2039,-1.0,2.7138636081928578,0.4104257619512322,1.1109781326525633e-23,-4.763392678027139,1.979737328220238,1.0
101,CELSR3_code_potential_somatic,ENSG00000057657,101,-1.0,1.6242867353519104,0.33171183236318186,1.5321605518351249e-15,-3.347826017065785,1.4666748943014922,1.0
108,CELSR3_code_potential_somatic,ENSG00000057657,108,-1.0,1.6242867353519104,0.3942166586929683,8.09091190283462e-22,-5.624761077053426,3.241926041673908,1.0
113,CELSR3_code_potential_somatic,ENSG00000057657,113,-1.0,1.6242867353519104,0.48237695985448864,2.783612097846488e-33,-7.256618813871641,3.804302040510963,1.0
103,CELSR3_code_potential_somatic,ENSG00000057657,103,-1.0,1.6242867353519104,0.45062778564452827,9.218547571241051e-29,-5.090086382391356,2.1186989138278722,1.0
99,CELSR3_code_potential_somatic,ENSG00000057657,99,-1.0,1.6242867353519104,0.36249089149885627,1.847643746754883e-18,-7.348254658871451,6.344023092660654,1.0
100,CELSR3_code_potential_somatic,ENSG00000057657,100,-1.0,1.6242867353519104,0.33354137139007856,1.048899513197551e-15,-3.9230118761133412,1.7662780394473612,1.0
111,CELSR3_code_potential_somatic,ENSG00000057657,111,-1.0,1.6242867353519104,0.30562263500725584,2.596515299717595e-13,-6.6499629333115555,2.493671071616222,1.0
3577,CELSR3_code_potential_somatic,ENSG00000134138,3577,1.0,2.145147055537762,0.6019454657365405,2.5430605829568647e-55,3.4803934674535504,1.5799330906749094,1.0
255,CELSR3_code_potential_somatic,ENSG00000177606,255,-1.0,1.780967500414937,0.46501566264787897,9.438461489358275e-31,-6.845537785629083,3.239506489033617,1.0
244,CELSR3_code_potential_somatic,ENSG00000177606,244,-1.0,1.780967500414937,0.37624823745535263,7.16848975536673e-20,-6.670612328263171,2.798036838684194,1.0
251,CELSR3_code_potential_somatic,ENSG00000177606,251,-1.0,1.780967500414937,0.7020705437872713,1.4989788859365892e-82,-2.9109420867016356,1.4538145754894152,1.0
236,CELSR3_code_potential_somatic,ENSG00000177606,236,-1.0,1.780967500414937,0.5406569292022357,6.389904688620846e-43,-3.8387557680464464,1.6308606745285965,1.0
239,CELSR3_code_potential_somatic,ENSG00000177606,239,-1.0,1.780967500414937,0.36573265381526704,8.713214957431152e-19,-6.732898270543035,4.267561808593893,1.0
250,CELSR3_code_potential_somatic,ENSG00000177606,250,-1.0,1.780967500414937,0.5698915628062372,1.6402869014388916e-48,-3.8477558096058386,1.641781318698674,1.0
243,CELSR3_code_potential_somatic,ENSG00000177606,243,-1.0,1.780967500414937,0.5406951387857389,6.28842195941703e-43,-7.35147002109883,3.134524210147575,1.0
2152,CELSR3_code_potential_somatic,ENSG00000125798,2152,1.0,1.6337103710224172,-0.3761456356537762,7.348602172471379e-20,-4.619983740592651,2.490310247633394,1.0
2153,CELSR3_code_potential_somatic,ENSG00000125798,2153,1.0,1.6337103710224172,-0.2340867080856713,2.9473693874078184e-08,-4.409506259724742,2.0352699726919576,1.0
664,CELSR3_code_potential_somatic,ENSG00000131408,664,-1.0,1.4929612163911639,0.35709582956250685,6.334202219148733e-18,-6.047888437775532,3.1563160537677017,1.0
3564,CELSR3_code_potential_somatic,ENSG00000025156,3564,1.0,2.5192388242100385,0.32746240166045437,3.658557377395147e-15,4.6160060765672695,1.9671487573663857,1.0
3506,CELSR3_code_potential_somatic,ENSG00000149948,3506,-1.0,1.9347020577747824,0.32392738253541986,7.46932481663449e-15,-4.646144569228678,1.9219570778172905,1.0
789,CELSR3_code_potential_somatic,ENSG00000126561,789,-1.0,1.3866019009167467,0.49281634308472533,7.110148695212294e-35,-3.3663345610204773,1.461501266302665,1.0
809,CELSR3_code_potential_somatic,ENSG00000126561,809,-1.0,1.3866019009167467,0.520453684844001,2.2912884763666564e-39,-7.804976906887273,4.089572022467776,1.0
803,CELSR3_code_potential_somatic,ENSG00000126561,803,-1.0,1.3866019009167467,0.5055807503035074,6.734713373543928e-37,-4.745789628829954,2.2886732551834497,1.0
802,CELSR3_code_potential_somatic,ENSG00000126561,802,-1.0,1.3866019009167467,-0.1737755815531423,4.316510851674963e-05,4.236492479307588,1.9858980697048,1.0
795,CELSR3_code_potential_somatic,ENSG00000126561,795,-1.0,1.3866019009167467,0.5945296710176737,1.119601462237606e-53,-3.212657952588287,1.4670219760509555,1.0
805,CELSR3_code_potential_somatic,ENSG00000126561,805,-1.0,1.3866019009167467,0.35295935047208166,1.6035130554026276e-17,-2.733018655452721,1.598308687143855,1.0
799,CELSR3_code_potential_somatic,ENSG00000126561,799,-1.0,1.3866019009167467,0.37370467506650407,1.3227228291549273e-19,-3.6379872732263836,1.513798184187881,1.0
788,CELSR3_code_potential_somatic,ENSG00000126561,788,-1.0,1.3866019009167467,0.5322216532105494,2.083610091385991e-41,-2.819677423858432,1.3065739070588853,1.0
800,CELSR3_code_potential_somatic,ENSG00000126561,800,-1.0,1.3866019009167467,0.5647726453216558,1.7151549158615316e-47,-5.408450370109579,2.2263715899573353,1.0
794,CELSR3_code_potential_somatic,ENSG00000126561,794,-1.0,1.3866019009167467,0.358109404392075,5.03435669532338e-18,-4.65354212306329,2.010162491523734,1.0
1835,CELSR3_code_potential_somatic,ENSG00000112658,1835,-1.0,3.1562232306182487,0.3052312055335061,2.7937853788989866e-13,-3.941947828962932,1.8882226367981192,1.0
1839,CELSR3_code_potential_somatic,ENSG00000112658,1839,-1.0,3.1562232306182487,0.43930433182194023,2.919581539654522e-27,-6.705423818196134,3.02917217615619,1.0
1829,CELSR3_code_potential_somatic,ENSG00000112658,1829,-1.0,3.1562232306182487,0.20757429157135235,9.506884319138885e-07,-3.883792595091402,1.688324815457198,1.0
