,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,CEP250_code_potential_somatic,ENSG00000125952,1313,-1.0,3.5140653789731195,0.6383058949876683,4.830752998599309e-64,-6.806364588007317,1.9647947031783664,1.0
1308,CEP250_code_potential_somatic,ENSG00000125952,1308,-1.0,3.5140653789731195,0.293091131242117,2.5647925652965465e-12,-12.550193990592243,7.36341249194753,1.0
2408,CEP250_code_potential_somatic,ENSG00000198815,2408,1.0,3.1580618614414715,0.6558470105777108,1.0989746058201963e-68,3.518940749515116,1.689485521618888,0.3333333333333333
216,CEP250_code_potential_somatic,ENSG00000136826,216,-1.0,1.3338165814362328,0.22636392717807574,8.478931495586626e-08,-3.9534936550431885,1.3018424836807736,1.0
1238,CEP250_code_potential_somatic,ENSG00000151702,1238,-1.0,5.4790618200206955,0.6335156236726455,7.943540603589842e-63,-4.111973080956497,1.340477548805695,1.0
1824,CEP250_code_potential_somatic,ENSG00000096401,1824,1.0,2.2762904832731614,0.4715760439620218,1.0858410840866914e-31,5.032917230344539,1.6207378663987917,1.0
1078,CEP250_code_potential_somatic,ENSG00000163848,1078,1.0,2.197919097949802,0.3741183448512623,1.1977369672127587e-19,4.269764111334052,1.5630123476155362,0.5
1445,CEP250_code_potential_somatic,ENSG00000007372,1445,1.0,1.6883724662750137,-0.11901628989756842,0.005276349731374687,-6.131158850897398,5.35527306565452,1.0
3522,CEP250_code_potential_somatic,ENSG00000153234,3522,-1.0,2.3467243141447183,0.17118411134680978,5.626856667007211e-05,-7.675474692569011,2.2216792273826127,1.0
3525,CEP250_code_potential_somatic,ENSG00000153234,3525,-1.0,2.3467243141447183,0.18073526759870343,2.0779665810347115e-05,-4.412131904735223,4.381287332806396,1.0
3400,CEP250_code_potential_somatic,ENSG00000170345,3400,-1.0,1.3513065829371227,0.41641598919397976,2.1440561900572415e-24,-9.736474983192887,4.747057047314849,1.0
458,CEP250_code_potential_somatic,ENSG00000172216,458,-1.0,1.612157629834891,0.6437152490583052,1.92593106774297e-65,-3.7457296452989075,1.3185257769386407,1.0
2692,CEP250_code_potential_somatic,ENSG00000102034,2692,-1.0,4.155923061322251,0.5753680493535116,1.2716446576833584e-49,-5.760050282639931,2.5990940448663284,1.0
69,CEP250_code_potential_somatic,ENSG00000166888,69,-1.0,2.498055490142122,0.39603540570009693,5.059529347962473e-22,-4.932622372280656,2.778139348767694,1.0
60,CEP250_code_potential_somatic,ENSG00000166888,60,-1.0,2.498055490142122,0.4327467214317918,2.0366414746574821e-26,-5.1699379042843585,1.556166988064846,1.0
65,CEP250_code_potential_somatic,ENSG00000166888,65,-1.0,2.498055490142122,0.5148827421530532,1.99018946659297e-38,-5.202589609169015,1.9230022376323503,1.0
61,CEP250_code_potential_somatic,ENSG00000166888,61,-1.0,2.498055490142122,0.4969623016519739,1.599369703284443e-35,-15.24737917837603,27.316219670618736,1.0
2571,CEP250_code_potential_somatic,ENSG00000175745,2571,1.0,2.046690962310079,-0.22355851247174663,1.2332456093366572e-07,-8.251387397308488,4.559757166066774,1.0
2566,CEP250_code_potential_somatic,ENSG00000175745,2566,1.0,2.046690962310079,-0.3261471607107479,4.776522807993507e-15,-4.64135275613271,1.544561447311611,1.0
2569,CEP250_code_potential_somatic,ENSG00000175745,2569,1.0,2.046690962310079,-0.22713847335359172,7.639153588939715e-08,-5.175383378617706,1.619757245208315,1.0
1476,CEP250_code_potential_somatic,ENSG00000087510,1476,-1.0,1.372935046024547,0.22488433575678962,1.0337572531428442e-07,-7.807555316370224,3.214505076681543,0.8
1470,CEP250_code_potential_somatic,ENSG00000087510,1470,-1.0,1.372935046024547,0.22247778739014765,1.4228685801076825e-07,-10.421935280915768,7.778415308090026,0.8
1472,CEP250_code_potential_somatic,ENSG00000087510,1472,-1.0,1.372935046024547,0.34614519122009924,7.190152436748869e-17,-3.8486272939247392,1.4320439206411444,0.8
1475,CEP250_code_potential_somatic,ENSG00000087510,1475,-1.0,1.372935046024547,0.3591236935088842,3.997301619713854e-18,-5.229376267604737,3.3140981114448222,0.8
3482,CEP250_code_potential_somatic,ENSG00000203883,3482,-1.0,1.3743155846088604,0.23209470843207486,3.884684479180556e-08,-4.79242067834326,1.5814589621552597,1.0
1839,CEP250_code_potential_somatic,ENSG00000112658,1839,-1.0,1.7018394011677487,0.43930433182194023,2.919581539654522e-27,-5.760050282639931,2.5990940448663284,0.5
