,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,CHD5_code_potential_somatic,ENSG00000125952,1313,1.0,1.4751247929497697,0.6383058949876683,4.830752998599309e-64,3.0439469852152774,1.8895676330170472,1.0
1440,CHD5_code_potential_somatic,ENSG00000221869,1440,1.0,1.3156659015098144,0.7210168824377889,4.8594174980191e-89,2.774886731564309,1.5422049189257112,1.0
1442,CHD5_code_potential_somatic,ENSG00000221869,1442,1.0,1.3156659015098144,0.34831433390961264,4.477296755863648e-17,4.834702276128694,3.0044359717396687,1.0
1580,CHD5_code_potential_somatic,ENSG00000105866,1580,-1.0,2.094479585802072,-0.16683930252342943,8.70086169584507e-05,3.022085147579364,1.7574048692892126,1.0
1575,CHD5_code_potential_somatic,ENSG00000105866,1575,-1.0,2.094479585802072,-0.3630196275484389,1.6354190401390349e-18,2.7866024950287165,1.6089477438907334,1.0
3649,CHD5_code_potential_somatic,ENSG00000198353,3649,-1.0,2.094479585802072,0.3031002920626809,4.154193656006295e-13,-2.597810897026274,1.5013935525091342,0.5
221,CHD5_code_potential_somatic,ENSG00000020633,221,1.0,1.5565014788727443,0.6379715611320159,5.8828214436437776e-64,3.0428766046390994,1.7699797113069313,0.75
228,CHD5_code_potential_somatic,ENSG00000020633,228,1.0,1.5565014788727443,0.3442018451874556,1.0956935832425158e-16,3.493734434576579,1.9597051899237032,0.75
223,CHD5_code_potential_somatic,ENSG00000020633,223,1.0,1.5565014788727443,0.41155265298836496,8.17328897573916e-24,2.9711783114140022,1.6869931887278318,0.75
1551,CHD5_code_potential_somatic,ENSG00000134323,1551,-1.0,2.094479585802072,-0.436735976955246,6.279389245335047e-27,5.019323644292041,3.0856763568735053,1.0
344,CHD5_code_potential_somatic,ENSG00000159216,344,1.0,1.5853276258259408,0.46056329822208036,3.988216844167444e-30,2.7783645293946377,1.5972843498874827,1.0
349,CHD5_code_potential_somatic,ENSG00000159216,349,1.0,1.5853276258259408,0.5700792564473387,1.503842326774578e-48,2.40650440574989,1.381633318539879,1.0
1522,CHD5_code_potential_somatic,ENSG00000113916,1522,1.0,2.0135996046848184,0.20905214200810465,7.922529811932706e-07,5.032807269510681,3.1330654242983007,1.0
1531,CHD5_code_potential_somatic,ENSG00000113916,1531,1.0,2.0135996046848184,0.31463397151358885,4.666481870643881e-14,3.409942208769856,2.0207685085635925,1.0
1526,CHD5_code_potential_somatic,ENSG00000113916,1526,1.0,2.0135996046848184,0.2997373382810369,7.718583792617932e-13,2.5659081291161505,1.42065385196565,1.0
1534,CHD5_code_potential_somatic,ENSG00000113916,1534,1.0,2.0135996046848184,0.4626668670482229,2.0240576697670936e-30,2.54726313248193,1.4241144902024572,1.0
1538,CHD5_code_potential_somatic,ENSG00000113916,1538,1.0,2.0135996046848184,0.6841581243819654,7.158883160947051e-77,4.071565884566546,2.4061281659314906,1.0
2300,CHD5_code_potential_somatic,ENSG00000118689,2300,1.0,1.303705877995993,0.328233593559556,3.127140481836837e-15,2.9280526134941294,1.6444703072800835,1.0
2297,CHD5_code_potential_somatic,ENSG00000118689,2297,1.0,1.303705877995993,0.35153217877680776,2.2022956862609567e-17,2.5333958397031364,1.5452850917933507,1.0
2279,CHD5_code_potential_somatic,ENSG00000118689,2279,1.0,1.303705877995993,0.1440087117850387,0.0007219641993435677,4.848125587060364,2.9418474651321285,1.0
1725,CHD5_code_potential_somatic,ENSG00000170365,1725,1.0,2.7266465650737945,0.24239941017236824,9.062583003005396e-09,5.229004436234839,3.6176257371251923,1.0
1709,CHD5_code_potential_somatic,ENSG00000170365,1709,1.0,2.7266465650737945,0.5748467770179856,1.6254511934235935e-49,2.974089842057176,1.6683996609537735,1.0
1715,CHD5_code_potential_somatic,ENSG00000170365,1715,1.0,2.7266465650737945,0.44415665725062947,6.747683774922753e-28,3.0644383936221207,1.768073129083498,1.0
1710,CHD5_code_potential_somatic,ENSG00000170365,1710,1.0,2.7266465650737945,0.5793861338734011,1.88865570112978e-50,4.4631709981977155,2.647096960969011,1.0
1718,CHD5_code_potential_somatic,ENSG00000170365,1718,1.0,2.7266465650737945,0.3425357177571821,1.5686490361596977e-16,2.4358169185664185,1.3961688922866407,1.0
1724,CHD5_code_potential_somatic,ENSG00000170365,1724,1.0,2.7266465650737945,0.1532552851546945,0.00031734351391135877,2.848589809006832,1.5999312864022561,1.0
163,CHD5_code_potential_somatic,ENSG00000178573,163,1.0,2.2347121918710204,0.4531010540667795,4.2591906544578275e-29,4.421660543021968,2.830372533738549,1.0
155,CHD5_code_potential_somatic,ENSG00000178573,155,1.0,2.2347121918710204,0.437889848041799,4.454969881791262e-27,4.755249369764879,2.954442942028961,1.0
154,CHD5_code_potential_somatic,ENSG00000178573,154,1.0,2.2347121918710204,0.6056710459662019,3.657733594393192e-56,2.7103398753124908,1.5430649858442185,1.0
1692,CHD5_code_potential_somatic,ENSG00000105997,1692,-1.0,1.3020849641424992,-0.19580218237023253,3.876084948608755e-06,3.1549064637173747,1.795477618972177,1.0
1694,CHD5_code_potential_somatic,ENSG00000105997,1694,-1.0,1.3020849641424992,-0.364496726142171,1.161643841211422e-18,4.309061953666159,2.5696950958070106,1.0
1696,CHD5_code_potential_somatic,ENSG00000105997,1696,-1.0,1.3020849641424992,-0.254596013334257,1.4826184992271661e-09,4.524103298304285,2.9267215255859966,1.0
