,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
364,CHGB_code_potential_somatic,ENSG00000163497,364,-1.0,1.5508005720413494,-0.29843019019556005,9.798844265767807e-13,3.8812372876006065,1.646604750212362,1.0
363,CHGB_code_potential_somatic,ENSG00000163497,363,-1.0,1.5508005720413494,-0.26567493056812325,2.632663727496636e-10,3.8471042540042175,1.3083436232936618,1.0
368,CHGB_code_potential_somatic,ENSG00000163497,368,-1.0,1.5508005720413494,-0.2799891086086114,2.5004418102251358e-11,3.921621690761241,1.4990345674733336,1.0
32,CHGB_code_potential_somatic,ENSG00000261678,32,-1.0,2.0637152258239344,-0.27645840978820174,4.5265870704530514e-11,5.94411536033571,2.040383904652976,1.0
33,CHGB_code_potential_somatic,ENSG00000261678,33,-1.0,2.0637152258239344,-0.2251532197945991,9.972859549821972e-08,4.288789710692791,1.8584400266022945,1.0
519,CHGB_code_potential_somatic,ENSG00000120690,519,1.0,1.584249826241224,0.43115883614483685,3.239143679177495e-26,7.760355803010005,3.7640201480536026,1.0
513,CHGB_code_potential_somatic,ENSG00000120690,513,1.0,1.584249826241224,0.5715665134418617,7.541806748598516e-49,6.826431470233976,2.109426973400621,1.0
522,CHGB_code_potential_somatic,ENSG00000120690,522,1.0,1.584249826241224,0.5149455254572445,1.9427218299118388e-38,6.755308667027786,2.11644209443199,1.0
515,CHGB_code_potential_somatic,ENSG00000120690,515,1.0,1.584249826241224,0.5845918979494944,1.5342715639809988e-51,7.288059032791935,5.312903822538589,1.0
2100,CHGB_code_potential_somatic,ENSG00000105856,2100,1.0,1.5536635120368767,0.3997436311952665,1.9251830143592888e-22,3.9884376477323458,1.372730848825799,1.0
2095,CHGB_code_potential_somatic,ENSG00000105856,2095,1.0,1.5536635120368767,0.305855830137109,2.4855471270809603e-13,10.68798177181048,5.548782826595481,1.0
1707,CHGB_code_potential_somatic,ENSG00000170365,1707,1.0,1.3726856561864393,0.38321594459668734,1.3017449986137167e-20,3.931962079114011,1.5178696846788498,1.0
238,CHGB_code_potential_somatic,ENSG00000177606,238,1.0,1.6030437870642715,0.5242632678221274,5.105164133303365e-40,6.807413184493105,2.5585038211686255,1.0
257,CHGB_code_potential_somatic,ENSG00000177606,257,1.0,1.6030437870642715,0.47048590412734237,1.5603952636220468e-31,5.901239812640328,2.648770453354397,1.0
