,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3674,CLYBL_code_potential_somatic,ENSG00000170370,3674,1.0,1.580019480891167,0.25008194278523216,2.9300609578315876e-09,8.146339871739205,3.7214893109557607,1.0
2606,CLYBL_code_potential_somatic,ENSG00000196482,2606,1.0,1.633771953155903,0.20315196979517844,1.6275974563501287e-06,2.938651581027406,1.343878812285312,1.0
2608,CLYBL_code_potential_somatic,ENSG00000196482,2608,1.0,1.633771953155903,0.25842884088530443,8.22821973489768e-10,3.42308532611871,1.4240821890553783,1.0
2611,CLYBL_code_potential_somatic,ENSG00000196482,2611,1.0,1.633771953155903,0.11045515562128966,0.009661715435626637,3.099099261351622,1.3764024711931966,1.0
2522,CLYBL_code_potential_somatic,ENSG00000112333,2522,1.0,1.8365036294872408,0.4848949276559143,1.1626510343479794e-33,3.6253641450020284,1.6600565851242255,1.0
2333,CLYBL_code_potential_somatic,ENSG00000198914,2333,1.0,2.3051711871322205,-0.30023005231869104,7.052392160175819e-13,-2.9207918265813535,1.4461656770453746,1.0
3109,CLYBL_code_potential_somatic,ENSG00000184486,3109,1.0,4.827570213712629,0.3534299700368322,1.4437006066480604e-17,3.726679146406187,1.5219686837901287,1.0
3101,CLYBL_code_potential_somatic,ENSG00000184486,3101,1.0,4.827570213712629,-0.39465227711252515,7.232332742464199e-22,-3.4338906355899708,1.7332716255747802,1.0
2449,CLYBL_code_potential_somatic,ENSG00000160199,2449,1.0,1.815330629755597,0.21198261288944886,5.497555056369843e-07,5.087471153393862,2.843148156561119,1.0
2830,CLYBL_code_potential_somatic,ENSG00000126456,2830,1.0,1.4477517682876109,0.5963904193990348,4.371680359735945e-54,3.586265935764026,1.4661989118765,1.0
3031,CLYBL_code_potential_somatic,ENSG00000166949,3031,1.0,1.3944246985392383,0.36732804976462824,6.000062510517205e-19,3.335156536065356,1.4489711964818,1.0
916,CLYBL_code_potential_somatic,ENSG00000101057,916,1.0,1.5075540053623202,0.8137042900539069,9.46897652452271e-131,4.197818469706073,1.7837170804461442,1.0
