,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2412,CMYA5_code_potential_somatic,ENSG00000198815,2412,1.0,1.3888720990147159,0.21337281462511187,4.6141762936197846e-07,3.6037226772844897,1.3110537942488991,1.0
1448,CMYA5_code_potential_somatic,ENSG00000007372,1448,1.0,1.414825340194006,0.3099149421128456,1.1548354316049611e-13,6.45633565748843,2.623819888770737,1.0
3514,CMYA5_code_potential_somatic,ENSG00000105991,3514,1.0,3.134048376526602,0.28755586192906624,6.8100213599091565e-12,5.446934265854277,5.507544621026921,1.0
3363,CMYA5_code_potential_somatic,ENSG00000105516,3363,1.0,1.5656844751172483,0.40384926552648986,6.51105186434234e-23,7.871442763060422,2.659398765213373,1.0
2964,CMYA5_code_potential_somatic,ENSG00000143799,2964,1.0,4.124980979985311,0.22501703935958992,1.0155993655031945e-07,6.930609113941747,2.1122698539299467,1.0
2965,CMYA5_code_potential_somatic,ENSG00000143799,2965,1.0,4.124980979985311,0.1519239290943884,0.0003582575815629536,2.794159246240379,1.3451753249807095,1.0
2565,CMYA5_code_potential_somatic,ENSG00000175745,2565,1.0,1.6173620983977672,0.4047934943371429,5.0633719300263606e-23,10.315439570181697,5.4062613601359475,1.0
3482,CMYA5_code_potential_somatic,ENSG00000203883,3482,-1.0,1.3934072585378219,0.23209470843207486,3.884684479180556e-08,-4.328199534748049,1.4247961391683726,1.0
3724,CMYA5_code_potential_somatic,ENSG00000116833,3724,-1.0,1.9673100822464737,-0.1767768568344512,3.160119497039484e-05,4.162510767399801,1.346544497089486,1.0
2551,CMYA5_code_potential_somatic,ENSG00000263001,2551,1.0,8.58592495595592,0.47730952322096293,1.578301763934378e-32,11.737056512643811,10.11895395487274,1.0
1876,CMYA5_code_potential_somatic,ENSG00000118513,1876,-1.0,1.8141630755272058,0.258740720389573,7.839958784706393e-10,-5.2088680403317476,2.4664643612306905,1.0
1877,CMYA5_code_potential_somatic,ENSG00000118513,1877,-1.0,1.8141630755272058,-0.16000037334555559,0.00016908798901122757,12.633517241142588,6.473041746510028,1.0
852,CMYA5_code_potential_somatic,ENSG00000113580,852,1.0,1.327974608902418,0.33480957955093094,8.053936466756273e-16,4.097240114073904,1.792782687846565,1.0
851,CMYA5_code_potential_somatic,ENSG00000113580,851,1.0,1.327974608902418,-0.33467030416068094,8.291506310731383e-16,-3.3719359698167826,1.3153550230832733,1.0
853,CMYA5_code_potential_somatic,ENSG00000113580,853,1.0,1.327974608902418,0.31486920837691157,4.4584968996371126e-14,5.279269204618212,1.7088284933141455,1.0
837,CMYA5_code_potential_somatic,ENSG00000113580,837,1.0,1.327974608902418,0.3450584982160719,9.103313067935356e-17,3.874368262695849,1.4217074183909766,1.0
