,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1036,COL4A4_code_potential_somatic,ENSG00000137203,1036,-1.0,3.467969754907756,-0.2227410898933683,1.3742325448913637e-07,3.234532714928643,1.4066177619990985,1.0
363,COL4A4_code_potential_somatic,ENSG00000163497,363,-1.0,1.477828318644976,-0.26567493056812325,2.632663727496636e-10,2.8926518339639076,1.5473698259911626,1.0
32,COL4A4_code_potential_somatic,ENSG00000261678,32,-1.0,1.7423582532578552,-0.27645840978820174,4.5265870704530514e-11,2.923126555196086,1.3202779314371713,1.0
2522,COL4A4_code_potential_somatic,ENSG00000112333,2522,1.0,1.4066177619990985,0.4848949276559143,1.1626510343479794e-33,4.172166854719882,1.7748260075062114,1.0
2530,COL4A4_code_potential_somatic,ENSG00000112333,2530,1.0,1.4066177619990985,0.62790340879799,1.984555698064428e-61,5.629575754551092,2.5735626026987504,1.0
2527,COL4A4_code_potential_somatic,ENSG00000112333,2527,1.0,1.4066177619990985,-0.18415378569834248,1.436266628702184e-05,-6.524978494780468,3.208028742522449,1.0
78,COL4A4_code_potential_somatic,ENSG00000213928,78,1.0,1.9731649334508605,0.24851957916664758,3.697748436415998e-09,4.155172158753263,1.7372640756688227,1.0
2112,COL4A4_code_potential_somatic,ENSG00000069667,2112,1.0,1.439713258050559,0.4309491209498844,3.443222759773247e-26,6.0884641527207055,2.814948926450101,1.0
238,COL4A4_code_potential_somatic,ENSG00000177606,238,1.0,1.773166179507129,0.5242632678221274,5.105164133303365e-40,3.435415840854031,1.5822587392150138,1.0
257,COL4A4_code_potential_somatic,ENSG00000177606,257,1.0,1.773166179507129,0.47048590412734237,1.5603952636220468e-31,3.054916933776813,1.3649957530907812,1.0
251,COL4A4_code_potential_somatic,ENSG00000177606,251,1.0,1.773166179507129,0.7020705437872713,1.4989788859365892e-82,3.9308011853323888,1.6345173248735394,1.0
236,COL4A4_code_potential_somatic,ENSG00000177606,236,1.0,1.773166179507129,0.5406569292022357,6.389904688620846e-43,3.892358429716823,2.2585576915272045,1.0
243,COL4A4_code_potential_somatic,ENSG00000177606,243,1.0,1.773166179507129,0.5406951387857389,6.28842195941703e-43,4.936534151709914,2.21350193414655,1.0
234,COL4A4_code_potential_somatic,ENSG00000135363,234,1.0,2.4809980031005354,-0.31197279069307887,7.794265670481288e-14,-3.551573697331663,1.9426078998942522,1.0
3395,COL4A4_code_potential_somatic,ENSG00000120149,3395,-1.0,2.098657075347271,-0.23399286428736177,2.986127935632948e-08,5.610951634257396,2.4224308100126937,1.0
3399,COL4A4_code_potential_somatic,ENSG00000120149,3399,-1.0,2.098657075347271,0.12252588389376366,0.004071887528659675,-3.67599186039455,2.107845483951394,1.0
3398,COL4A4_code_potential_somatic,ENSG00000120149,3398,-1.0,2.098657075347271,0.19005162450158916,7.473825507774001e-06,-3.1794876837195183,1.7112036315964998,1.0
3393,COL4A4_code_potential_somatic,ENSG00000120149,3393,-1.0,2.098657075347271,0.1356500737175161,0.0014577784066699124,-3.948354667173716,2.1983419061903686,1.0
675,COL4A4_code_potential_somatic,ENSG00000130675,675,-1.0,3.9422065823787102,-0.3725569547288163,1.74078562602902e-19,5.85168888543416,2.5916467761955126,1.0
672,COL4A4_code_potential_somatic,ENSG00000130675,672,-1.0,3.9422065823787102,-0.3895335841014475,2.6741879376738822e-21,3.9134906951812303,1.613741027091816,1.0
2104,COL4A4_code_potential_somatic,ENSG00000183072,2104,1.0,2.3536946822903677,0.3012442204094864,5.853452871114832e-13,3.0363715725320244,1.4182283738466779,1.0
