,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1178,CSF2RB_code_potential_somatic,ENSG00000198911,1178,-1.0,1.8112100058559961,0.34028485244501594,2.538462751185916e-16,-3.913449333369868,1.608469397261729,1.0
2891,CSF2RB_code_potential_somatic,ENSG00000125482,2891,1.0,1.3395181356271721,0.4344523709885133,1.2338505384305904e-26,7.128910459999457,3.477924235759112,1.0
2640,CSF2RB_code_potential_somatic,ENSG00000126767,2640,-1.0,1.90086615595257,0.3679243817758663,5.2162881321656205e-19,-8.717301257912846,3.626368886768358,1.0
2639,CSF2RB_code_potential_somatic,ENSG00000126767,2639,-1.0,1.90086615595257,0.3207372232876911,1.4110574596827732e-14,-3.540386637802331,1.4777561235960075,1.0
2643,CSF2RB_code_potential_somatic,ENSG00000126767,2643,-1.0,1.90086615595257,0.3027881985180369,4.401519795687066e-13,-3.4888995057727707,1.454840091200414,1.0
3202,CSF2RB_code_potential_somatic,ENSG00000171634,3202,1.0,1.5477358375600232,0.5685978329770145,2.980163628773529e-48,3.741740572736124,1.7786620537754967,1.0
3208,CSF2RB_code_potential_somatic,ENSG00000171634,3208,1.0,1.5477358375600232,0.7234444306141309,6.547527839233926e-90,2.6261763876800432,1.333450993849925,1.0
3464,CSF2RB_code_potential_somatic,ENSG00000150347,3464,1.0,1.437240895394162,0.437452844160245,5.074229972271124e-27,3.6525317065743197,1.5943014777703266,1.0
244,CSF2RB_code_potential_somatic,ENSG00000177606,244,1.0,1.3081126141437478,0.37624823745535263,7.16848975536673e-20,2.979003149993132,1.315480107334036,1.0
251,CSF2RB_code_potential_somatic,ENSG00000177606,251,1.0,1.3081126141437478,0.7020705437872713,1.4989788859365892e-82,4.205437388861554,1.9638077673518934,1.0
2709,CSF2RB_code_potential_somatic,ENSG00000065970,2709,1.0,2.2249721103541478,0.3962788824163508,4.750283301144896e-22,3.3675972896648845,1.5765238138371471,1.0
2714,CSF2RB_code_potential_somatic,ENSG00000065970,2714,1.0,2.2249721103541478,0.3092522537638445,1.3098504499204274e-13,3.532891041929688,1.6347666496854991,1.0
1679,CSF2RB_code_potential_somatic,ENSG00000143190,1679,1.0,2.224083181250967,0.30773145400517743,1.746770357819774e-13,2.9511909520218,1.4212394825134822,0.6666666666666666
1667,CSF2RB_code_potential_somatic,ENSG00000143190,1667,1.0,2.224083181250967,0.6538399865770609,3.871989707205816e-68,4.14151217465949,1.8552744420345415,0.6666666666666666
3280,CSF2RB_code_potential_somatic,ENSG00000137309,3280,-1.0,1.3203138802783674,0.29991489617384254,7.471699996686843e-13,-4.188073330805739,1.9023022020699758,1.0
3090,CSF2RB_code_potential_somatic,ENSG00000119725,3090,-1.0,1.3341100423942258,0.4854494770500773,9.583418457556359e-34,-3.4997787847747994,1.5068759743704725,0.5
3638,CSF2RB_code_potential_somatic,ENSG00000076604,3638,-1.0,1.7862903291856356,-0.32362707825680004,7.932812879565234e-15,5.070445022078524,2.968911105348483,1.0
3630,CSF2RB_code_potential_somatic,ENSG00000076604,3630,-1.0,1.7862903291856356,-0.12507192553039678,0.00336031938376087,2.8219103301063257,1.4306647398816614,1.0
1371,CSF2RB_code_potential_somatic,ENSG00000173153,1371,-1.0,1.6100692274830661,0.4110246461293073,9.438912001866733e-24,-3.480270847418191,1.487018242164512,1.0
1279,CSF2RB_code_potential_somatic,ENSG00000118263,1279,1.0,5.342358516754024,-0.23297877902442624,3.4376928775864545e-08,-4.248812580148825,1.695604325265155,0.5
672,CSF2RB_code_potential_somatic,ENSG00000130675,672,-1.0,2.404093089752973,-0.3895335841014475,2.6741879376738822e-21,3.009897122515107,1.349446950566094,1.0
3511,CSF2RB_code_potential_somatic,ENSG00000012048,3511,1.0,1.4474633995473045,0.282706364382193,1.5744687341111183e-11,5.245837406732449,2.9452335750387113,1.0
3659,CSF2RB_code_potential_somatic,ENSG00000102908,3659,1.0,1.330655123054828,0.26976702435649486,1.362143830255411e-10,3.5697454777258484,1.9940325104212018,1.0
