,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1932,CUBN_code_potential_somatic,ENSG00000006468,1932,1.0,1.4693047428589487,0.540120244975932,7.999384660910738e-43,4.178238626810168,1.674679183339788,1.0
3052,CUBN_code_potential_somatic,ENSG00000124782,3052,-1.0,1.6604821991372287,-0.33779743772658233,4.301413147830727e-16,4.289839221724258,1.7351829449846918,1.0
3064,CUBN_code_potential_somatic,ENSG00000124782,3064,-1.0,1.6604821991372287,0.18818766768191866,9.20781015275913e-06,-7.28304414845044,7.153156387624174,1.0
2366,CUBN_code_potential_somatic,ENSG00000148516,2366,1.0,1.8470463193386966,0.25037296272370746,2.80528196472836e-09,4.637250098130117,2.187268560923561,1.0
1238,CUBN_code_potential_somatic,ENSG00000151702,1238,1.0,1.708590025821587,0.6335156236726455,7.943540603589842e-63,3.4091463774293658,1.410619466301868,1.0
2460,CUBN_code_potential_somatic,ENSG00000071794,2460,1.0,1.5122178520396192,0.32226064813224775,1.042382829558717e-14,6.7415045947062024,4.547154500512959,1.0
2459,CUBN_code_potential_somatic,ENSG00000071794,2459,1.0,1.5122178520396192,0.2560222204770262,1.1922324735613492e-09,4.180178788935589,1.7226613716577535,1.0
2283,CUBN_code_potential_somatic,ENSG00000118689,2283,1.0,1.5463411352882432,0.4234887726899481,2.943910781491026e-25,4.256400638610477,1.938469321634202,1.0
2289,CUBN_code_potential_somatic,ENSG00000118689,2289,1.0,1.5463411352882432,0.6409212826432166,1.0255208479425349e-64,4.138622661892897,1.6919624654366583,1.0
2302,CUBN_code_potential_somatic,ENSG00000118689,2302,1.0,1.5463411352882432,0.2807067781248968,2.2139789008930563e-11,3.8072320351208346,1.7476621297002304,1.0
560,CUBN_code_potential_somatic,ENSG00000181449,560,1.0,1.5986319782120626,0.7759856705311577,2.31757765165303e-111,3.7529588038030384,1.6396498838953824,0.5
2049,CUBN_code_potential_somatic,ENSG00000054598,2049,1.0,1.4718463531124317,0.25671013881818777,1.072734585399716e-09,4.138622661892897,1.6919624654366583,1.0
3577,CUBN_code_potential_somatic,ENSG00000134138,3577,1.0,3.802716799299136,0.6019454657365405,2.5430605829568647e-55,5.676321398002386,3.4125384364126097,1.0
2912,CUBN_code_potential_somatic,ENSG00000109381,2912,1.0,1.7456863626871204,0.28459905130854335,1.1373979078807612e-11,3.152483722465554,1.387208608342953,1.0
329,CUBN_code_potential_somatic,ENSG00000134532,329,1.0,3.9968692445259495,0.5573847785998916,4.72638074142059e-46,4.411626493924559,2.033858437267221,1.0
333,CUBN_code_potential_somatic,ENSG00000134532,333,1.0,3.9968692445259495,0.3372906503117982,4.786552816987904e-16,3.492834948269079,1.5122178520396192,1.0
334,CUBN_code_potential_somatic,ENSG00000134532,334,1.0,3.9968692445259495,0.6472405935698375,2.2767547765862564e-66,3.6111855552568812,1.5782985277672037,1.0
3469,CUBN_code_potential_somatic,ENSG00000168505,3469,1.0,1.3459146074146298,0.19909497214200828,2.638090092708064e-06,5.637501705634312,2.823808831959713,1.0
3376,CUBN_code_potential_somatic,ENSG00000137273,3376,1.0,2.533307789136258,0.4518914728241265,6.218274453371455e-29,4.111898198280103,1.6857070240230065,1.0
3379,CUBN_code_potential_somatic,ENSG00000137273,3379,1.0,2.533307789136258,0.3493992964915654,3.527898006921168e-17,6.9690570876684905,4.622113275370832,1.0
3378,CUBN_code_potential_somatic,ENSG00000137273,3378,1.0,2.533307789136258,0.1909436432706616,6.7587357886437704e-06,3.728770272959694,1.7736627102922453,1.0
1211,CUBN_code_potential_somatic,ENSG00000172059,1211,1.0,1.581632541990371,0.21918147342716704,2.191238192326555e-07,3.410363603659982,1.4361853217237819,1.0
1206,CUBN_code_potential_somatic,ENSG00000172059,1206,1.0,1.581632541990371,0.27754427881853927,3.7747665833542725e-11,6.60708138101745,2.3821887408056193,1.0
1204,CUBN_code_potential_somatic,ENSG00000100811,1204,1.0,1.6091152266037092,0.49941901744931055,6.5434422067206e-36,3.6148711056288017,1.645082489101905,1.0
2882,CUBN_code_potential_somatic,ENSG00000118260,2882,1.0,1.484708235402677,0.41798950942759494,1.3840726698935e-24,3.387044836084409,1.4393889463477672,1.0
