,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1312,CUX2_code_potential_somatic,ENSG00000125952,1312,1.0,1.7977674269467283,0.18527542656369622,1.2704645156366256e-05,4.6023680328523,1.483596427221849,1.0
1313,CUX2_code_potential_somatic,ENSG00000125952,1313,1.0,1.7977674269467283,0.6383058949876683,4.830752998599309e-64,5.279929343359444,1.594547194068483,1.0
1311,CUX2_code_potential_somatic,ENSG00000125952,1311,1.0,1.7977674269467283,0.4344864971050772,1.2215048897877538e-26,5.111413300513338,1.5162923068858076,1.0
1316,CUX2_code_potential_somatic,ENSG00000125952,1316,1.0,1.7977674269467283,0.41974138966359315,8.47913416258375e-25,7.976772091599925,4.531902181061601,1.0
1321,CUX2_code_potential_somatic,ENSG00000125952,1321,1.0,1.7977674269467283,0.2524084251548272,2.0659450496917834e-09,6.646934649974636,1.9175458961533696,1.0
2200,CUX2_code_potential_somatic,ENSG00000169083,2200,1.0,6.256895224409615,0.4223688818818541,4.044150961655349e-25,4.840640861798085,1.6861317028413427,1.0
2207,CUX2_code_potential_somatic,ENSG00000169083,2207,1.0,6.256895224409615,0.40309790760966463,7.948869748237142e-23,5.0917146184827,1.7444541008788745,1.0
2202,CUX2_code_potential_somatic,ENSG00000169083,2202,1.0,6.256895224409615,0.1842378613658599,1.423157332109844e-05,4.420973379906716,1.3771024219592747,1.0
220,CUX2_code_potential_somatic,ENSG00000136826,220,1.0,1.4336989264987627,0.3135864164055618,5.714192364183687e-14,12.105251428961749,4.4147943542684205,1.0
217,CUX2_code_potential_somatic,ENSG00000136826,217,1.0,1.4336989264987627,0.364986254394011,1.036738802997792e-18,12.347006317461442,5.023805317911592,1.0
213,CUX2_code_potential_somatic,ENSG00000136826,213,1.0,1.4336989264987627,0.3375899101032046,4.493936388247156e-16,7.479855869378415,3.631533746780386,1.0
1247,CUX2_code_potential_somatic,ENSG00000151702,1247,1.0,6.823479022222614,0.3246923526945814,6.40542249135754e-15,4.258815296292092,2.969546511130759,1.0
1245,CUX2_code_potential_somatic,ENSG00000151702,1245,1.0,6.823479022222614,0.4636356695795641,1.4786817131922358e-30,5.436871668907344,1.6287797390429632,1.0
1238,CUX2_code_potential_somatic,ENSG00000151702,1238,1.0,6.823479022222614,0.6335156236726455,7.943540603589842e-63,8.298412258325271,2.3702918056565143,1.0
1242,CUX2_code_potential_somatic,ENSG00000151702,1242,1.0,6.823479022222614,0.562027315914576,5.939088929213614e-47,8.106979030433747,2.49700749991594,1.0
2946,CUX2_code_potential_somatic,ENSG00000100644,2946,1.0,1.34222305190067,0.4403489701678677,2.1341629499025122e-27,4.885116951087671,2.4025372546108135,1.0
514,CUX2_code_potential_somatic,ENSG00000120690,514,1.0,1.683599535308282,0.720242482100378,9.169289141148163e-89,16.014015736613565,10.939565059366036,1.0
520,CUX2_code_potential_somatic,ENSG00000120690,520,1.0,1.683599535308282,0.37499060255711075,9.710966326774683e-20,4.173910556350016,1.98857440448908,1.0
513,CUX2_code_potential_somatic,ENSG00000120690,513,1.0,1.683599535308282,0.5715665134418617,7.541806748598516e-49,3.8999715094358685,1.3353227759299824,1.0
507,CUX2_code_potential_somatic,ENSG00000120690,507,1.0,1.683599535308282,0.5498461152775842,1.280646954745424e-44,4.82900599594462,1.4652448929689323,1.0
515,CUX2_code_potential_somatic,ENSG00000120690,515,1.0,1.683599535308282,0.5845918979494944,1.5342715639809988e-51,14.943020436255756,12.636601845174528,1.0
509,CUX2_code_potential_somatic,ENSG00000120690,509,1.0,1.683599535308282,0.5888866843028687,1.8685424437953998e-52,7.563161670762005,2.1080745297190124,1.0
510,CUX2_code_potential_somatic,ENSG00000120690,510,1.0,1.683599535308282,0.4742601213650126,4.4221588933779136e-32,3.7272317122653726,1.3189546645958572,1.0
1523,CUX2_code_potential_somatic,ENSG00000113916,1523,1.0,2.9613459658637873,0.323287421310316,8.491104504296732e-15,4.0786282109068805,1.3028462030420085,1.0
1534,CUX2_code_potential_somatic,ENSG00000113916,1534,1.0,2.9613459658637873,0.4626668670482229,2.0240576697670936e-30,4.137883993949661,1.342496004021379,1.0
1538,CUX2_code_potential_somatic,ENSG00000113916,1538,1.0,2.9613459658637873,0.6841581243819654,7.158883160947051e-77,5.262243082547986,1.6333740103674526,1.0
1532,CUX2_code_potential_somatic,ENSG00000113916,1532,1.0,2.9613459658637873,0.2540152693954289,1.6196192939160244e-09,7.846783218941945,3.179114156797891,1.0
2095,CUX2_code_potential_somatic,ENSG00000105856,2095,1.0,2.5015299408691716,0.305855830137109,2.4855471270809603e-13,4.558265974548071,1.4142501512999521,1.0
1725,CUX2_code_potential_somatic,ENSG00000170365,1725,1.0,4.3978856083293145,0.24239941017236824,9.062583003005396e-09,4.171049636012374,1.352205399094062,1.0
1720,CUX2_code_potential_somatic,ENSG00000170365,1720,1.0,4.3978856083293145,-0.214570145466947,3.964274428907616e-07,-3.9395282709213064,1.529796590936437,1.0
1716,CUX2_code_potential_somatic,ENSG00000170365,1716,1.0,4.3978856083293145,0.2646815037979524,3.08417150033123e-10,4.686381219321652,1.581564800054527,1.0
1715,CUX2_code_potential_somatic,ENSG00000170365,1715,1.0,4.3978856083293145,0.44415665725062947,6.747683774922753e-28,3.7184784668441537,1.3623607146509435,1.0
1705,CUX2_code_potential_somatic,ENSG00000170365,1705,1.0,4.3978856083293145,0.33002324586474235,2.168798463495684e-15,7.159014301883226,1.932685414879921,1.0
3109,CUX2_code_potential_somatic,ENSG00000184486,3109,1.0,1.351793633424162,0.3534299700368322,1.4437006066480604e-17,4.418359306029247,1.450057438148752,0.5
1756,CUX2_code_potential_somatic,ENSG00000116017,1756,1.0,1.6788424782169067,0.23651717604635378,2.0972385889158484e-08,9.309743383500328,3.5293994404056455,0.8571428571428571
1771,CUX2_code_potential_somatic,ENSG00000116017,1771,1.0,1.6788424782169067,0.46214119359884476,2.3989609470655692e-30,16.497194518711094,21.00214761759364,0.8571428571428571
1754,CUX2_code_potential_somatic,ENSG00000116017,1754,1.0,1.6788424782169067,0.4625951147005758,2.071590374736229e-30,6.122611522052756,1.718225787644645,0.8571428571428571
1764,CUX2_code_potential_somatic,ENSG00000116017,1764,1.0,1.6788424782169067,0.1869322932743039,1.0584889123044665e-05,12.815947691059469,3.8070345735374893,0.8571428571428571
1755,CUX2_code_potential_somatic,ENSG00000116017,1755,1.0,1.6788424782169067,0.3221048201170832,1.075261721019302e-14,4.60034517802018,1.415955374507468,0.8571428571428571
1768,CUX2_code_potential_somatic,ENSG00000116017,1768,1.0,1.6788424782169067,0.33234491557687323,1.3442560533141814e-15,4.965192526214039,5.127653183823102,0.8571428571428571
238,CUX2_code_potential_somatic,ENSG00000177606,238,1.0,1.558757041714995,0.5242632678221274,5.105164133303365e-40,12.633219799168069,7.439850810105145,1.0
240,CUX2_code_potential_somatic,ENSG00000177606,240,1.0,1.558757041714995,0.350644608069937,2.6805473372420744e-17,5.451682383697564,1.5853547006020536,1.0
239,CUX2_code_potential_somatic,ENSG00000177606,239,1.0,1.558757041714995,0.36573265381526704,8.713214957431152e-19,5.373463332162267,1.7515600372467242,1.0
250,CUX2_code_potential_somatic,ENSG00000177606,250,1.0,1.558757041714995,0.5698915628062372,1.6402869014388916e-48,3.7925739838935417,1.3487514031617465,1.0
252,CUX2_code_potential_somatic,ENSG00000177606,252,1.0,1.558757041714995,0.4044130756403187,5.603789415599832e-23,14.879485091612036,13.89502332707766,1.0
253,CUX2_code_potential_somatic,ENSG00000177606,253,1.0,1.558757041714995,0.3697912553576363,3.3590585255293247e-19,4.1480181629236785,3.7104295448813165,1.0
242,CUX2_code_potential_somatic,ENSG00000177606,242,1.0,1.558757041714995,0.4134308290232705,4.8874770622916165e-24,3.058308867798691,1.3459841800373586,1.0
2687,CUX2_code_potential_somatic,ENSG00000102034,2687,1.0,9.178829141401769,0.3292744096578225,2.52840252463494e-15,4.387960702363694,1.4191155412031224,1.0
2689,CUX2_code_potential_somatic,ENSG00000102034,2689,1.0,9.178829141401769,0.3631826811705339,1.5749549717887208e-18,4.038497064491737,1.3444803118272706,1.0
2688,CUX2_code_potential_somatic,ENSG00000102034,2688,1.0,9.178829141401769,0.5968003811916459,3.550642509905138e-54,8.076175720857934,2.5267175178333154,1.0
2693,CUX2_code_potential_somatic,ENSG00000102034,2693,1.0,9.178829141401769,0.5151152904018638,1.8199173483127427e-38,3.0483423242338934,1.9863234977755642,1.0
3011,CUX2_code_potential_somatic,ENSG00000157554,3011,1.0,1.6726594164627944,0.14389597892989395,0.0007290239167428797,5.212521364018817,1.7371563130351084,1.0
3010,CUX2_code_potential_somatic,ENSG00000157554,3010,1.0,1.6726594164627944,0.16510835005549504,0.00010320003456396402,4.340016106737538,1.4449826682457254,1.0
68,CUX2_code_potential_somatic,ENSG00000166888,68,1.0,7.074374774745582,0.19233960561147112,5.769053155519461e-06,4.15498919506024,1.3133964443539616,1.0
69,CUX2_code_potential_somatic,ENSG00000166888,69,1.0,7.074374774745582,0.39603540570009693,5.059529347962473e-22,9.439784582906404,4.060964643615984,1.0
64,CUX2_code_potential_somatic,ENSG00000166888,64,1.0,7.074374774745582,0.45420359014038164,3.0126871941239254e-29,4.11083802787391,1.4802073530583395,1.0
62,CUX2_code_potential_somatic,ENSG00000166888,62,1.0,7.074374774745582,0.3126193639314803,6.884176126484371e-14,4.688487661144905,1.5802438924136606,1.0
72,CUX2_code_potential_somatic,ENSG00000166888,72,1.0,7.074374774745582,0.554509069926965,1.6805051009123327e-45,14.035785505777046,5.676589698890948,1.0
1503,CUX2_code_potential_somatic,ENSG00000185591,1503,1.0,1.6082153247077653,0.19433248331593853,4.592792667883687e-06,4.385301714171306,1.4389305269849306,1.0
54,CUX2_code_potential_somatic,ENSG00000125347,54,1.0,1.6216149069122878,0.23473408645589128,2.6929492252057967e-08,10.748628205629512,6.572452104337757,1.0
49,CUX2_code_potential_somatic,ENSG00000125347,49,1.0,1.6216149069122878,0.622341580988603,4.516402207164773e-60,4.824188844275513,1.7079130739349697,1.0
38,CUX2_code_potential_somatic,ENSG00000125347,38,1.0,1.6216149069122878,0.6131852084868735,6.766775269528658e-58,9.455636802682607,4.518203756923693,1.0
36,CUX2_code_potential_somatic,ENSG00000125347,36,1.0,1.6216149069122878,0.3043316761020275,3.3044246213372823e-13,4.6263798602679955,1.4108925413961944,1.0
45,CUX2_code_potential_somatic,ENSG00000125347,45,1.0,1.6216149069122878,0.37893216902023846,3.733769735246608e-20,4.338984568216512,1.3315120225800057,1.0
806,CUX2_code_potential_somatic,ENSG00000126561,806,1.0,5.045692026579684,0.30981256376315397,1.1775515344377468e-13,7.251907675390122,2.296148223263924,0.8333333333333334
809,CUX2_code_potential_somatic,ENSG00000126561,809,1.0,5.045692026579684,0.520453684844001,2.2912884763666564e-39,2.830256692546512,1.3989269875466714,0.8333333333333334
810,CUX2_code_potential_somatic,ENSG00000126561,810,1.0,5.045692026579684,0.5407267856545183,6.205581202352399e-43,5.412123454553817,1.7250476310581229,0.8333333333333334
793,CUX2_code_potential_somatic,ENSG00000126561,793,1.0,5.045692026579684,0.5292624522225253,6.913163364054204e-41,12.131997930786216,4.016089531000413,0.8333333333333334
796,CUX2_code_potential_somatic,ENSG00000126561,796,1.0,5.045692026579684,0.5136567541235907,3.1855011634080634e-38,7.249221731777868,2.0141725301801796,0.8333333333333334
3723,CUX2_code_potential_somatic,ENSG00000116833,3723,1.0,1.441978545316327,0.3002161976987185,7.070331430128586e-13,5.63792124512814,1.7042380230406822,0.5
599,CUX2_code_potential_somatic,ENSG00000066336,599,1.0,1.4081486387254438,0.5545132992320093,1.6773880416751576e-45,7.5087977770153325,1.9840741785415084,1.0
609,CUX2_code_potential_somatic,ENSG00000066336,609,1.0,1.4081486387254438,0.49772138898836266,1.2143808947277623e-35,9.98072942353968,3.43216941338238,1.0
600,CUX2_code_potential_somatic,ENSG00000066336,600,1.0,1.4081486387254438,0.31937370992523834,1.847672094903781e-14,4.135927926208378,1.3096532375042622,1.0
622,CUX2_code_potential_somatic,ENSG00000066336,622,1.0,1.4081486387254438,0.21441059858010564,4.045488750316723e-07,4.278502408046704,1.392004370100882,1.0
610,CUX2_code_potential_somatic,ENSG00000066336,610,1.0,1.4081486387254438,0.3079223560845881,1.6849338028147266e-13,4.990784532296201,1.5403260964447951,1.0
615,CUX2_code_potential_somatic,ENSG00000066336,615,1.0,1.4081486387254438,0.37873142286874195,3.921271021480518e-20,4.385301714171306,1.4389305269849306,1.0
616,CUX2_code_potential_somatic,ENSG00000066336,616,1.0,1.4081486387254438,0.5667760233696814,6.878143025072535e-48,6.644791386951611,2.0110200963835023,1.0
603,CUX2_code_potential_somatic,ENSG00000066336,603,1.0,1.4081486387254438,0.5135066137945201,3.373946865995372e-38,6.95606567994095,2.2334920579204818,1.0
601,CUX2_code_potential_somatic,ENSG00000066336,601,1.0,1.4081486387254438,0.2359705748289119,2.2647770130359633e-08,4.308257769884493,1.3484911877899235,1.0
606,CUX2_code_potential_somatic,ENSG00000066336,606,1.0,1.4081486387254438,0.4534140226400533,3.8609801694562346e-29,4.858462956935988,1.4708038304698559,1.0
1054,CUX2_code_potential_somatic,ENSG00000005889,1054,1.0,1.4205402438379333,0.28770314245385886,6.637184825234372e-12,19.069309299174027,44.56646364400115,1.0
