,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
832,CYLC2_code_potential_somatic,ENSG00000152284,832,-1.0,2.460180539225711,0.2787978302498419,3.057707982116084e-11,-9.683036154127828,3.7331259681912146,0.3333333333333333
477,CYLC2_code_potential_somatic,ENSG00000172216,477,-1.0,2.444454578845647,0.36306811871834266,1.617202463869498e-18,-3.7229306596119147,1.3130406830522463,1.0
3717,CYLC2_code_potential_somatic,ENSG00000163435,3717,-1.0,4.684489111237224,0.32730183390687817,3.779874815497097e-15,-9.722650988881052,3.6162232865549413,1.0
1470,CYLC2_code_potential_somatic,ENSG00000087510,1470,-1.0,3.758449641693936,0.22247778739014765,1.4228685801076825e-07,-5.445917338038964,2.279202934798096,1.0
1478,CYLC2_code_potential_somatic,ENSG00000087510,1478,-1.0,3.758449641693936,0.18597004834244504,1.1770953620639454e-05,-8.329486129369327,2.94212695954512,1.0
1472,CYLC2_code_potential_somatic,ENSG00000087510,1472,-1.0,3.758449641693936,0.34614519122009924,7.190152436748869e-17,-3.682091170284302,1.3486835280392029,1.0
1475,CYLC2_code_potential_somatic,ENSG00000087510,1475,-1.0,3.758449641693936,0.3591236935088842,3.997301619713854e-18,-4.4830167845719675,1.5892985287039392,1.0
1565,CYLC2_code_potential_somatic,ENSG00000182568,1565,-1.0,4.002872597799847,0.6586203409009456,1.8979495177804281e-69,-3.3640464688413343,1.7167515697847158,0.3333333333333333
1982,CYLC2_code_potential_somatic,ENSG00000179348,1982,-1.0,1.4284602750647124,0.2654395702676064,2.7334275585083713e-10,-3.7127483013581677,1.3564996095000768,1.0
1977,CYLC2_code_potential_somatic,ENSG00000179348,1977,-1.0,1.4284602750647124,-0.27773576425036994,3.655476434820277e-11,6.4079582289822365,3.75291085057543,1.0
