,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2521,DCC_code_potential_somatic,ENSG00000112333,2521,1.0,3.008556619488801,-0.22798156343844547,6.816424123189805e-08,-3.141375832965344,1.7430377231821488,1.0
2525,DCC_code_potential_somatic,ENSG00000112333,2525,1.0,3.008556619488801,0.4068991778158076,2.8815856743790265e-23,3.8790042646185374,2.0308883711135324,1.0
459,DCC_code_potential_somatic,ENSG00000172216,459,-1.0,1.865183571775582,0.37768933668965154,5.0541939676146437e-20,-4.550004116570926,2.6226912017293853,0.5
113,DCC_code_potential_somatic,ENSG00000057657,113,-1.0,3.1069965733218123,0.48237695985448864,2.783612097846488e-33,-3.2845658788288103,1.865183571775582,1.0
109,DCC_code_potential_somatic,ENSG00000057657,109,-1.0,3.1069965733218123,0.38778133355384053,4.162238320481003e-21,-2.499013730050401,1.3060934035849059,1.0
714,DCC_code_potential_somatic,ENSG00000168310,714,1.0,1.532580509108856,0.5354803327471371,5.485993446753296e-42,3.796040256244071,2.0034946573974994,1.0
715,DCC_code_potential_somatic,ENSG00000168310,715,1.0,1.532580509108856,0.4714871556370402,1.1184774131906604e-31,4.119136009795798,2.214030608323651,1.0
3714,DCC_code_potential_somatic,ENSG00000163435,3714,-1.0,1.6786225634692493,-0.12412638417679896,0.0036102202896085302,3.057827092136702,1.6784029462462176,1.0
3545,DCC_code_potential_somatic,ENSG00000167157,3545,-1.0,1.7567401051263765,0.15623982149578777,0.00024094113892140058,-2.4461329079000844,1.3058419586820835,1.0
1473,DCC_code_potential_somatic,ENSG00000087510,1473,-1.0,1.6058529356788724,-0.25023472651555223,2.8638954699249105e-09,2.6067774730651143,1.3559711253773028,1.0
1478,DCC_code_potential_somatic,ENSG00000087510,1478,-1.0,1.6058529356788724,0.18597004834244504,1.1770953620639454e-05,-2.889601472284787,1.5899748766772657,1.0
1477,DCC_code_potential_somatic,ENSG00000087510,1477,-1.0,1.6058529356788724,0.13434414246872228,0.0016213704893200856,-2.9239522408847862,1.6109921059280083,1.0
1467,DCC_code_potential_somatic,ENSG00000087510,1467,-1.0,1.6058529356788724,0.3621860031536285,1.9821152866970234e-18,-4.429600706307624,2.5288584626642,1.0
1257,DCC_code_potential_somatic,ENSG00000073282,1257,-1.0,1.4540831620048806,0.2989050092053926,8.986478446110168e-13,-3.4111435896507682,1.834701146192671,1.0
1236,DCC_code_potential_somatic,ENSG00000110777,1236,-1.0,1.3259382080844007,0.3683191597506944,4.753848317408781e-19,-3.1130540749109397,1.6598396649427558,1.0
2945,DCC_code_potential_somatic,ENSG00000152977,2945,1.0,2.010201471086124,0.16847021005135182,7.396956980775913e-05,2.6632474745337316,1.3866254961500417,1.0
2944,DCC_code_potential_somatic,ENSG00000152977,2944,1.0,2.010201471086124,-0.22245663266961685,1.4268474383192326e-07,-2.625204530057669,1.3783022616771778,1.0
2939,DCC_code_potential_somatic,ENSG00000152977,2939,1.0,2.010201471086124,0.3136123755882471,5.685638073288172e-14,3.3929797950802354,1.8061496374301185,1.0
648,DCC_code_potential_somatic,ENSG00000071564,648,1.0,1.6650992655309316,0.39266114946531744,1.2060733178923612e-21,2.940638364530166,1.5299650821318795,1.0
1517,DCC_code_potential_somatic,ENSG00000177426,1517,1.0,1.414014911527531,0.2950293925762717,1.8128171331153681e-12,2.797692004980818,1.5057433275961392,0.5
