,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1108,DENND1C_code_potential_somatic,ENSG00000100105,1108,1.0,3.9162041319620227,0.5687831932084362,2.7362525640183454e-48,4.3091099147485945,1.4489680149789004,1.0
2894,DENND1C_code_potential_somatic,ENSG00000183918,2894,-1.0,1.5506640740687412,-0.4147288664466925,3.419186821723198e-24,4.902919682903159,1.990953534664808,1.0
2895,DENND1C_code_potential_somatic,ENSG00000183918,2895,-1.0,1.5506640740687412,-0.2267472723889433,8.05272998500757e-08,3.3536005887971503,1.3104585868517042,1.0
3315,DENND1C_code_potential_somatic,ENSG00000091831,3315,-1.0,1.5730120767247773,-0.29668217581994016,1.3456962616737226e-12,5.462259111952262,2.144639760643811,1.0
3207,DENND1C_code_potential_somatic,ENSG00000171634,3207,1.0,4.796720463631417,0.36323597837716753,1.5556726954501605e-18,4.899642940449827,1.9827977088096393,1.0
3214,DENND1C_code_potential_somatic,ENSG00000171634,3214,1.0,4.796720463631417,0.7117582774244728,8.383930012079178e-86,3.5001161618196335,1.3921596211864449,1.0
2701,DENND1C_code_potential_somatic,ENSG00000065970,2701,1.0,1.333751522274253,0.5840723497005251,1.9751353610850433e-51,5.053560425709822,2.9208011557940643,1.0
1668,DENND1C_code_potential_somatic,ENSG00000143190,1668,1.0,4.178860814888387,0.3743828222546324,1.1240056061181998e-19,4.387693380727725,1.4879373750914984,1.0
1667,DENND1C_code_potential_somatic,ENSG00000143190,1667,1.0,4.178860814888387,0.6538399865770609,3.871989707205816e-68,5.003409742354332,1.9194798181993722,1.0
2559,DENND1C_code_potential_somatic,ENSG00000175745,2559,1.0,1.3681974031596171,0.45180951180913126,6.3794309476921e-29,8.00608002082429,6.3911589779372076,1.0
2991,DENND1C_code_potential_somatic,ENSG00000168066,2991,1.0,4.5980624782942225,-0.3072062180701142,1.928606517546139e-13,-6.858581159189751,2.3132832281599716,1.0
3082,DENND1C_code_potential_somatic,ENSG00000100968,3082,1.0,1.3010744036923354,-0.33790353494795083,4.206141942037205e-16,-7.236345857276175,4.27009383352209,0.5
3731,DENND1C_code_potential_somatic,ENSG00000124813,3731,-1.0,1.5618380753967593,-0.2825008784922849,1.630804851531785e-11,3.8390112570142936,2.648123917392405,1.0
3735,DENND1C_code_potential_somatic,ENSG00000124813,3735,-1.0,1.5618380753967593,0.5087771569692713,2.0327063980921514e-37,-4.098452769814348,1.5006668052162941,1.0
3729,DENND1C_code_potential_somatic,ENSG00000124813,3729,-1.0,1.5618380753967593,-0.27541292783339927,5.387533388228765e-11,4.182329941726513,1.43685827050237,1.0
30,DENND1C_code_potential_somatic,ENSG00000196712,30,1.0,3.7830582988867523,0.15061466750698585,0.0004032464588034189,3.2135876512982193,1.4403183981363747,1.0
1293,DENND1C_code_potential_somatic,ENSG00000118263,1293,1.0,2.213761990966566,0.6111127031770904,2.0557312282819358e-57,7.325770883073758,2.616451153116172,1.0
1279,DENND1C_code_potential_somatic,ENSG00000118263,1279,1.0,2.213761990966566,-0.23297877902442624,3.4376928775864545e-08,-3.9531285005988392,2.5673732239375746,1.0
1285,DENND1C_code_potential_somatic,ENSG00000118263,1285,1.0,2.213761990966566,0.47341134359406495,5.880013452014301e-32,4.2117060068770575,1.4407169449144894,1.0
3656,DENND1C_code_potential_somatic,ENSG00000102908,3656,1.0,3.5189942932350102,0.29923835320486897,8.455934493594522e-13,6.569979317345655,2.2314412633408502,1.0
