,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
218,DLG5_code_potential_somatic,ENSG00000136826,218,-1.0,2.9621155964252184,0.31678253139511575,3.0724253688617685e-14,-2.975458311132326,1.4362554900738134,1.0
828,DLG5_code_potential_somatic,ENSG00000152284,828,1.0,1.508324192427845,-0.2844180662202708,1.173444969743463e-11,-4.178389731884385,1.6977782715231104,1.0
3526,DLG5_code_potential_somatic,ENSG00000153234,3526,-1.0,5.277934258498052,0.28253318163253655,1.6218199881278203e-11,-8.422360745266973,10.565067950216857,1.0
3404,DLG5_code_potential_somatic,ENSG00000170345,3404,-1.0,3.9556432730010647,0.43853700463262035,3.6727014873598426e-27,-3.6011184065018416,1.4662888567930927,1.0
3112,DLG5_code_potential_somatic,ENSG00000184486,3112,1.0,1.3680179643052641,-0.22947261222369789,5.56624537586132e-08,-3.1766081412909517,1.3504921369023763,1.0
1641,DLG5_code_potential_somatic,ENSG00000138795,1641,-1.0,3.080557460883192,0.42104561983637406,5.876351965027431e-25,-6.841151242015888,3.071048120736168,1.0
1658,DLG5_code_potential_somatic,ENSG00000138795,1658,-1.0,3.080557460883192,0.3525305864434585,1.7641937035158483e-17,-4.040318830490706,1.6666774181485868,1.0
664,DLG5_code_potential_somatic,ENSG00000131408,664,-1.0,1.4347733114828336,0.35709582956250685,6.334202219148733e-18,-3.623540629760105,1.5302251685116843,1.0
3482,DLG5_code_potential_somatic,ENSG00000203883,3482,-1.0,1.4957123818607074,0.23209470843207486,3.884684479180556e-08,-8.63628589645157,5.795329181105674,1.0
789,DLG5_code_potential_somatic,ENSG00000126561,789,-1.0,1.4084359980369543,0.49281634308472533,7.110148695212294e-35,-7.916605091246238,3.2981263567664607,1.0
797,DLG5_code_potential_somatic,ENSG00000126561,797,-1.0,1.4084359980369543,0.2489276341843643,3.4802347849274002e-09,-4.812839929834346,2.0323850295278687,1.0
801,DLG5_code_potential_somatic,ENSG00000126561,801,-1.0,1.4084359980369543,0.39056020572506445,2.061034080962972e-21,-3.9397023404767384,1.617803403824535,1.0
799,DLG5_code_potential_somatic,ENSG00000126561,799,-1.0,1.4084359980369543,0.37370467506650407,1.3227228291549273e-19,-3.5643959141343102,1.4694885840696543,1.0
811,DLG5_code_potential_somatic,ENSG00000126561,811,-1.0,1.4084359980369543,0.4894512746505592,2.3512004949770813e-34,-5.102801074826571,2.28778734901793,1.0
794,DLG5_code_potential_somatic,ENSG00000126561,794,-1.0,1.4084359980369543,0.358109404392075,5.03435669532338e-18,-3.7621505996948352,1.538136079025082,1.0
1304,DLG5_code_potential_somatic,ENSG00000197905,1304,-1.0,1.3811078475841663,0.24335749360299383,7.88850322535481e-09,-3.2801779210516084,1.365667807585902,1.0
1300,DLG5_code_potential_somatic,ENSG00000197905,1300,-1.0,1.3811078475841663,0.272697349399734,8.439329743644067e-11,-8.690422426275322,6.505777896861727,1.0
1301,DLG5_code_potential_somatic,ENSG00000197905,1301,-1.0,1.3811078475841663,0.4110989506437914,9.249744444527794e-24,-4.385415459597761,1.8098194225284783,1.0
