,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2200,DLGAP2_code_potential_somatic,ENSG00000169083,2200,1.0,1.4661896907891188,0.4223688818818541,4.044150961655349e-25,5.194712099961904,2.1560821892772934,1.0
2203,DLGAP2_code_potential_somatic,ENSG00000169083,2203,1.0,1.4661896907891188,0.4748926212262841,3.574342057785658e-32,4.931611615006039,3.042427764380039,1.0
2207,DLGAP2_code_potential_somatic,ENSG00000169083,2207,1.0,1.4661896907891188,0.40309790760966463,7.948869748237142e-23,3.547654724378813,1.7508436649513666,1.0
2204,DLGAP2_code_potential_somatic,ENSG00000169083,2204,1.0,1.4661896907891188,0.1620925638827412,0.00013837408926734533,4.820509105306144,1.4797766649049102,1.0
3676,DLGAP2_code_potential_somatic,ENSG00000170370,3676,1.0,2.182002900363185,-0.24996045964378896,2.9837283379059956e-09,-4.798751278544355,1.6363327604102937,1.0
639,DLGAP2_code_potential_somatic,ENSG00000115844,639,1.0,1.7524450776712985,0.24863172866937241,3.6366861171739948e-09,4.241856781863266,1.4869228746545764,1.0
1452,DLGAP2_code_potential_somatic,ENSG00000007372,1452,1.0,1.618180572102577,0.3036201319878602,3.7721184305924064e-13,6.010821627342555,2.7705477805188936,1.0
1444,DLGAP2_code_potential_somatic,ENSG00000007372,1444,1.0,1.618180572102577,0.08199419316417426,0.055075137986699246,4.226964758029279,1.4233035504536584,1.0
1446,DLGAP2_code_potential_somatic,ENSG00000007372,1446,1.0,1.618180572102577,0.3243926553888602,6.803227275682828e-15,5.5189750420839605,5.210923527296167,1.0
1393,DLGAP2_code_potential_somatic,ENSG00000125398,1393,1.0,1.475864647965499,0.565772292612199,1.088004707899191e-47,3.4224072231789506,1.343213712872936,1.0
1546,DLGAP2_code_potential_somatic,ENSG00000173404,1546,1.0,1.6250044014796532,0.418613404840673,1.1628277981738513e-24,9.33120517296058,9.342421579466468,1.0
3515,DLGAP2_code_potential_somatic,ENSG00000105991,3515,1.0,1.415204202137041,0.26456954836373886,3.139552712885348e-10,3.0572902700514453,1.3086825877896613,1.0
1774,DLGAP2_code_potential_somatic,ENSG00000197063,1774,1.0,1.7797099510439987,0.25890966911740315,7.637136288942053e-10,5.689289398466393,1.996083412473293,1.0
1102,DLGAP2_code_potential_somatic,ENSG00000176887,1102,1.0,1.915666644043542,0.2157512882791301,3.409986062831539e-07,3.044006558989257,1.4988673944076392,1.0
196,DLGAP2_code_potential_somatic,ENSG00000125820,196,1.0,2.6296567797068295,0.6110351173052444,2.1427077529094173e-57,3.5630523526812894,1.3193069062460268,1.0
2450,DLGAP2_code_potential_somatic,ENSG00000160199,2450,1.0,1.5243643674100331,0.3127503265497468,6.712956277740209e-14,3.9758092376717835,1.3512504808830768,1.0
2971,DLGAP2_code_potential_somatic,ENSG00000187079,2971,1.0,4.245047185437581,0.2303913193659805,4.90958391750787e-08,4.183264213747788,1.4981966879813513,1.0
3762,DLGAP2_code_potential_somatic,ENSG00000123388,3762,1.0,2.2195862307275873,0.36996947054604434,3.2203666637106646e-19,3.276178824079615,1.4445082282589607,1.0
2560,DLGAP2_code_potential_somatic,ENSG00000175745,2560,1.0,1.6371436547500684,0.11897698652827798,0.005291488617134956,5.255229151111282,4.832788232823436,1.0
2567,DLGAP2_code_potential_somatic,ENSG00000175745,2567,1.0,1.6371436547500684,0.403672874338524,6.823610089733771e-23,4.916019912074136,2.3080989620176497,1.0
2565,DLGAP2_code_potential_somatic,ENSG00000175745,2565,1.0,1.6371436547500684,0.4047934943371429,5.0633719300263606e-23,4.811242946018822,1.5821709079080755,1.0
2559,DLGAP2_code_potential_somatic,ENSG00000175745,2559,1.0,1.6371436547500684,0.45180951180913126,6.3794309476921e-29,3.898013037879659,1.4703404010239762,1.0
2558,DLGAP2_code_potential_somatic,ENSG00000175745,2558,1.0,1.6371436547500684,0.2940616109116653,2.1564585201837476e-12,3.6464668586685365,1.3198102710602553,1.0
1566,DLGAP2_code_potential_somatic,ENSG00000182568,1566,1.0,1.5696186958765468,-0.24212873464953683,9.423878474541465e-09,-5.32143177951775,1.660750199424861,1.0
3455,DLGAP2_code_potential_somatic,ENSG00000278129,3455,1.0,1.3781441478835188,0.37226051323200066,1.8684242903814994e-19,5.06605099090344,1.757770229984575,1.0
2939,DLGAP2_code_potential_somatic,ENSG00000152977,2939,1.0,3.3393184527557955,0.3136123755882471,5.685638073288172e-14,3.18725809623918,1.9957182893730654,1.0
1123,DLGAP2_code_potential_somatic,ENSG00000165804,1123,1.0,1.43486839423037,0.4633506290033928,1.621945660985398e-30,4.53510410086422,1.5349946562359917,1.0
1119,DLGAP2_code_potential_somatic,ENSG00000165804,1119,1.0,1.43486839423037,0.2661530102771384,2.438999883740879e-10,3.941448916798505,1.3929721161430069,1.0
1113,DLGAP2_code_potential_somatic,ENSG00000165804,1113,1.0,1.43486839423037,0.24388455251436927,7.306970162448324e-09,6.56866559060646,2.6296567797068295,1.0
1129,DLGAP2_code_potential_somatic,ENSG00000165804,1129,1.0,1.43486839423037,0.17657508981621997,3.227591270942632e-05,5.198159318675951,1.695679734266811,1.0
