,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2367,DNAH17_code_potential_somatic,ENSG00000148516,2367,1.0,1.303357092908441,0.32959739859821874,2.366633864844502e-15,3.674604943856769,1.545059948007327,1.0
2363,DNAH17_code_potential_somatic,ENSG00000148516,2363,1.0,1.303357092908441,0.5007088096496991,4.080975243308675e-36,2.973125955991063,1.488441788693582,1.0
2602,DNAH17_code_potential_somatic,ENSG00000087903,2602,-1.0,3.000918497864524,0.40086724087503744,1.433083479882713e-22,-5.354242894381202,2.1025472895060964,1.0
2603,DNAH17_code_potential_somatic,ENSG00000087903,2603,-1.0,3.000918497864524,-0.24252030996139157,8.905579745819154e-09,5.379195971821489,2.1303045390869815,1.0
1573,DNAH17_code_potential_somatic,ENSG00000105866,1573,1.0,1.3575414735356768,0.2605493998506764,5.915990779892945e-10,3.7889024977998904,1.5309368643265582,1.0
1577,DNAH17_code_potential_somatic,ENSG00000105866,1577,1.0,1.3575414735356768,0.37185151026660157,2.0597864056495832e-19,3.2804311201819485,1.400644892991148,1.0
1581,DNAH17_code_potential_somatic,ENSG00000105866,1581,1.0,1.3575414735356768,0.3174751165556365,2.683239351199029e-14,8.78940132704888,3.431802284026336,1.0
3646,DNAH17_code_potential_somatic,ENSG00000198353,3646,1.0,1.3575414735356768,0.27271791257253536,8.410853905558882e-11,4.270603338727794,1.8121822238629204,1.0
1549,DNAH17_code_potential_somatic,ENSG00000134323,1549,1.0,1.3575414735356768,0.41189610172557833,7.441609030900848e-24,4.658557104133408,1.883214658655807,1.0
1551,DNAH17_code_potential_somatic,ENSG00000134323,1551,1.0,1.3575414735356768,-0.436735976955246,6.279389245335047e-27,-3.077132385147488,1.3040418822140543,1.0
2295,DNAH17_code_potential_somatic,ENSG00000118689,2295,1.0,2.129424389021722,0.5623378781591177,5.16358797112004e-47,5.359247586672371,2.052983093560224,1.0
2284,DNAH17_code_potential_somatic,ENSG00000118689,2284,1.0,2.129424389021722,0.4971650166178875,1.4860743483863024e-35,3.3610169583862097,1.4173289732274172,1.0
