,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1396,EEF1A1_code_potential_somatic,ENSG00000125398,1396,1.0,1.3741357846826021,0.3393591450736945,3.0906595458958634e-16,3.1398328127410817,1.4022612006140796,1.0
1398,EEF1A1_code_potential_somatic,ENSG00000125398,1398,1.0,1.3741357846826021,-0.23534412724899675,2.472737776306242e-08,-4.111148435447817,1.8259708989511296,1.0
1400,EEF1A1_code_potential_somatic,ENSG00000125398,1400,1.0,1.3741357846826021,-0.3265436945181717,4.4081644919256105e-15,-4.948007813417468,2.510579981596348,1.0
1399,EEF1A1_code_potential_somatic,ENSG00000125398,1399,1.0,1.3741357846826021,0.4607348038335296,3.774330828148208e-30,3.5876891112869083,1.522074579676246,1.0
3437,EEF1A1_code_potential_somatic,ENSG00000175832,3437,1.0,2.288575219905602,0.3072578447592749,1.909941690400658e-13,3.8623297516379074,1.8904711455950525,1.0
468,EEF1A1_code_potential_somatic,ENSG00000172216,468,-1.0,1.624434649232977,0.3260471157707358,4.874133484092165e-15,-6.963722048143491,4.025786631258244,0.25
243,EEF1A1_code_potential_somatic,ENSG00000177606,243,1.0,1.5056807498607947,0.5406951387857389,6.28842195941703e-43,7.08419960903323,3.8633059685735733,1.0
3551,EEF1A1_code_potential_somatic,ENSG00000167157,3551,-1.0,1.9248258076627036,0.23820553109920556,1.652084474045135e-08,-6.058424244710243,3.5633727523834606,1.0
3556,EEF1A1_code_potential_somatic,ENSG00000167157,3556,-1.0,1.9248258076627036,0.10586908442227369,0.013151335738841839,-3.4769077882638,1.6403282854349683,1.0
234,EEF1A1_code_potential_somatic,ENSG00000135363,234,1.0,1.6562640542412879,-0.31197279069307887,7.794265670481288e-14,-3.163337669219601,1.3878259953698122,1.0
1835,EEF1A1_code_potential_somatic,ENSG00000112658,1835,1.0,2.4222080855066146,0.3052312055335061,2.7937853788989866e-13,3.4209566837930607,1.4591657396342501,1.0
1839,EEF1A1_code_potential_somatic,ENSG00000112658,1839,1.0,2.4222080855066146,0.43930433182194023,2.919581539654522e-27,7.561923594936621,3.2748256696152156,1.0
3392,EEF1A1_code_potential_somatic,ENSG00000120149,3392,-1.0,1.75119758595408,-0.3996362943500058,1.9801279135314082e-22,5.346005320792746,2.129004468582036,1.0
3395,EEF1A1_code_potential_somatic,ENSG00000120149,3395,-1.0,1.75119758595408,-0.23399286428736177,2.986127935632948e-08,4.316059679454917,1.8497375992574798,1.0
3399,EEF1A1_code_potential_somatic,ENSG00000120149,3399,-1.0,1.75119758595408,0.12252588389376366,0.004071887528659675,-5.708932951031857,3.0555189148111626,1.0
3398,EEF1A1_code_potential_somatic,ENSG00000120149,3398,-1.0,1.75119758595408,0.19005162450158916,7.473825507774001e-06,-4.5870855247328315,1.9564297288141579,1.0
3393,EEF1A1_code_potential_somatic,ENSG00000120149,3393,-1.0,1.75119758595408,0.1356500737175161,0.0014577784066699124,-7.226284883272762,3.089023626590881,1.0
3394,EEF1A1_code_potential_somatic,ENSG00000120149,3394,-1.0,1.75119758595408,0.3907673687531798,1.9552981475623017e-21,-4.09097846097623,1.8057338682605553,1.0
2482,EEF1A1_code_potential_somatic,ENSG00000106511,2482,1.0,1.471763067405259,0.3085520121028127,1.4958000278871512e-13,3.0717646371540797,1.4129290355647453,1.0
2485,EEF1A1_code_potential_somatic,ENSG00000106511,2485,1.0,1.471763067405259,0.563785904703403,2.6838864980021504e-47,3.344732343336962,1.4575591034540678,1.0
2476,EEF1A1_code_potential_somatic,ENSG00000106511,2476,1.0,1.471763067405259,0.30256995179394364,4.582983422097991e-13,4.030532027397754,1.8441347063664275,1.0
2484,EEF1A1_code_potential_somatic,ENSG00000106511,2484,1.0,1.471763067405259,0.3815883184261269,1.946245305429649e-20,3.678888707843663,1.5600273506503237,1.0
2481,EEF1A1_code_potential_somatic,ENSG00000106511,2481,1.0,1.471763067405259,0.38656628338225113,5.647822511674906e-21,7.898405300603047,4.779792152709786,1.0
3424,EEF1A1_code_potential_somatic,ENSG00000105610,3424,-1.0,1.6241634961942928,-0.20123048029173637,2.0484163659216478e-06,4.418378848114903,1.9210060629446597,1.0
