,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1036,EGFR_code_potential_somatic,ENSG00000137203,1036,-1.0,3.8199037429054727,-0.2227410898933683,1.3742325448913637e-07,2.5978061820196174,1.9929954134013934,1.0
1035,EGFR_code_potential_somatic,ENSG00000137203,1035,-1.0,3.8199037429054727,0.38751189765490146,4.4541864144617496e-21,-2.8451853250901675,2.2843226412864506,1.0
3674,EGFR_code_potential_somatic,ENSG00000170370,3674,1.0,1.5958246971215049,0.25008194278523216,2.9300609578315876e-09,2.4045127838664855,1.7554547613568745,1.0
3675,EGFR_code_potential_somatic,ENSG00000170370,3675,1.0,1.5958246971215049,0.27726361338551714,3.9565054352759463e-11,3.022872428706241,2.538493589213747,1.0
3676,EGFR_code_potential_somatic,ENSG00000170370,3676,1.0,1.5958246971215049,-0.24996045964378896,2.9837283379059956e-09,-2.0889649923651117,1.4227020021125374,1.0
2604,EGFR_code_potential_somatic,ENSG00000087903,2604,1.0,2.644392979779898,0.4409405624406941,1.786267814487868e-27,2.17553278178536,1.5049616892584687,1.0
2597,EGFR_code_potential_somatic,ENSG00000087903,2597,1.0,2.644392979779898,0.5134481327144256,3.450302845570539e-38,2.040466803585736,1.3630562862392344,1.0
1505,EGFR_code_potential_somatic,ENSG00000165495,1505,-1.0,4.2232596264118625,0.40147655247761804,1.2205230895498734e-22,-3.792946606176807,3.6433088974232737,1.0
366,EGFR_code_potential_somatic,ENSG00000163497,366,-1.0,1.4472333103549255,0.2894018731355593,4.928790824080555e-12,-2.2895523150905235,1.6399632972149747,1.0
364,EGFR_code_potential_somatic,ENSG00000163497,364,-1.0,1.4472333103549255,-0.29843019019556005,9.798844265767807e-13,2.4554789478741217,1.8139651697529262,1.0
367,EGFR_code_potential_somatic,ENSG00000163497,367,-1.0,1.4472333103549255,-0.2748689275683561,5.896715648202729e-11,2.1413853098656936,1.4702321913474532,1.0
2520,EGFR_code_potential_somatic,ENSG00000112333,2520,1.0,1.9929954134013934,0.5670993464484083,5.931604568650053e-48,2.1781364937648267,1.510123824323782,1.0
2528,EGFR_code_potential_somatic,ENSG00000112333,2528,1.0,1.9929954134013934,0.5900396803607918,1.0560480916954014e-52,1.9744307770396499,1.3030474504166543,1.0
2527,EGFR_code_potential_somatic,ENSG00000112333,2527,1.0,1.9929954134013934,-0.18415378569834248,1.436266628702184e-05,-2.3264360216315367,1.6703545010279535,1.0
