,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2206,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2206,1.0,2.160576557406914,0.20874238187314026,8.232020140103674e-07,2.9582736142864396,2.2817589486937684,1.0
2202,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2202,1.0,2.160576557406914,0.1842378613658599,1.423157332109844e-05,2.259768724848719,1.5302077659304933,1.0
220,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000136826,220,1.0,1.3677792371232906,0.3135864164055618,5.714192364183687e-14,2.3260345095617265,1.5899530711190326,1.0
366,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,366,-1.0,3.6293789444847184,0.2894018731355593,4.928790824080555e-12,-4.847940268571448,5.061369417142276,1.0
363,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,363,-1.0,3.6293789444847184,-0.26567493056812325,2.632663727496636e-10,2.3888672053137907,1.6580439766087016,1.0
884,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000139083,884,1.0,2.0865044574826617,-0.21474923465985488,3.8749813925423966e-07,-2.070275656342604,1.3411637530782867,1.0
889,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000139083,889,1.0,2.0865044574826617,0.37569040670382775,8.203038178775998e-20,2.458286373985868,1.7266794344028895,1.0
2103,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2103,1.0,1.6430616018823876,0.24667567508641092,4.856576332122605e-09,2.7554825022553544,2.038573953891992,1.0
2095,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2095,1.0,1.6430616018823876,0.305855830137109,2.4855471270809603e-13,2.4984756697449093,1.7747986803982894,1.0
2098,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2098,1.0,1.6430616018823876,0.38110100039835687,2.1943428122448814e-20,2.2193252569104307,1.485239395505688,1.0
2706,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000065970,2706,1.0,1.5304007226353966,-0.3391613156842976,3.2231586294591895e-16,-4.197825625561934,3.9921765410311396,1.0
2698,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000065970,2698,1.0,1.5304007226353966,0.3208602377292366,1.3770589688763898e-14,2.642261639854757,1.9312313776043935,1.0
234,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000135363,234,1.0,1.43571239402363,-0.31197279069307887,7.794265670481288e-14,-2.135784106604059,1.4130688925408337,1.0
3637,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000076604,3637,-1.0,1.537332526817752,0.35197939132571,1.9942041758595182e-17,-5.7196167053927685,6.809695005253556,1.0
3631,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000076604,3631,-1.0,1.537332526817752,-0.24560084825275383,5.687277099025097e-09,2.591669892114262,1.8687885612442972,1.0
3636,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000076604,3636,-1.0,1.537332526817752,0.34017554678533807,2.5982388973886593e-16,-4.193308567410653,4.062689790723507,1.0
3639,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000076604,3639,-1.0,1.537332526817752,-0.3930013168451689,1.1054459076174069e-21,2.9704362517471816,2.301238665154011,1.0
494,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,494,1.0,1.8117162493868135,0.43361540610406846,1.5784080008314714e-26,2.361689365749445,1.6265110059403582,1.0
501,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,501,1.0,1.8117162493868135,-0.4576396817316701,1.0157288404906929e-29,-5.228629719009026,5.926072887224994,1.0
495,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,495,1.0,1.8117162493868135,0.47866435921616984,9.952765068621691e-33,2.1106357350182177,1.3825424377980307,1.0
3034,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,3034,1.0,1.6750072396578561,0.3450663734737405,9.08779205643241e-17,2.831846860637551,2.126447374196385,1.0
3020,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,3020,1.0,1.6750072396578561,0.31164720712372473,8.296185808036837e-14,2.5560467880387963,1.82863345783225,1.0
3035,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,3035,1.0,1.6750072396578561,0.3979202902878312,3.100777797743687e-22,2.1319871789251237,1.40141421225283,1.0
791,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,791,1.0,1.6424507197329627,0.32276685219461193,9.422393236882908e-15,2.1178617906807196,1.393256749748638,1.0
804,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,804,1.0,1.6424507197329627,-0.17788063253194566,2.8140438561071734e-05,-3.906157234227781,3.579661883193204,1.0
793,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,793,1.0,1.6424507197329627,0.5292624522225253,6.913163364054204e-41,2.4703390781445584,1.736072742502963,1.0
795,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,795,1.0,1.6424507197329627,0.5945296710176737,1.119601462237606e-53,2.4645682642363513,1.733416497798318,1.0
811,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,811,1.0,1.6424507197329627,0.4894512746505592,2.3512004949770813e-34,2.490295999337258,1.7555374471502867,1.0
3399,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3399,-1.0,3.592005383279292,0.12252588389376366,0.004071887528659675,-3.4881987241090564,3.0454516705449914,1.0
3398,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3398,-1.0,3.592005383279292,0.19005162450158916,7.473825507774001e-06,-3.667883135961414,3.20959183616421,1.0
1326,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000116044,1326,1.0,1.5986008394648292,0.49196049216568644,9.65006094377566e-35,2.179605165020654,1.4479324214795373,1.0
693,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000188786,693,1.0,2.1195650731935944,-0.3278619251490302,3.373042685106883e-15,-5.228629719009026,5.926072887224994,1.0
695,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000188786,695,1.0,2.1195650731935944,0.41959212436315246,8.84162528146487e-25,2.1793589589291775,1.4428696594776158,1.0
841,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,841,1.0,2.5447035068748014,0.5383941051654617,1.643079127810912e-42,2.5304784364426136,1.8086635267532583,1.0
850,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,850,1.0,2.5447035068748014,0.38885484784455293,3.175065307044252e-21,2.392067217065705,1.6619773303578529,1.0
851,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,851,1.0,2.5447035068748014,-0.33467030416068094,8.291506310731383e-16,-4.176229966096554,4.056310114544363,1.0
3126,EPHA2_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000156273,3126,1.0,1.7188281909227645,0.43720630484378664,5.460383802447342e-27,2.457629094593602,1.7259893517262876,1.0
