,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3244,EPHA5_code_potential_somatic,ENSG00000025434,3244,-1.0,1.627303346765377,0.23516102750820214,2.536933644560716e-08,-9.424997011321974,2.4317187158260154,1.0
2525,EPHA5_code_potential_somatic,ENSG00000112333,2525,-1.0,4.190778480716652,0.4068991778158076,2.8815856743790265e-23,-4.63549130533356,1.5095251943637313,0.3333333333333333
884,EPHA5_code_potential_somatic,ENSG00000139083,884,1.0,1.4188481378429063,-0.21474923465985488,3.8749813925423966e-07,-7.146143004984393,2.148059403163837,1.0
886,EPHA5_code_potential_somatic,ENSG00000139083,886,1.0,1.4188481378429063,-0.2569890541939503,1.027676974093145e-09,-6.3033435941438105,2.149552478199278,1.0
881,EPHA5_code_potential_somatic,ENSG00000139083,881,1.0,1.4188481378429063,-0.2102080548281273,6.86336995117285e-07,-5.612826130979245,1.7061267655663748,1.0
3699,EPHA5_code_potential_somatic,ENSG00000163884,3699,-1.0,2.0996941827821423,-0.2637062843899924,3.600354452648664e-10,3.9814083123005197,1.618249531706585,1.0
902,EPHA5_code_potential_somatic,ENSG00000105672,902,-1.0,1.9485329015320207,0.20568911530740816,1.1973037297252491e-06,-6.527776987525883,1.9406387607967106,0.5
1539,EPHA5_code_potential_somatic,ENSG00000113916,1539,1.0,2.1112926610375085,0.4378936398325283,4.449937937111878e-27,2.789488474172112,1.4069933150977785,1.0
1538,EPHA5_code_potential_somatic,ENSG00000113916,1538,1.0,2.1112926610375085,0.6841581243819654,7.158883160947051e-77,6.673113147764924,1.8095632278001283,1.0
2281,EPHA5_code_potential_somatic,ENSG00000118689,2281,1.0,4.723101580194024,0.6482331677122894,1.2416596535060004e-66,4.658259426951001,1.8403314482910238,0.8333333333333334
