,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2206,EPHB_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2206,1.0,1.332175971813861,0.20874238187314026,8.232020140103674e-07,2.833975290712584,2.174070213947994,1.0
2202,EPHB_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2202,1.0,1.332175971813861,0.1842378613658599,1.423157332109844e-05,2.242662395324146,1.5288625076216553,1.0
1441,EPHB_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000221869,1441,1.0,1.381805139553492,0.18593111468365855,1.1821511134466203e-05,2.319048693489634,1.608110568906621,1.0
2818,EPHB_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000277615,2818,1.0,1.4156643260034465,0.19634840344099175,3.6380346839514152e-06,2.4279296752007755,1.7204878118520608,1.0
3418,EPHB_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000100393,3418,1.0,1.5863452050733904,0.4573433387023632,1.1161228377162261e-29,2.362305182276128,1.6516439770430844,1.0
366,EPHB_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,366,-1.0,2.527056952901404,0.2894018731355593,4.928790824080555e-12,-4.136342695600226,4.053265265321174,1.0
363,EPHB_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,363,-1.0,2.527056952901404,-0.26567493056812325,2.632663727496636e-10,2.5125479553768395,1.8139856686726978,1.0
889,EPHB_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000139083,889,1.0,1.753019812423876,0.37569040670382775,8.203038178775998e-20,2.1635518178197577,1.449247190141165,1.0
2716,EPHB_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000065970,2716,1.0,1.347023196722088,0.47390179714109193,4.987891305714436e-32,2.061746609803686,1.3488443435450397,1.0
2706,EPHB_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000065970,2706,1.0,1.347023196722088,-0.3391613156842976,3.2231586294591895e-16,-4.107765641181377,3.9713126270205397,1.0
234,EPHB_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000135363,234,1.0,2.17903127932138,-0.31197279069307887,7.794265670481288e-14,-2.785626127663051,2.1343904967212586,1.0
494,EPHB_FORWARD_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,494,1.0,1.4638133788984478,0.43361540610406846,1.5784080008314714e-26,3.0707139932283303,2.453239769000586,1.0
