,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2520,ERCC6_code_potential_somatic,ENSG00000112333,2520,-1.0,1.8874925408705414,0.5670993464484083,5.931604568650053e-48,-6.074624466145982,2.159480876463954,1.0
2644,ERCC6_code_potential_somatic,ENSG00000126767,2644,-1.0,1.6984800359745784,0.22379061381581247,1.1958274683045791e-07,-4.3683792525977,1.5857527518172079,1.0
3447,ERCC6_code_potential_somatic,ENSG00000140044,3447,1.0,1.534071201282964,-0.22960372068006935,5.4675927445461925e-08,-7.911554314770535,12.904932911750482,1.0
704,ERCC6_code_potential_somatic,ENSG00000168310,704,-1.0,2.053295031517415,0.4476039783760009,2.349242679021552e-28,-3.8401996116960624,1.5107053105975619,1.0
718,ERCC6_code_potential_somatic,ENSG00000168310,718,-1.0,2.053295031517415,0.38637399584084314,5.926628586168527e-21,-2.970257654076633,1.4049531004388058,1.0
3009,ERCC6_code_potential_somatic,ENSG00000157554,3009,-1.0,1.401373040023533,0.13801075512272754,0.0011999859853497744,-5.721656757122365,1.7683547641825303,1.0
37,ERCC6_code_potential_somatic,ENSG00000125347,37,-1.0,1.3025031573652073,0.43597893135232685,7.859815539093867e-27,-4.333411439616611,1.7379560873700257,1.0
50,ERCC6_code_potential_somatic,ENSG00000125347,50,-1.0,1.3025031573652073,0.4817991492825823,3.397605111825765e-33,-3.7837117126019697,1.5124191308154271,1.0
39,ERCC6_code_potential_somatic,ENSG00000125347,39,-1.0,1.3025031573652073,0.48126647560416536,4.081585598377184e-33,-4.011362496764262,1.5580875302257888,1.0
1898,ERCC6_code_potential_somatic,ENSG00000167034,1898,1.0,2.477880663776769,-0.33144159435466536,1.6200160191574297e-15,-4.094188291355214,1.579533371370223,1.0
648,ERCC6_code_potential_somatic,ENSG00000071564,648,-1.0,2.6200443214019105,0.39266114946531744,1.2060733178923612e-21,-4.149881077425464,1.738684785956014,1.0
2133,ERCC6_code_potential_somatic,ENSG00000175592,2133,-1.0,2.484990626757827,0.6836078772118992,1.0539597238896441e-76,-4.0712352514797985,1.8649058403862295,1.0
2140,ERCC6_code_potential_somatic,ENSG00000175592,2140,-1.0,2.484990626757827,0.7417272058870178,8.857405543262781e-97,-9.696282091348118,3.53562929874592,1.0
2129,ERCC6_code_potential_somatic,ENSG00000175592,2129,-1.0,2.484990626757827,0.5905505512425152,8.195221638736938e-53,-3.629591494963246,1.3145945992564254,1.0
2485,ERCC6_code_potential_somatic,ENSG00000106511,2485,-1.0,3.9720705413397353,0.563785904703403,2.6838864980021504e-47,-7.1610700746605955,4.746175959946825,1.0
176,ERCC6_code_potential_somatic,ENSG00000007866,176,-1.0,1.9631297277249633,0.27873402607891573,3.090751918851442e-11,-4.062972817393587,1.3727814104185405,1.0
