,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1922,ESRRB_code_potential_somatic,ENSG00000006468,1922,-1.0,2.1743673611146734,0.4905505293667995,1.5931241134102757e-34,-5.77022934186652,1.6147212540135722,1.0
1925,ESRRB_code_potential_somatic,ENSG00000006468,1925,-1.0,2.1743673611146734,0.15387422207220344,0.0002998472316952456,-7.656389550720611,1.928925290000931,1.0
1926,ESRRB_code_potential_somatic,ENSG00000006468,1926,-1.0,2.1743673611146734,0.4345725415870117,1.1909165325631423e-26,-12.770060470237263,2.8662095252914135,1.0
1931,ESRRB_code_potential_somatic,ENSG00000006468,1931,-1.0,2.1743673611146734,0.307037410463607,1.9908923655259898e-13,-4.744523435508201,1.4053491697919125,1.0
1441,ESRRB_code_potential_somatic,ENSG00000221869,1441,-1.0,1.4591392357376742,0.18593111468365855,1.1821511134466203e-05,-9.706822064366683,2.358620604436553,1.0
3750,ESRRB_code_potential_somatic,ENSG00000163666,3750,1.0,2.1934161302015123,0.19375642280129188,4.9068906131440965e-06,5.102169249767351,1.4992807745503132,1.0
2813,ESRRB_code_potential_somatic,ENSG00000277615,2813,-1.0,3.2561420838620565,0.2772612799758376,3.958051602690526e-11,-6.297080458806726,1.7602904765971465,1.0
2817,ESRRB_code_potential_somatic,ENSG00000277615,2817,-1.0,3.2561420838620565,0.3513437559451815,2.2962373758141823e-17,-5.387933095729762,1.5927333496505167,1.0
3703,ESRRB_code_potential_somatic,ENSG00000162772,3703,-1.0,1.731972849497565,0.22458535856886738,1.0758219154562867e-07,-4.143165114209163,1.3132247742470542,1.0
3417,ESRRB_code_potential_somatic,ENSG00000100393,3417,-1.0,1.453476288220838,0.27286666743960863,8.207630550317471e-11,-5.528909722093043,1.6340655133064497,1.0
3418,ESRRB_code_potential_somatic,ENSG00000100393,3418,-1.0,1.453476288220838,0.4573433387023632,1.1161228377162261e-29,-4.456849618893359,1.4036172468607266,1.0
971,ESRRB_code_potential_somatic,ENSG00000101412,971,-1.0,3.6867869327869225,0.2069537504346887,1.0259174781428825e-06,-3.5932856967838487,1.5116940521430609,1.0
960,ESRRB_code_potential_somatic,ENSG00000101412,960,-1.0,3.6867869327869225,0.6491518019355196,7.070099083657812e-67,-9.773469480204797,2.3965042025642975,1.0
961,ESRRB_code_potential_somatic,ENSG00000101412,961,-1.0,3.6867869327869225,0.49108575521205333,1.3174129972347378e-34,-6.292281802278741,1.6891252645175163,1.0
966,ESRRB_code_potential_somatic,ENSG00000101412,966,-1.0,3.6867869327869225,0.21131372642098636,5.97848373290242e-07,-22.254115188498172,51.08501678787179,1.0
882,ESRRB_code_potential_somatic,ENSG00000139083,882,-1.0,1.306805187074582,-0.20097066925908483,2.1127523216789135e-06,5.333496828905575,1.5241426468122057,1.0
1108,ESRRB_code_potential_somatic,ENSG00000100105,1108,-1.0,4.98438452217062,0.5687831932084362,2.7362525640183454e-48,-6.791065641731368,1.7447716740362937,1.0
1110,ESRRB_code_potential_somatic,ENSG00000100105,1110,-1.0,4.98438452217062,0.5463250729901485,5.811560049819726e-44,-5.092981611332376,1.4871143054584677,1.0
2723,ESRRB_code_potential_somatic,ENSG00000130726,2723,-1.0,1.4036675871240918,0.2556294784603317,1.2661576804139407e-09,-6.0907652012672955,1.715200206735554,1.0
2728,ESRRB_code_potential_somatic,ENSG00000130726,2728,-1.0,1.4036675871240918,0.4123955972351137,6.4915270866524605e-24,-7.536023124756765,1.8093358848082037,1.0
2724,ESRRB_code_potential_somatic,ENSG00000130726,2724,-1.0,1.4036675871240918,0.4769486468302052,1.783927552507496e-32,-7.152672807053351,1.8253756582476024,1.0
2720,ESRRB_code_potential_somatic,ENSG00000130726,2720,-1.0,1.4036675871240918,0.3850182848170064,8.316832791246072e-21,-8.535461950409335,2.2431356510111247,1.0
2721,ESRRB_code_potential_somatic,ENSG00000130726,2721,-1.0,1.4036675871240918,0.5119239057602917,6.173127053355243e-38,-7.194332256889444,1.7943032027694916,1.0
2727,ESRRB_code_potential_somatic,ENSG00000130726,2727,-1.0,1.4036675871240918,0.23444539992709554,2.8036622896080162e-08,-18.68597770044549,14.04708327939312,1.0
86,ESRRB_code_potential_somatic,ENSG00000213928,86,-1.0,1.404669780950908,0.26897454009406707,1.548897525308145e-10,-7.552588053038261,2.0189245259504145,0.4
74,ESRRB_code_potential_somatic,ENSG00000213928,74,-1.0,1.404669780950908,0.17888341534174573,2.5310613819183124e-05,-4.818782384734416,1.4306439457194746,0.4
3003,ESRRB_code_potential_somatic,ENSG00000077463,3003,-1.0,1.5927274407234353,0.2562076536275005,1.1588039108115014e-09,-5.1926879705563325,1.6709699443689412,1.0
3006,ESRRB_code_potential_somatic,ENSG00000077463,3006,-1.0,1.5927274407234353,0.1902152548553698,7.337464969356812e-06,-5.470306804760236,1.5722367958732042,1.0
2239,ESRRB_code_potential_somatic,ENSG00000067066,2239,1.0,3.131912219273792,-0.14630981832436832,0.0005910034294611682,-5.279049950121232,1.4923691900211624,1.0
3290,ESRRB_code_potential_somatic,ENSG00000275746,3290,-1.0,2.0600322790883943,0.3815798598160384,1.9503060585578228e-20,-9.223975593452254,2.0734940372393558,1.0
3288,ESRRB_code_potential_somatic,ENSG00000275746,3288,-1.0,2.0600322790883943,0.15079536091904844,0.0003967388490957721,-8.13904851507959,2.0776333901254014,1.0
2957,ESRRB_code_potential_somatic,ENSG00000099326,2957,-1.0,2.0657127628588534,0.41592837948999983,2.4543388813726996e-24,-10.523235875744621,2.6941653777429284,1.0
2954,ESRRB_code_potential_somatic,ENSG00000099326,2954,-1.0,2.0657127628588534,0.2269687177994022,7.816035144319663e-08,-5.682658204362374,1.6340046170320661,1.0
2952,ESRRB_code_potential_somatic,ENSG00000099326,2952,-1.0,2.0657127628588534,0.6748517573892705,4.433728282902681e-74,-5.130254638232946,1.5648967639632136,1.0
3749,ESRRB_code_potential_somatic,ENSG00000242265,3749,-1.0,4.678456461110529,0.23550542419309783,2.417490932206348e-08,-8.616445311386004,2.0107700817623178,1.0
568,ESRRB_code_potential_somatic,ENSG00000090447,568,-1.0,2.8342973433047125,-0.1485485061547691,0.00048507395933554377,6.917016124659872,1.8015198164676636,1.0
572,ESRRB_code_potential_somatic,ENSG00000090447,572,-1.0,2.8342973433047125,0.1503803056722929,0.00041183508976767,-15.420745908951133,3.2727089740620836,1.0
2891,ESRRB_code_potential_somatic,ENSG00000125482,2891,-1.0,2.186648238312107,0.4344523709885133,1.2338505384305904e-26,-5.602584400635553,1.5479790756431488,0.6666666666666666
2887,ESRRB_code_potential_somatic,ENSG00000125482,2887,-1.0,2.186648238312107,0.6821702780921197,2.88366451140532e-76,-4.302482580987822,1.3312937224782309,0.6666666666666666
2295,ESRRB_code_potential_somatic,ENSG00000118689,2295,-1.0,2.0033958825784186,0.5623378781591177,5.16358797112004e-47,-4.514608889892898,1.3905515008166576,1.0
2288,ESRRB_code_potential_somatic,ENSG00000118689,2288,-1.0,2.0033958825784186,0.5098697031326828,1.3458184188233866e-37,-6.196973496915308,1.7280954354203826,1.0
2281,ESRRB_code_potential_somatic,ENSG00000118689,2281,-1.0,2.0033958825784186,0.6482331677122894,1.2416596535060004e-66,-4.796135533908784,1.4300658713807888,1.0
2300,ESRRB_code_potential_somatic,ENSG00000118689,2300,-1.0,2.0033958825784186,0.328233593559556,3.127140481836837e-15,-5.451067283375183,1.6245977006423011,1.0
2301,ESRRB_code_potential_somatic,ENSG00000118689,2301,-1.0,2.0033958825784186,0.5932008671242047,2.183214141928799e-53,-5.471441454300165,1.5352130914207338,1.0
2297,ESRRB_code_potential_somatic,ENSG00000118689,2297,-1.0,2.0033958825784186,0.35153217877680776,2.2022956862609567e-17,-8.752966570652518,2.0344252337855333,1.0
2296,ESRRB_code_potential_somatic,ENSG00000118689,2296,-1.0,2.0033958825784186,0.3734317390530455,1.4121369632795847e-19,-7.552588053038261,2.0189245259504145,1.0
2289,ESRRB_code_potential_somatic,ENSG00000118689,2289,-1.0,2.0033958825784186,0.6409212826432166,1.0255208479425349e-64,-10.775698032887126,2.5504384211318456,1.0
2298,ESRRB_code_potential_somatic,ENSG00000118689,2298,-1.0,2.0033958825784186,0.21912824251885157,2.2064496921916e-07,-8.140763217583569,2.2254839594614,1.0
3267,ESRRB_code_potential_somatic,ENSG00000118922,3267,-1.0,1.6296835624172428,-0.42594184253466044,1.4623221067978944e-25,4.5301248013988475,1.5567504370310052,1.0
3270,ESRRB_code_potential_somatic,ENSG00000118922,3270,-1.0,1.6296835624172428,0.2546139348163464,1.4785751400687988e-09,-9.610167301235432,2.163190033651022,1.0
2539,ESRRB_code_potential_somatic,ENSG00000177732,2539,-1.0,2.8342973433047125,0.522654965200476,9.64504291485037e-40,-11.24089735314158,2.9361425893371136,1.0
2531,ESRRB_code_potential_somatic,ENSG00000177732,2531,-1.0,2.8342973433047125,0.15357882699057893,0.00030808201920677565,-4.997108186668897,1.560642330095858,1.0
2542,ESRRB_code_potential_somatic,ENSG00000177732,2542,-1.0,2.8342973433047125,-0.2418786952185592,9.770008925715401e-09,5.172062114869156,1.4954356797972206,1.0
3404,ESRRB_code_potential_somatic,ENSG00000170345,3404,-1.0,2.744385455186026,0.43853700463262035,3.6727014873598426e-27,-4.993376132961774,1.6862559002466095,1.0
1101,ESRRB_code_potential_somatic,ENSG00000176887,1101,-1.0,1.4749299834474288,0.3937759359397374,9.061784803718672e-22,-6.825222875086733,1.8121279064577296,1.0
1105,ESRRB_code_potential_somatic,ENSG00000176887,1105,-1.0,1.4749299834474288,0.25637369031001317,1.1296466103021258e-09,-6.232799418718956,1.8690861602830895,1.0
1099,ESRRB_code_potential_somatic,ENSG00000176887,1099,-1.0,1.4749299834474288,0.6638642416414896,6.512780905743984e-71,-4.737920207938594,1.4331215577136982,1.0
