,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1635,EXPH5_code_potential_somatic,ENSG00000028277,1635,1.0,1.577742272875458,-0.2939484405422057,2.200584761537425e-12,-3.459038297221674,1.4953765077241414,1.0
3066,EXPH5_code_potential_somatic,ENSG00000124782,3066,1.0,1.898188479565907,-0.18806406988795332,9.335414502173334e-06,-3.3749530103815313,1.396893674094987,1.0
2494,EXPH5_code_potential_somatic,ENSG00000184058,2494,1.0,1.4502015610674543,-0.26336599037643516,3.7995491372470845e-10,-6.626741904210887,3.314297090500072,1.0
2501,EXPH5_code_potential_somatic,ENSG00000184058,2501,1.0,1.4502015610674543,-0.332835976746405,1.2142721685346405e-15,-8.75716464965934,4.497829248393955,1.0
2525,EXPH5_code_potential_somatic,ENSG00000112333,2525,-1.0,1.3066637810209811,0.4068991778158076,2.8815856743790265e-23,-7.335814363572084,2.9978797031147444,1.0
2527,EXPH5_code_potential_somatic,ENSG00000112333,2527,-1.0,1.3066637810209811,-0.18415378569834248,1.436266628702184e-05,5.029839661165238,2.084989318939802,1.0
2297,EXPH5_code_potential_somatic,ENSG00000118689,2297,1.0,1.4135179148599963,0.35153217877680776,2.2022956862609567e-17,3.333011918930487,1.5666217520085346,1.0
2291,EXPH5_code_potential_somatic,ENSG00000118689,2291,1.0,1.4135179148599963,-0.33896458008068786,3.3604576610767404e-16,-4.052266218928382,1.7218034133979132,1.0
3364,EXPH5_code_potential_somatic,ENSG00000105516,3364,-1.0,1.5026748929370484,0.11321390213402713,0.00798386347266414,-8.897070561258369,4.8092308355193865,1.0
715,EXPH5_code_potential_somatic,ENSG00000168310,715,-1.0,1.8539019010406128,0.4714871556370402,1.1184774131906604e-31,-3.2295688355206718,1.3881725642743397,0.6666666666666666
711,EXPH5_code_potential_somatic,ENSG00000168310,711,-1.0,1.8539019010406128,0.4872937457255763,5.026785092021973e-34,-5.022725487476482,2.1901532120020026,0.6666666666666666
3092,EXPH5_code_potential_somatic,ENSG00000119725,3092,-1.0,1.7458758209272056,0.43490432327582723,1.0798985900997392e-26,-3.313891007984416,1.42215232124745,1.0
872,EXPH5_code_potential_somatic,ENSG00000132005,872,1.0,1.5099832082201232,-0.29276758940623254,2.7170406560790726e-12,-4.319823636819453,1.7810420996080052,1.0
879,EXPH5_code_potential_somatic,ENSG00000132005,879,1.0,1.5099832082201232,-0.2832480071040658,1.4349237029998588e-11,-3.4111005518318844,1.4063813546571495,1.0
2225,EXPH5_code_potential_somatic,ENSG00000187140,2225,1.0,1.5099832082201232,-0.27753099919708624,3.783178836781041e-11,-3.8739098462321766,1.68690846155149,0.5
2227,EXPH5_code_potential_somatic,ENSG00000187140,2227,1.0,1.5099832082201232,-0.35768953704612905,5.5374193482385716e-18,-8.112848934531884,5.507503658170803,0.5
2351,EXPH5_code_potential_somatic,ENSG00000155959,2351,-1.0,1.4221967201984107,0.6798362850601185,1.4597848425820899e-75,-8.897070561258369,4.8092308355193865,1.0
