,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2200,F13A1_code_potential_somatic,ENSG00000169083,2200,1.0,7.87696602908653,0.4223688818818541,4.044150961655349e-25,4.534262066851976,1.5630975550163524,1.0
2201,F13A1_code_potential_somatic,ENSG00000169083,2201,1.0,7.87696602908653,0.3049596549820448,2.9391888289980374e-13,7.163040423252484,2.4676162838916462,1.0
899,F13A1_code_potential_somatic,ENSG00000154727,899,1.0,1.5514843334555792,0.3362756900202329,5.925380504056038e-16,3.154095762335185,1.623177022203224,1.0
894,F13A1_code_potential_somatic,ENSG00000154727,894,1.0,1.5514843334555792,0.3745957458878942,1.0679125150388243e-19,3.8871635385020777,1.6724074409117207,1.0
1450,F13A1_code_potential_somatic,ENSG00000007372,1450,1.0,3.791814481468961,-0.35638997313443355,7.429257244852286e-18,-5.830614444650749,1.8749500637756034,0.5
251,F13A1_code_potential_somatic,ENSG00000177606,251,1.0,1.409507869535234,0.7020705437872713,1.4989788859365892e-82,3.7485864250586545,1.3604008965424932,1.0
248,F13A1_code_potential_somatic,ENSG00000177606,248,1.0,1.409507869535234,0.2025454291165923,1.7505565855919237e-06,6.8932866408050675,2.9034492134548566,1.0
2911,F13A1_code_potential_somatic,ENSG00000109381,2911,1.0,3.22254952158884,0.5069681811151759,4.010310061145181e-37,3.835439563930581,1.4461024572613983,1.0
2897,F13A1_code_potential_somatic,ENSG00000109381,2897,1.0,3.22254952158884,0.6838262697740976,9.040613206213917e-77,6.42439023707434,3.204455693847078,1.0
2558,F13A1_code_potential_somatic,ENSG00000175745,2558,1.0,4.570076714614954,0.2940616109116653,2.1564585201837476e-12,4.468355538555169,1.6494691817614808,1.0
3434,F13A1_code_potential_somatic,ENSG00000172845,3434,1.0,2.279889611084689,0.3091037905729812,1.3472795598844336e-13,3.26895277454979,1.3368658345234776,1.0
3191,F13A1_code_potential_somatic,ENSG00000176165,3191,1.0,5.154026515610051,0.28828343227354974,5.996967986635382e-12,4.293801140832058,1.4193768742007407,1.0
3189,F13A1_code_potential_somatic,ENSG00000176165,3189,1.0,5.154026515610051,0.35657285411807066,7.128843507972646e-18,3.857600352131907,1.3892331405701477,1.0
852,F13A1_code_potential_somatic,ENSG00000113580,852,1.0,6.233936536342186,0.33480957955093094,8.053936466756273e-16,7.148974062330356,3.8315417785025563,1.0
841,F13A1_code_potential_somatic,ENSG00000113580,841,1.0,6.233936536342186,0.5383941051654617,1.643079127810912e-42,3.958542740360285,1.3399562161287644,1.0
849,F13A1_code_potential_somatic,ENSG00000113580,849,1.0,6.233936536342186,0.36114101399921844,2.520312311746452e-18,3.033282561263859,2.02106865192669,1.0
2892,F13A1_code_potential_somatic,ENSG00000178860,2892,-1.0,1.5327594154760564,-0.276690615471075,4.3544363837040926e-11,3.7018959190375873,1.4617729708260687,1.0
