,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2409,FBLN2_code_potential_somatic,ENSG00000198815,2409,1.0,1.7986629948960757,0.6094276897122228,5.0431117746258744e-57,4.163002846348529,2.3654197831645263,1.0
2418,FBLN2_code_potential_somatic,ENSG00000198815,2418,1.0,1.7986629948960757,0.5605588720355945,1.1486430183478801e-46,2.833486529571936,1.5127609511207627,1.0
2414,FBLN2_code_potential_somatic,ENSG00000198815,2414,1.0,1.7986629948960757,0.5548471955733468,1.4485774081206976e-45,2.657362661330914,1.369316506513251,1.0
2406,FBLN2_code_potential_somatic,ENSG00000198815,2406,1.0,1.7986629948960757,0.4820753666534028,3.0889595544944876e-33,4.432566450761717,2.327852210612461,1.0
2405,FBLN2_code_potential_somatic,ENSG00000198815,2405,1.0,1.7986629948960757,0.6295807657623466,7.637413688814105e-62,2.5818461050772057,1.348683218904729,1.0
2412,FBLN2_code_potential_somatic,ENSG00000198815,2412,1.0,1.7986629948960757,0.21337281462511187,4.6141762936197846e-07,3.0715667913985794,1.6286198491481354,1.0
2419,FBLN2_code_potential_somatic,ENSG00000198815,2419,1.0,1.7986629948960757,0.40728419041293845,2.5982494167875692e-23,3.9480449185280104,2.101500901044504,1.0
1932,FBLN2_code_potential_somatic,ENSG00000006468,1932,1.0,2.0680345844669192,0.540120244975932,7.999384660910738e-43,2.612517157153951,1.346268504122706,1.0
1065,FBLN2_code_potential_somatic,ENSG00000146592,1065,1.0,1.3208744129181644,0.47229604668627756,8.539892242276056e-32,3.064085672738298,1.5805033502666732,1.0
1440,FBLN2_code_potential_somatic,ENSG00000221869,1440,1.0,5.095889699096047,0.7210168824377889,4.8594174980191e-89,2.761118973492808,1.458398012555627,1.0
2359,FBLN2_code_potential_somatic,ENSG00000148516,2359,1.0,2.13915051711989,0.48467070156951697,1.2570182182003646e-33,4.442626496856489,2.6130619128465074,1.0
2364,FBLN2_code_potential_somatic,ENSG00000148516,2364,1.0,2.13915051711989,-0.5002130330118405,4.894209518590839e-36,-2.4559235348158386,1.4940043452575493,1.0
2363,FBLN2_code_potential_somatic,ENSG00000148516,2363,1.0,2.13915051711989,0.5007088096496991,4.080975243308675e-36,3.004241065295718,1.603592417062974,1.0
2361,FBLN2_code_potential_somatic,ENSG00000148516,2361,1.0,2.13915051711989,0.3585273034818775,4.578396266516501e-18,2.688235881793568,1.3871629489741342,1.0
2322,FBLN2_code_potential_somatic,ENSG00000135457,2322,1.0,1.3753245339731583,0.5411807067562492,5.129900190789167e-43,2.9731377240304564,1.5415342300231856,1.0
2318,FBLN2_code_potential_somatic,ENSG00000135457,2318,1.0,1.3753245339731583,0.36490429337901564,1.0566881936261309e-18,2.8475021088010575,1.489015425293891,1.0
2946,FBLN2_code_potential_somatic,ENSG00000100644,2946,1.0,1.9819209666583757,0.4403489701678677,2.1341629499025122e-27,4.781811660001972,2.816581773044151,1.0
3741,FBLN2_code_potential_somatic,ENSG00000010818,3741,1.0,2.3016172488095314,0.24591913991685915,5.427888107017464e-09,3.1393270602540304,1.7810442140262377,1.0
3315,FBLN2_code_potential_somatic,ENSG00000091831,3315,-1.0,1.3355029744827487,-0.29668217581994016,1.3456962616737226e-12,2.6339373760933613,1.3944174880902809,1.0
1392,FBLN2_code_potential_somatic,ENSG00000125398,1392,1.0,1.4312755847243057,-0.4753318126794128,3.0824486112951023e-32,-3.163859767908906,1.9032247928270118,1.0
