,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2605,FBN3_code_potential_somatic,ENSG00000147601,2605,1.0,1.6814747556091834,0.34344283077011933,1.2906175885613344e-16,2.731899435688332,1.636322216250228,1.0
3719,FBN3_code_potential_somatic,ENSG00000137265,3719,-1.0,1.7562620956199702,-0.40601991988092034,3.6481007994776845e-23,3.123967816472435,1.9395071614565074,1.0
2830,FBN3_code_potential_somatic,ENSG00000126456,2830,1.0,1.372540575887911,0.5963904193990348,4.371680359735945e-54,2.3676482745490217,1.3630283690084457,1.0
2845,FBN3_code_potential_somatic,ENSG00000126456,2845,1.0,1.372540575887911,0.3138394455176914,5.441759331843158e-14,2.400520156741727,1.431049724143859,1.0
2835,FBN3_code_potential_somatic,ENSG00000126456,2835,1.0,1.372540575887911,0.3527555417203807,1.6780100043281802e-17,3.003961083332354,1.8532476052106615,1.0
2833,FBN3_code_potential_somatic,ENSG00000126456,2833,1.0,1.372540575887911,0.4254748689225342,1.6714105648375645e-25,2.3443984478540907,1.3535598312976498,1.0
2592,FBN3_code_potential_somatic,ENSG00000185630,2592,1.0,1.3322427810766582,0.2908792776230314,3.798643919702454e-12,3.0551759440559967,1.8934636192551046,1.0
1424,FBN3_code_potential_somatic,ENSG00000141448,1424,-1.0,1.5756142609826063,-0.23720064820241984,1.9045702823346864e-08,3.999845981007795,2.600912300339876,1.0
1416,FBN3_code_potential_somatic,ENSG00000141448,1416,-1.0,1.5756142609826063,0.4673902354113108,4.338315352878638e-31,-2.3104143638369186,1.4047476586743786,1.0
1423,FBN3_code_potential_somatic,ENSG00000141448,1423,-1.0,1.5756142609826063,-0.34686145935207535,6.151541869990881e-17,2.3837702059680614,1.402025673418469,1.0
3184,FBN3_code_potential_somatic,ENSG00000176165,3184,1.0,1.886184415290569,0.3179894875518792,2.4259084268250033e-14,2.4105010238644633,1.394697983271366,1.0
3190,FBN3_code_potential_somatic,ENSG00000176165,3190,1.0,1.886184415290569,0.48515269650645554,1.0628112697820609e-33,3.5403804432804655,2.2526005581500015,1.0
3183,FBN3_code_potential_somatic,ENSG00000176165,3183,1.0,1.886184415290569,-0.2757609704709193,5.084543056135608e-11,-2.6931929501931053,1.6694799203261104,1.0
2554,FBN3_code_potential_somatic,ENSG00000263001,2554,1.0,1.7857221044956548,-0.18177553080148176,1.858400094284175e-05,-3.939478297105275,2.8275719171363822,1.0
2944,FBN3_code_potential_somatic,ENSG00000152977,2944,1.0,1.7541645136187436,-0.22245663266961685,1.4268474383192326e-07,-2.573884089097916,1.5544348264744998,1.0
