,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1925,FGFR3_code_potential_somatic,ENSG00000006468,1925,-1.0,3.6053512719287775,0.15387422207220344,0.0002998472316952456,-8.001747215504231,3.8318083189160586,1.0
1924,FGFR3_code_potential_somatic,ENSG00000006468,1924,-1.0,3.6053512719287775,0.3229940679621612,9.004188313540773e-15,-4.9460862247865665,2.1680355441297006,1.0
1591,FGFR3_code_potential_somatic,ENSG00000185811,1591,1.0,1.3861147972947303,0.5045122674274166,1.0023071857987585e-36,4.562817039338615,1.4170296436417484,1.0
1584,FGFR3_code_potential_somatic,ENSG00000185811,1584,1.0,1.3861147972947303,-0.32656126800982105,4.392501871817817e-15,-6.081866117496098,2.0663461027545713,1.0
1247,FGFR3_code_potential_somatic,ENSG00000151702,1247,1.0,2.0302507373316745,0.3246923526945814,6.40542249135754e-15,6.418038924403851,3.2392894984866443,1.0
1237,FGFR3_code_potential_somatic,ENSG00000151702,1237,1.0,2.0302507373316745,0.5182766865320042,5.358163944525927e-39,4.6158574832373676,1.4988295784936885,1.0
1583,FGFR3_code_potential_somatic,ENSG00000105866,1583,-1.0,1.80656915075848,-0.18440426264363505,1.397546363172393e-05,7.599068159238967,2.773027756643108,1.0
1573,FGFR3_code_potential_somatic,ENSG00000105866,1573,-1.0,1.80656915075848,0.2605493998506764,5.915990779892945e-10,-4.349921591458534,1.5777735643071367,1.0
1579,FGFR3_code_potential_somatic,ENSG00000105866,1579,-1.0,1.80656915075848,-0.20907277809995847,7.902313733629644e-07,4.9413120443715375,5.771447409693886,1.0
1577,FGFR3_code_potential_somatic,ENSG00000105866,1577,-1.0,1.80656915075848,0.37185151026660157,2.0597864056495832e-19,-10.410265152614985,3.926570275865177,1.0
1581,FGFR3_code_potential_somatic,ENSG00000105866,1581,-1.0,1.80656915075848,0.3174751165556365,2.683239351199029e-14,-11.466693239881021,3.8476674180940384,1.0
228,FGFR3_code_potential_somatic,ENSG00000020633,228,1.0,1.3830651109351007,0.3442018451874556,1.0956935832425158e-16,4.0022896091373275,1.4299012600393337,1.0
