,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3532,FMN1_code_potential_somatic,ENSG00000143437,3532,1.0,3.782308149813011,0.21110277160214172,6.138372932581186e-07,6.655188522194187,1.95036143797929,1.0
1312,FMN1_code_potential_somatic,ENSG00000125952,1312,1.0,1.9167536815342103,0.18527542656369622,1.2704645156366256e-05,9.633327329214293,3.421006406390729,1.0
1313,FMN1_code_potential_somatic,ENSG00000125952,1313,1.0,1.9167536815342103,0.6383058949876683,4.830752998599309e-64,4.952144358565627,1.5908617355558548,1.0
1319,FMN1_code_potential_somatic,ENSG00000125952,1319,1.0,1.9167536815342103,0.3181409404238945,2.3548655987719866e-14,5.116020853817205,1.5612273493498423,1.0
1316,FMN1_code_potential_somatic,ENSG00000125952,1316,1.0,1.9167536815342103,0.41974138966359315,8.47913416258375e-25,5.942583982623929,1.8103840924467398,1.0
1314,FMN1_code_potential_somatic,ENSG00000125952,1314,1.0,1.9167536815342103,0.3537194586752052,1.35329489768637e-17,6.669195072583246,2.084716477010736,1.0
1307,FMN1_code_potential_somatic,ENSG00000125952,1307,1.0,1.9167536815342103,0.3594368228235468,3.721926650177375e-18,5.919256455962278,2.0988838272720454,1.0
2409,FMN1_code_potential_somatic,ENSG00000198815,2409,1.0,3.2637784515432493,0.6094276897122228,5.0431117746258744e-57,4.627666990416981,1.4495666349334917,1.0
2413,FMN1_code_potential_somatic,ENSG00000198815,2413,1.0,3.2637784515432493,0.22846676681369338,6.382464698239084e-08,23.247872150092714,31.73993926196062,1.0
2414,FMN1_code_potential_somatic,ENSG00000198815,2414,1.0,3.2637784515432493,0.5548471955733468,1.4485774081206976e-45,8.014309963334927,2.068935858054661,1.0
2406,FMN1_code_potential_somatic,ENSG00000198815,2406,1.0,3.2637784515432493,0.4820753666534028,3.0889595544944876e-33,4.459684175570654,1.4064242178424713,1.0
2416,FMN1_code_potential_somatic,ENSG00000198815,2416,1.0,3.2637784515432493,0.31337881586313154,5.947661495106485e-14,6.155150000766899,1.924414993553344,1.0
2419,FMN1_code_potential_somatic,ENSG00000198815,2419,1.0,3.2637784515432493,0.40728419041293845,2.5982494167875692e-23,3.9987362647889113,1.3068708481162759,1.0
2422,FMN1_code_potential_somatic,ENSG00000198815,2422,1.0,3.2637784515432493,0.2797112143012929,2.620822559397025e-11,4.742269163896205,1.6503843410326067,1.0
