,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,FN1_code_potential_somatic,ENSG00000125952,1313,1.0,1.693199162236297,0.6383058949876683,4.830752998599309e-64,4.518205387179928,1.7034872915058843,1.0
1311,FN1_code_potential_somatic,ENSG00000125952,1311,1.0,1.693199162236297,0.4344864971050772,1.2215048897877538e-26,6.910833167592456,4.247601441058255,1.0
1306,FN1_code_potential_somatic,ENSG00000125952,1306,1.0,1.693199162236297,0.38295555066025655,1.3884699359410425e-20,5.426712000040395,2.0552646914657804,1.0
1316,FN1_code_potential_somatic,ENSG00000125952,1316,1.0,1.693199162236297,0.41974138966359315,8.47913416258375e-25,4.484147560540228,1.413928743675742,1.0
220,FN1_code_potential_somatic,ENSG00000136826,220,1.0,1.6261451461964211,0.3135864164055618,5.714192364183687e-14,7.983345373846044,8.368367771048149,1.0
215,FN1_code_potential_somatic,ENSG00000136826,215,1.0,1.6261451461964211,0.27225531410355835,9.07469450763398e-11,7.156446610799695,2.0459616435501125,1.0
213,FN1_code_potential_somatic,ENSG00000136826,213,1.0,1.6261451461964211,0.3375899101032046,4.493936388247156e-16,5.081476730536137,1.6745009409806657,1.0
2343,FN1_code_potential_somatic,ENSG00000198914,2343,-1.0,7.370688752200892,-0.3318981405422859,1.4743340886202337e-15,7.3723008322606125,3.0844690072638423,0.8
2339,FN1_code_potential_somatic,ENSG00000198914,2339,-1.0,7.370688752200892,-0.463572157084848,1.5094778634354288e-30,4.4092746972343715,1.4298593666691597,0.8
2347,FN1_code_potential_somatic,ENSG00000198914,2347,-1.0,7.370688752200892,-0.18550869461260186,1.2383500677845913e-05,4.443012908348836,3.1802233081833498,0.8
2337,FN1_code_potential_somatic,ENSG00000198914,2337,-1.0,7.370688752200892,-0.24007686543160756,1.2655243495052002e-08,2.7172911779611666,2.1511643042716155,0.8
1809,FN1_code_potential_somatic,ENSG00000281306,1809,1.0,2.44506643669979,0.22371922606342776,1.2072179843400785e-07,4.88450098354347,1.624414896558215,1.0
356,FN1_code_potential_somatic,ENSG00000173039,356,1.0,3.3266924578209913,0.3999613674859924,1.8183068309375444e-22,8.941913228462425,3.3961094960742817,1.0
703,FN1_code_potential_somatic,ENSG00000168310,703,1.0,5.869916897584595,0.588297425439722,2.4990299088819376e-52,5.531867496161975,1.8203565915185689,1.0
715,FN1_code_potential_somatic,ENSG00000168310,715,1.0,5.869916897584595,0.4714871556370402,1.1184774131906604e-31,10.483142280504655,2.766062870841702,1.0
705,FN1_code_potential_somatic,ENSG00000168310,705,1.0,5.869916897584595,0.5120829422137656,5.8103696319167e-38,5.185696598080669,2.0299426544794317,1.0
3092,FN1_code_potential_somatic,ENSG00000119725,3092,1.0,1.78207814317423,0.43490432327582723,1.0798985900997392e-26,6.030264808574301,1.8245692823844175,1.0
3088,FN1_code_potential_somatic,ENSG00000119725,3088,1.0,1.78207814317423,0.36014712731382187,3.1646230020277296e-18,5.637184607972594,1.6764902585500603,1.0
1359,FN1_code_potential_somatic,ENSG00000173153,1359,1.0,2.1837213254849184,0.270738816568988,1.1629171408442296e-10,9.816732027567506,6.064033358117556,1.0
1373,FN1_code_potential_somatic,ENSG00000173153,1373,1.0,2.1837213254849184,0.30033454532090476,6.918520092551745e-13,5.502139361536449,2.1608778974108818,1.0
40,FN1_code_potential_somatic,ENSG00000125347,40,1.0,1.3901702118444024,0.7218787127191317,2.3911038311816783e-89,5.29940970218808,1.7432078681933543,1.0
48,FN1_code_potential_somatic,ENSG00000125347,48,1.0,1.3901702118444024,0.28441310772470174,1.1744481038422287e-11,7.333447522881543,1.9927912903809228,1.0
57,FN1_code_potential_somatic,ENSG00000125347,57,1.0,1.3901702118444024,0.5910295564983017,6.458447969963658e-53,4.8592864276971035,1.6388052557703878,1.0
38,FN1_code_potential_somatic,ENSG00000125347,38,1.0,1.3901702118444024,0.6131852084868735,6.766775269528658e-58,5.437356400795568,2.1794605495397352,1.0
47,FN1_code_potential_somatic,ENSG00000125347,47,1.0,1.3901702118444024,0.37999547464360267,2.87865172126958e-20,4.09937584865781,1.3194928068327114,1.0
791,FN1_code_potential_somatic,ENSG00000126561,791,1.0,4.690325363893531,0.32276685219461193,9.422393236882908e-15,5.06004377974798,2.917584387780939,0.5
1517,FN1_code_potential_somatic,ENSG00000177426,1517,1.0,1.8380051166744633,0.2950293925762717,1.8128171331153681e-12,4.631258430865484,1.7351480269336954,1.0
