,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2343,FNDC1_code_potential_somatic,ENSG00000198914,2343,-1.0,4.600347797101142,-0.3318981405422859,1.4743340886202337e-15,4.807320012013102,1.5012972123633093,1.0
2345,FNDC1_code_potential_somatic,ENSG00000198914,2345,-1.0,4.600347797101142,-0.277794026573307,3.619916294223349e-11,4.0000261415628415,1.6301073643817405,1.0
2894,FNDC1_code_potential_somatic,ENSG00000183918,2894,-1.0,2.6250413057523527,-0.4147288664466925,3.419186821723198e-24,4.0568899451427205,2.054802320343944,1.0
3319,FNDC1_code_potential_somatic,ENSG00000091831,3319,-1.0,1.356060052574815,0.11622203180626983,0.0064552942383235695,-4.250281394464635,2.0758447506454942,1.0
1778,FNDC1_code_potential_somatic,ENSG00000197063,1778,1.0,1.3613971900192006,0.09991893588935032,0.019306536740503023,4.80874349480214,1.6193510584090092,0.5
2937,FNDC1_code_potential_somatic,ENSG00000198807,2937,-1.0,1.3067688487518971,-0.23373288648465815,3.0960946505024804e-08,5.146740684862268,2.389826294901899,1.0
1548,FNDC1_code_potential_somatic,ENSG00000123364,1548,1.0,1.3263043829244423,0.45285051907844587,4.607026336387008e-29,6.547719309226713,2.0313740144540264,1.0
3746,FNDC1_code_potential_somatic,ENSG00000128713,3746,1.0,1.5275823997240672,0.1697353800737623,6.514836078854801e-05,3.134026159337876,1.522410873467539,1.0
3432,FNDC1_code_potential_somatic,ENSG00000172845,3432,1.0,2.0168469813580536,0.4350301815604196,1.0405173738930242e-26,2.8839209438922175,1.3102997858915855,0.3333333333333333
3735,FNDC1_code_potential_somatic,ENSG00000124813,3735,-1.0,1.9905506791635839,0.5087771569692713,2.0327063980921514e-37,-7.406602394944215,2.8864748871597774,0.5
