,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
81,FOLH1B_code_potential_somatic,ENSG00000213928,81,-1.0,1.6842132994797936,0.27612746162871854,4.783468584944775e-11,-3.827066190734387,1.3101009295646884,1.0
79,FOLH1B_code_potential_somatic,ENSG00000213928,79,-1.0,1.6842132994797936,0.2440314844051304,7.1524069988457364e-09,-7.081989795314414,2.0168781742139,1.0
87,FOLH1B_code_potential_somatic,ENSG00000213928,87,-1.0,1.6842132994797936,0.22985952071619345,5.279957872053686e-08,-7.744804109335443,3.857252411482215,1.0
1809,FOLH1B_code_potential_somatic,ENSG00000281306,1809,-1.0,1.304382956458639,0.22371922606342776,1.2072179843400785e-07,-6.934804425802233,2.084360380870883,1.0
2112,FOLH1B_code_potential_somatic,ENSG00000069667,2112,-1.0,1.9298548416967336,0.4309491209498844,3.443222759773247e-26,-4.506570491007409,1.4276116515103674,1.0
2106,FOLH1B_code_potential_somatic,ENSG00000069667,2106,-1.0,1.9298548416967336,0.32262867059014927,9.685985105170462e-15,-4.682885445642443,1.5087598901804349,1.0
460,FOLH1B_code_potential_somatic,ENSG00000172216,460,-1.0,13.965701421350278,0.7538666239069344,1.1372637327826006e-101,-8.532505696182405,2.601112233323161,1.0
470,FOLH1B_code_potential_somatic,ENSG00000172216,470,-1.0,13.965701421350278,0.7912697226895726,9.865638401480642e-119,-7.1760112365795266,2.2799664930909227,1.0
467,FOLH1B_code_potential_somatic,ENSG00000172216,467,-1.0,13.965701421350278,0.6371701807451847,9.424611068960706e-64,-4.350558795735782,1.362622285747895,1.0
465,FOLH1B_code_potential_somatic,ENSG00000172216,465,-1.0,13.965701421350278,0.6702363459621111,9.855673053377899e-73,-5.1143711272375825,1.5259175673086232,1.0
478,FOLH1B_code_potential_somatic,ENSG00000172216,478,-1.0,13.965701421350278,0.5755761863000123,1.1527766325315883e-49,-5.823740150302931,2.5413235325300527,1.0
462,FOLH1B_code_potential_somatic,ENSG00000172216,462,-1.0,13.965701421350278,0.3254432730970917,5.506245577214136e-15,-13.863505908494224,4.540020343020442,1.0
471,FOLH1B_code_potential_somatic,ENSG00000172216,471,-1.0,13.965701421350278,0.42785844691022656,8.430966507122299e-26,-5.674855635965782,1.6758000583494184,1.0
1638,FOLH1B_code_potential_somatic,ENSG00000138795,1638,-1.0,1.8018406957286626,0.41759064221049147,1.5468070154915822e-24,-6.048821945914222,1.8983838138108229,1.0
1640,FOLH1B_code_potential_somatic,ENSG00000138795,1640,-1.0,1.8018406957286626,0.49156629176794214,1.1104592590630704e-34,-6.763038794852225,1.930959118695508,1.0
1644,FOLH1B_code_potential_somatic,ENSG00000138795,1644,-1.0,1.8018406957286626,0.41089995454955464,9.76497921677837e-24,-9.434628849346641,2.4715697266883194,1.0
1655,FOLH1B_code_potential_somatic,ENSG00000138795,1655,-1.0,1.8018406957286626,0.3996212730251935,1.9879396579161653e-22,-6.0262771066338665,1.7295954670263587,1.0
1657,FOLH1B_code_potential_somatic,ENSG00000138795,1657,-1.0,1.8018406957286626,0.2871130085620823,7.35664175870566e-12,-3.8713647535135136,1.3656568536730418,1.0
3009,FOLH1B_code_potential_somatic,ENSG00000157554,3009,-1.0,1.544737275533987,0.13801075512272754,0.0011999859853497744,-4.595523091103136,1.7186740167925565,1.0
1476,FOLH1B_code_potential_somatic,ENSG00000087510,1476,-1.0,1.5423588230856262,0.22488433575678962,1.0337572531428442e-07,-4.4509491458172565,1.626358279968514,1.0
1467,FOLH1B_code_potential_somatic,ENSG00000087510,1467,-1.0,1.5423588230856262,0.3621860031536285,1.9821152866970234e-18,-2.4843251861310796,1.3893304370331667,1.0
3480,FOLH1B_code_potential_somatic,ENSG00000203883,3480,-1.0,2.6500023655060465,0.11423360216400416,0.0074328701632500145,-5.557557264627503,1.7476843152866424,1.0
384,FOLH1B_code_potential_somatic,ENSG00000168610,384,-1.0,1.3862368599405348,0.37974952560230835,3.057412428882452e-20,-4.88153281702359,1.5519289057556729,1.0
380,FOLH1B_code_potential_somatic,ENSG00000168610,380,-1.0,1.3862368599405348,0.4764551393686381,2.1086746265627978e-32,-9.723965919303312,2.664145393441338,1.0
393,FOLH1B_code_potential_somatic,ENSG00000168610,393,-1.0,1.3862368599405348,0.5050356166737949,8.25080988383053e-37,-4.205053707112932,1.364677460654935,1.0
2133,FOLH1B_code_potential_somatic,ENSG00000175592,2133,-1.0,1.4626060713498406,0.6836078772118992,1.0539597238896441e-76,-8.04703503858932,2.227469493570959,1.0
2139,FOLH1B_code_potential_somatic,ENSG00000175592,2139,-1.0,1.4626060713498406,0.6268982925785104,3.5071788300740385e-61,-4.4414824733204465,1.3864429143850086,1.0
2129,FOLH1B_code_potential_somatic,ENSG00000175592,2129,-1.0,1.4626060713498406,0.5905505512425152,8.195221638736938e-53,-9.671752729637218,4.449289691515532,1.0
2136,FOLH1B_code_potential_somatic,ENSG00000175592,2136,-1.0,1.4626060713498406,0.30163906716989564,5.442770262112544e-13,-4.748653551631292,2.2558336500821357,1.0
